MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",94.531770,234.666644,92.453394,4.078291,0.741217,0.648722,2.078376,95.045375,97.272901,96.531685,92.453394,0.000000,4.078291,0.000000,8,7
"1997-Life Thru a Lens/02-Life Thru A Lens",74.349809,187.533311,73.056010,24.739936,0.888912,0.021342,1.293799,74.029604,98.684859,97.795947,73.056010,0.000000,24.739936,0.000000,10,9
"1997-Life Thru a Lens/03-Ego A Go Go",76.356859,214.959977,73.755542,20.513095,0.278278,2.851768,2.601317,78.009464,94.546915,94.268637,73.755542,0.000000,20.513095,-0.000000,6,7
"1997-Life Thru a Lens/04-Angels",96.052702,264.999977,95.200941,3.768878,0.178420,0.000000,0.851760,96.018792,99.148240,98.969820,95.200941,0.000000,3.768878,-0.000000,6,6
"1997-Life Thru a Lens/05-South Of The Border",90.379657,233.373311,89.269371,9.244324,0.365166,0.010853,1.110286,90.281553,98.878861,98.513695,89.269371,0.000000,9.244324,0.000000,7,7
"1997-Life Thru a Lens/06-Old Before I Die",81.623897,233.626644,81.554014,17.612757,0.763346,0.000000,0.069883,81.611047,99.930117,99.166771,81.554014,0.000000,17.612757,0.000000,9,9
"1997-Life Thru a Lens/07-One Of God's Better People",92.913491,213.733311,92.500670,6.282108,0.795840,0.008562,0.412821,92.892101,99.578617,98.782777,92.500670,0.000000,6.282108,0.000000,7,7
"1997-Life Thru a Lens/08-Let Me Entertain You",87.064444,261.999977,83.877421,11.906242,0.835869,0.193445,3.187023,86.812075,96.619532,95.783663,83.877421,0.000000,11.906242,-0.000000,3,4
"1997-Life Thru a Lens/09-Killing Me",85.224618,236.266644,84.129368,14.725360,0.037641,0.012381,1.095250,85.071648,98.892369,98.854728,84.129368,0.000000,14.725360,0.000000,8,7
"1997-Life Thru a Lens/10-Clean",90.575409,235.439977,73.270760,9.012923,0.232719,0.178948,17.304650,88.795388,82.516402,82.283683,73.270760,0.000000,9.012923,-0.000000,6,6
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",94.084602,199.999977,90.399069,4.723652,1.174456,0.017290,3.685533,93.875098,96.297177,95.122721,90.399069,0.000000,4.723652,0.000000,6,6
"1998-I've Been Expecting You/01-Strong",97.360389,279.313356,96.010837,2.412670,0.222159,0.000000,1.354334,97.328996,98.645666,98.423507,96.010837,0.000000,2.412670,0.000000,7,7
"1998-I've Been Expecting You/02-No Regrets",91.077631,310.599977,90.540882,8.480791,0.419457,0.022121,0.536749,91.049732,99.441130,99.021673,90.540882,0.000000,8.480791,-0.000000,6,7
"1998-I've Been Expecting You/03-Millennium",85.634141,247.573311,82.383375,13.232747,1.133112,0.000000,3.250765,85.151449,96.749235,95.616122,82.383375,0.000000,13.232747,0.000000,2,7
"1998-I've Been Expecting You/04-Phoenix From The Flames",81.315205,242.444308,81.315205,18.163143,0.410118,0.004293,0.107241,81.406000,99.888466,99.478348,81.315205,0.000000,18.163143,0.000000,8,9
"1998-I've Been Expecting You/05-Win Some Lose Some",92.078789,258.733311,89.813128,7.687988,0.232399,0.000824,2.265660,91.895935,97.733516,97.501117,89.813128,0.000000,7.687988,0.000000,6,8
"1998-I've Been Expecting You/06-Grace",88.217146,193.632744,83.978426,11.009901,0.724283,0.031760,4.255631,87.740190,95.712609,94.988326,83.978426,0.000000,11.009901,-0.000000,8,9
"1998-I've Been Expecting You/07-It's Only Us",91.376682,170.733311,90.172246,8.409833,0.209062,0.004423,1.204435,91.275639,98.791142,98.582080,90.172246,0.000000,8.409833,0.000000,8,8
"1998-I've Been Expecting You/08-Heaven From Here",81.135748,185.495714,81.135748,17.577903,1.205265,0.081084,0.000000,81.201590,99.918916,98.713651,81.135748,0.000000,17.577903,-0.000000,7,8
"1998-I've Been Expecting You/09-Karma Killer",74.761803,268.266644,64.223688,23.593972,0.162672,1.481553,10.538116,72.997779,87.980332,87.817660,64.223688,0.000000,23.593972,-0.000000,7,7
"1998-I've Been Expecting You/10-She's The One",88.638829,258.035465,88.425680,10.498012,0.564056,0.299103,0.213149,88.880974,99.487748,98.923692,88.425680,0.000000,10.498012,0.000000,6,6
"1998-I've Been Expecting You/11-Man Machine",75.648091,214.999977,75.480649,23.716661,0.627896,0.007351,0.167442,75.612815,99.825207,99.197311,75.480649,0.000000,23.716661,-0.000000,7,7
"1998-I've Been Expecting You/12-1-These Dreams",86.608908,309.847052,85.957924,13.377927,0.000000,0.013166,0.650983,86.532630,99.335851,99.335851,85.957924,0.000000,13.377927,-0.000000,10,9
"1998-I've Been Expecting You/12-2-Stand Your Ground",93.882252,211.109161,68.062927,4.089319,2.024090,0.000000,25.823665,91.758277,74.176335,72.152245,68.062927,0.000000,4.089319,0.000000,6,7
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",89.639547,229.435442,73.935794,9.896067,0.464386,0.000000,15.703754,87.709473,84.296246,83.831861,73.935794,0.000000,9.896067,0.000000,7,8
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",89.507898,299.034989,86.508870,8.857896,1.634206,0.000000,2.999027,89.183508,97.000973,95.366767,86.508870,0.000000,8.857896,-0.000000,7,10
"2000-Sing When You 're Winning/02-Better Man",91.492537,202.639977,89.723115,6.659643,1.847820,0.000000,1.769421,91.339292,98.230579,96.382759,89.723115,0.000000,6.659643,-0.000000,7,8
"2000-Sing When You 're Winning/03-Rock DJ",72.976213,258.566689,71.639347,26.607047,0.000000,0.416740,1.336866,72.918042,98.246394,98.246394,71.639347,0.000000,26.607047,0.000000,5,6
"2000-Sing When You 're Winning/04-Supreme",93.790370,258.426395,91.358250,5.664608,0.528105,0.006704,2.442333,93.651818,97.550963,97.022859,91.358250,0.000000,5.664608,0.000000,6,8
"2000-Sing When You 're Winning/05-Kids",82.987708,286.706644,82.786328,15.046856,1.963426,0.002009,0.201380,82.955050,99.796611,97.833185,82.786328,0.000000,15.046856,-0.000000,7,7
"2000-Sing When You 're Winning/06-If It's Hurting You",88.762828,250.370227,84.095581,8.415419,2.821753,0.000000,4.667247,88.212685,95.332753,92.511000,84.095581,0.000000,8.415419,-0.000000,6,6
"2000-Sing When You 're Winning/07-Singing For The Lonely",88.494917,271.593878,86.807565,11.235882,0.269201,0.000000,1.687352,88.297454,98.312648,98.043447,86.807565,0.000000,11.235882,0.000000,8,8
"2000-Sing When You 're Winning/08-Love Calling Earth",87.613393,245.626644,86.360472,11.582851,0.801679,0.002077,1.252920,87.458069,98.745003,97.943323,86.360472,0.000000,11.582851,0.000000,11,11
"2000-Sing When You 're Winning/09-Knutsford City Limits",83.661062,285.469320,78.732591,15.879488,0.000016,0.459434,4.928472,83.216201,94.612095,94.612079,78.732591,0.000000,15.879488,-0.000000,4,5
"2000-Sing When You 're Winning/10-Forever Texas",89.928015,217.631111,88.170147,9.844332,0.213357,0.000000,1.772163,89.760856,98.227837,98.014479,88.170147,0.000000,9.844332,-0.000000,9,7
"2000-Sing When You 're Winning/11-By All Means Necessary",95.306179,285.666644,94.504315,3.498027,1.195795,0.000000,0.801864,95.268236,99.198136,98.002341,94.504315,0.000000,3.498027,-0.000000,8,8
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",88.581879,237.694535,86.441505,11.013431,0.133358,0.271333,2.140374,88.577740,97.588294,97.454936,86.441505,0.000000,11.013431,0.000000,6,6
"2002-Escapology/01-How Peculiar",89.230167,193.422426,87.238298,9.007005,1.562756,0.000000,2.191941,89.193363,97.808059,96.245303,87.238298,0.000000,9.007005,0.000000,6,7
"2002-Escapology/02-Feel",90.175824,263.899615,89.505114,9.220110,0.553095,0.050971,0.670710,90.155751,99.278320,98.725225,89.505114,0.000000,9.220110,0.000000,6,6
