MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",91.457545,234.666644,89.266928,7.878731,0.127243,0.536481,2.190617,91.769574,97.272901,97.145659,89.266928,0.000000,7.878731,0.000000,8,7
"1997-Life Thru a Lens/02-Life Thru A Lens",74.402456,187.533311,73.164168,25.466511,0.054181,0.076852,1.238289,74.139202,98.684859,98.630678,73.164168,0.000000,25.466511,-0.000000,10,9
"1997-Life Thru a Lens/03-Ego A Go Go",64.983380,214.959977,62.259621,31.667278,0.620016,2.729326,2.723759,65.850505,94.546915,93.926899,62.259621,0.000000,31.667278,-0.000000,6,6
"1997-Life Thru a Lens/04-Angels",93.654878,264.999977,92.922383,6.006813,0.219044,0.119266,0.732495,93.720658,99.148240,98.929196,92.922383,0.000000,6.006813,-0.000000,6,6
"1997-Life Thru a Lens/05-South Of The Border",80.945939,233.373311,80.129509,18.690188,0.059163,0.304710,0.816430,81.038059,98.878861,98.819698,80.129509,0.000000,18.690188,0.000000,7,7
"1997-Life Thru a Lens/06-Old Before I Die",76.734525,233.626644,76.734525,22.664256,0.531337,0.069883,0.000000,76.788187,99.930117,99.398780,76.734525,0.000000,22.664256,-0.000000,9,9
"1997-Life Thru a Lens/07-One Of God's Better People",88.642835,213.733311,88.642835,10.935782,0.000000,0.421383,0.000000,89.017941,99.578617,99.578617,88.642835,0.000000,10.935782,0.000000,7,7
"1997-Life Thru a Lens/08-Let Me Entertain You",79.345797,261.999977,79.345797,16.357370,0.916365,3.380468,0.000000,82.121901,96.619532,95.703167,79.345797,0.000000,16.357370,-0.000000,3,4
"1997-Life Thru a Lens/09-Killing Me",71.284890,236.266644,70.537980,28.354389,0.000000,0.360720,0.746910,71.328031,98.892369,98.892369,70.537980,0.000000,28.354389,-0.000000,8,6
"1997-Life Thru a Lens/10-Clean",66.730063,235.439977,64.288601,18.227802,0.000000,15.042136,2.441462,77.910087,82.516402,82.516402,64.288601,0.000000,18.227802,-0.000000,6,6
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",92.936747,199.999977,89.392458,6.904719,0.000000,0.158534,3.544289,92.829780,96.297177,96.297177,89.392458,0.000000,6.904719,0.000000,6,7
"1998-I've Been Expecting You/01-Strong",91.603476,279.313356,90.366696,7.977601,0.301369,0.117554,1.236780,91.607365,98.645666,98.344297,90.366696,0.000000,7.977601,0.000000,7,7
"1998-I've Been Expecting You/02-No Regrets",92.784457,310.599977,92.328197,6.698820,0.414113,0.102610,0.456260,92.847092,99.441130,99.027017,92.328197,0.000000,6.698820,-0.000000,6,7
"1998-I've Been Expecting You/03-Millennium",70.227986,247.573311,67.013643,27.978190,1.757401,0.036423,3.214342,69.265295,96.749235,94.991833,67.013643,0.000000,27.978190,0.000000,2,5
"1998-I've Been Expecting You/04-Phoenix From The Flames",69.983209,242.444308,69.983209,29.893704,0.011552,0.111534,0.000000,70.061351,99.888466,99.876914,69.983209,0.000000,29.893704,-0.000000,8,8
"1998-I've Been Expecting You/05-Win Some Lose Some",92.924673,258.733311,90.961837,6.771679,0.000000,0.303648,1.962836,93.071283,97.733516,97.733516,90.961837,0.000000,6.771679,-0.000000,6,6
"1998-I've Been Expecting You/06-Grace",80.602957,193.632744,76.354660,18.868699,0.489250,0.039093,4.248297,79.774922,95.712609,95.223359,76.354660,0.000000,18.868699,0.000000,8,8
"1998-I've Been Expecting You/07-It's Only Us",89.106336,170.733311,88.060042,10.623131,0.107969,0.162564,1.046294,89.137589,98.791142,98.683173,88.060042,0.000000,10.623131,-0.000000,8,8
"1998-I've Been Expecting You/08-Heaven From Here",76.537648,185.495714,76.537648,23.373335,0.007932,0.081084,0.000000,76.599759,99.918916,99.910983,76.537648,0.000000,23.373335,0.000000,7,7
"1998-I've Been Expecting You/09-Karma Killer",65.994289,268.266644,57.554683,29.229192,1.196457,3.580062,8.439606,65.417670,87.980332,86.783875,57.554683,0.000000,29.229192,0.000000,7,7
"1998-I've Been Expecting You/10-She's The One",83.218943,258.035465,83.218943,15.650958,0.617847,0.512252,0.000000,83.647429,99.487748,98.869901,83.218943,0.000000,15.650958,-0.000000,6,6
"1998-I've Been Expecting You/11-Man Machine",69.864661,214.999977,69.691871,30.133336,0.000000,0.002002,0.172791,69.813901,99.825207,99.825207,69.691871,0.000000,30.133336,-0.000000,7,7
"1998-I've Been Expecting You/12-1-These Dreams",82.567584,309.847052,82.008351,17.077381,0.250119,0.104916,0.559233,82.556650,99.335851,99.085732,82.008351,0.000000,17.077381,-0.000000,10,9
"1998-I've Been Expecting You/12-2-Stand Your Ground",83.406733,211.109161,57.616748,16.395009,0.164578,0.033679,25.789985,77.675377,74.176335,74.011757,57.616748,0.000000,16.395009,-0.000000,6,8
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",82.607543,229.435442,67.253570,16.639519,0.403157,0.349781,15.353973,79.782402,84.296246,83.893089,67.253570,0.000000,16.639519,-0.000000,7,8
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",85.043157,299.034989,82.044130,13.713394,1.243449,0.000000,2.999027,84.580729,97.000973,95.757524,82.044130,0.000000,13.713394,-0.000000,7,9
"2000-Sing When You 're Winning/02-Better Man",86.622277,202.639977,85.013278,13.050502,0.166799,0.160422,1.608999,86.544616,98.230579,98.063780,85.013278,0.000000,13.050502,0.000000,7,8
"2000-Sing When You 're Winning/03-Rock DJ",61.171136,258.566689,59.468605,37.718561,1.059228,0.051075,1.702531,60.530064,98.246394,97.187166,59.468605,0.000000,37.718561,-0.000000,5,6
"2000-Sing When You 're Winning/04-Supreme",89.461854,258.426395,87.012817,9.487503,1.050643,0.000000,2.449037,89.197292,97.550963,96.500321,87.012817,0.000000,9.487503,-0.000000,6,8
"2000-Sing When You 're Winning/05-Kids",79.567206,286.706644,79.428608,16.915423,3.452579,0.064791,0.138598,79.590487,99.796611,96.344032,79.428608,0.000000,16.915423,-0.000000,7,7
"2000-Sing When You 're Winning/06-If It's Hurting You",86.412621,250.370227,81.745374,12.889041,0.698338,0.000000,4.667247,85.747418,95.332753,94.634415,81.745374,0.000000,12.889041,0.000000,6,6
"2000-Sing When You 're Winning/07-Singing For The Lonely",87.062589,271.593878,85.380126,10.750612,2.181910,0.000000,1.687352,86.845516,98.312648,96.130738,85.380126,0.000000,10.750612,-0.000000,8,8
"2000-Sing When You 're Winning/08-Love Calling Earth",78.261645,245.626644,77.151217,21.397212,0.196574,0.144570,1.110428,78.131769,98.745003,98.548429,77.151217,0.000000,21.397212,-0.000000,11,11
"2000-Sing When You 're Winning/09-Knutsford City Limits",74.506634,285.469320,69.478731,25.133364,0.000000,0.360003,5.027903,73.435359,94.612095,94.612095,69.478731,0.000000,25.133364,-0.000000,4,6
"2000-Sing When You 're Winning/10-Forever Texas",88.478063,217.631111,86.956262,10.659489,0.612085,0.244063,1.528101,88.525071,98.227837,97.615751,86.956262,0.000000,10.659489,0.000000,9,8
"2000-Sing When You 're Winning/11-By All Means Necessary",70.945951,285.666644,70.144088,26.583131,2.470917,0.000000,0.801864,70.711094,99.198136,96.727219,70.144088,0.000000,26.583131,0.000000,8,8
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",92.577718,237.694535,90.780243,6.808051,0.000000,0.607906,1.803800,93.023702,97.588294,97.588294,90.780243,0.000000,6.808051,0.000000,6,6
"2002-Escapology/01-How Peculiar",90.886715,193.422426,88.895316,8.523464,0.389280,0.012064,2.179877,90.887516,97.808059,97.418779,88.895316,0.000000,8.523464,0.000000,6,7
"2002-Escapology/02-Feel",80.962115,263.899615,80.389175,18.265454,0.623690,0.138125,0.583555,80.973546,99.278320,98.654630,80.389175,0.000000,18.265454,0.000000,6,6
"2002-Escapology/03-Something Beautiful",86.676864,288.766259,86.135701,12.608869,0.713277,0.000000,0.542153,86.605234,99.457847,98.744570,86.135701,0.000000,12.608869,0.000000,12,12
"2002-Escapology/04-Monsoon",91.551170,226.632676,90.854448,7.465128,0.000000,0.981109,0.699315,92.407282,98.319576,98.319576,90.854448,0.000000,7.465128,0.000000,6,5
"2002-Escapology/05-Sexed Up",93.615532,261.666644,92.630147,5.549085,0.692148,0.143235,0.985385,93.687523,98.871381,98.179233,92.630147,0.000000,5.549085,0.000000,7,8
