MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",72.275507,234.666644,72.114725,25.158176,0.000000,2.566317,0.160782,77.719151,91.388711,-nan,0.000000,-nan,0.000000,18.493521,5.884190,-nan,0.000000,72.114725,12.388278,5.670339,2.324851,0.104331,72.114725,17.341065,4.444237,3.372874,8,16
"1997-Life Thru a Lens/02-Life Thru A Lens",50.332652,177.604423,49.700058,48.911279,0.000000,0.756069,0.632594,58.320290,79.215062,99.843412,1.573537,-nan,0.000000,10.831843,17.822738,-nan,0.000000,49.700058,35.662085,5.581515,1.261049,0.287717,49.700058,26.606480,4.306801,17.997997,11,22
"1997-Life Thru a Lens/03-Ego A Go Go",32.351769,214.959977,31.946114,62.600801,0.000000,5.047430,0.405655,35.266134,88.748018,-nan,0.000000,-nan,0.000000,13.200949,4.909642,0.000000,0.889255,31.946114,26.647918,3.989153,13.277258,6.890699,31.946114,29.804683,6.074907,26.721212,8,27
"1997-Life Thru a Lens/04-Angels",81.567210,264.999977,81.421786,17.726454,0.000000,0.706336,0.145424,89.909969,76.259811,-nan,0.000000,-nan,0.000000,56.170799,22.888428,-nan,0.000000,81.421786,12.710505,3.312136,0.750867,0.024148,81.421786,9.960596,2.501406,5.264451,7,12
"1997-Life Thru a Lens/05-South Of The Border",45.427114,233.373311,44.465918,53.239431,1.173511,0.159943,0.961196,50.903121,80.856700,-nan,0.000000,-nan,0.000000,18.351485,18.022160,-nan,0.000000,44.465918,23.554546,16.996593,5.546086,0.336609,44.465918,29.155277,12.036199,12.047956,8,25
"1997-Life Thru a Lens/06-Old Before I Die",42.020161,221.530951,41.957272,57.827948,0.141082,0.010809,0.062890,64.628999,55.152727,-nan,0.000000,-nan,0.000000,14.098978,44.773574,-nan,0.000000,41.957272,28.393580,15.943791,2.274104,0.495930,41.957272,33.167603,3.748855,20.911490,14,33
"1997-Life Thru a Lens/07-One Of God's Better People",47.342856,201.779183,47.150384,52.403269,0.000000,0.253875,0.192472,45.419794,42.929408,79.220470,1.953967,-nan,0.000000,47.395546,54.292157,98.362449,0.378121,47.150384,38.227886,3.332880,3.805972,0.431164,47.150384,33.622136,2.539855,16.241279,11,24
"1997-Life Thru a Lens/08-Let Me Entertain You",60.942995,261.999977,60.925270,35.575526,0.118736,3.362743,0.017725,70.512937,86.402968,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,10.216564,60.925270,13.837749,10.570435,3.191048,0.035424,60.925270,20.615096,4.909730,10.050700,4,14
"1997-Life Thru a Lens/09-Killing Me",53.552428,220.898367,53.245959,45.569350,0.000000,0.878222,0.306469,75.404899,47.624357,-nan,0.000000,-nan,0.000000,21.278368,42.567322,95.983121,8.623630,53.245959,23.215363,17.263314,0.486520,0.000000,53.245959,21.030028,2.340412,22.198911,11,20
"1997-Life Thru a Lens/10-Clean",48.595165,224.099635,48.330392,33.301270,0.000000,18.103565,0.264773,59.308834,79.828882,-nan,0.000000,-nan,0.000000,54.627461,1.802780,-nan,0.000000,48.330392,10.748439,8.080913,4.435224,0.131156,48.330392,16.360707,3.158863,13.781700,8,26
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",69.762255,127.814763,69.484661,24.721294,0.000000,5.516450,0.277595,93.262674,59.316709,56.538866,17.492649,-nan,0.000000,0.000000,8.779483,49.600902,8.617114,69.484661,20.786157,0.737072,1.053947,0.000426,69.484661,19.004259,0.083224,5.633811,6,14
"1998-I've Been Expecting You/01-Strong",46.320443,279.313356,46.178932,52.466734,0.000000,1.212822,0.141512,53.320904,81.479080,-nan,0.000000,-nan,0.000000,15.923667,17.166587,-nan,0.000000,46.178932,31.813204,7.521099,4.129937,0.024209,46.178932,43.363378,4.196840,4.906516,10,17
"1998-I've Been Expecting You/02-No Regrets",54.490311,296.426122,54.361651,45.052756,0.000000,0.456932,0.128660,65.836095,43.872315,-nan,0.000000,-nan,0.000000,31.277468,42.846389,95.123257,12.695703,54.361651,28.576981,5.009833,8.275226,0.074707,54.361651,28.948826,3.860128,12.243803,9,24
"1998-I've Been Expecting You/03-Millennium",27.029708,247.573311,26.691193,69.457784,0.600257,2.912250,0.338515,54.798265,48.708099,-nan,0.000000,-nan,0.000000,0.000000,48.041136,-nan,0.000000,26.691193,24.071790,14.632668,9.656041,0.012145,26.691193,37.563851,2.646845,29.247088,2,22
"1998-I've Been Expecting You/04-Phoenix From The Flames",57.428018,216.007621,57.428018,42.283349,0.163448,0.103685,0.021499,82.922284,58.903094,-nan,0.000000,6.342241,11.186481,27.104446,29.053365,0.000000,0.731876,57.428018,19.195730,15.749170,1.110462,0.000000,57.428018,19.545271,2.704299,20.033779,14,27
"1998-I've Been Expecting You/05-Win Some Lose Some",59.404822,258.733311,59.254824,38.478692,0.000000,2.116486,0.149998,66.245839,88.221975,-nan,0.000000,0.000000,1.232816,9.801464,8.278725,-nan,0.000000,59.254824,18.858350,10.440015,1.714335,0.142820,59.254824,25.087888,9.242334,4.148469,7,20
"1998-I've Been Expecting You/06-Grace",49.665460,193.632744,49.460804,46.251805,0.000000,4.082734,0.204656,47.793309,35.619679,89.157726,23.601064,8.925169,7.792811,18.915535,3.169815,39.561302,25.529241,49.460804,13.068653,5.007364,4.478147,0.529581,49.460804,20.972423,1.192172,24.087210,11,30
"1998-I've Been Expecting You/07-It's Only Us",65.443657,159.580000,65.110881,33.595772,0.000000,0.960571,0.332776,59.595828,74.342555,90.284532,3.649716,98.937585,5.216187,79.686192,15.498195,-nan,0.000000,65.110881,17.221880,6.959852,1.724737,0.249606,65.110881,24.000033,3.838350,5.757389,11,23
"1998-I've Been Expecting You/08-Heaven From Here",62.422115,169.647890,62.394741,37.316306,0.200295,0.061285,0.027374,67.912487,63.300524,58.465762,8.104114,-nan,0.000000,62.974906,16.627196,35.327116,11.879506,62.394741,23.434719,7.576490,2.668018,0.036424,62.394741,20.171565,3.884810,13.259931,12,20
"1998-I've Been Expecting You/09-Karma Killer",54.696545,258.009683,50.401192,37.101307,0.000000,8.202147,4.295353,52.497484,55.310689,-nan,0.000000,38.625003,8.000859,75.541221,24.190951,-nan,0.000000,50.401192,20.312321,7.339298,4.934758,0.002769,50.401192,15.273030,1.388353,20.439924,13,28
"1998-I've Been Expecting You/10-She's The One",72.659034,258.035465,72.641037,26.714789,0.131923,0.494254,0.017997,73.801742,47.460132,84.346874,15.309229,52.955831,14.761510,76.899350,21.956878,-nan,0.000000,72.641037,10.450803,4.857513,4.606558,0.158840,72.641037,12.837975,2.933389,10.943424,10,11
"1998-I've Been Expecting You/11-Man Machine",32.322937,214.999977,32.301337,67.380485,0.143384,0.153193,0.021600,29.746779,79.918968,94.378989,1.657543,23.318508,11.596404,64.031128,6.652291,-nan,0.000000,32.301337,31.997113,12.019272,3.813363,0.110773,32.301337,37.295061,6.648401,23.437023,11,24
"1998-I've Been Expecting You/12-1-These Dreams",65.832201,309.847052,65.712304,33.623547,0.000000,0.544252,0.119897,74.796999,62.130339,79.562011,7.683215,-nan,0.000000,54.128699,24.252856,0.000000,5.269442,65.712304,15.903713,7.063511,0.862317,0.336572,65.712304,19.483975,1.793680,12.345893,17,25
"1998-I've Been Expecting You/12-2-Stand Your Ground",61.883183,143.887959,23.995286,37.972209,0.144608,0.000000,37.887897,34.131285,41.279551,58.366288,9.788858,31.834150,1.874979,39.217800,9.168715,-nan,0.000000,23.995286,26.285806,2.469262,4.724953,0.000000,23.995286,27.861295,0.101490,10.009425,7,14
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",64.313621,226.577052,64.139813,19.958322,0.000000,15.728057,0.173808,87.583238,38.087226,83.481488,17.061958,98.398685,0.639989,68.870342,13.079932,45.310019,15.229030,64.139813,9.661583,7.578846,1.197654,0.101811,64.139813,8.576730,3.395990,7.985601,12,17
