MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",77.841301,234.666644,75.611091,21.415840,0.245971,0.496888,2.230210,77.944090,91.388711,-nan,0.000000,-nan,0.000000,74.419607,5.884190,-nan,0.000000,75.611091,6.228752,4.245364,4.866276,0.000000,75.611091,11.730975,7.035659,2.649206,8,16
"1997-Life Thru a Lens/02-Life Thru A Lens",67.357532,177.604423,66.102302,32.504119,0.004916,0.133434,1.255229,79.928697,79.215062,0.000000,1.573537,-nan,0.000000,15.635844,17.822738,-nan,0.000000,66.102302,24.758454,4.960845,0.986523,0.059458,66.102302,9.781629,4.021089,18.701401,11,17
"1997-Life Thru a Lens/03-Ego A Go Go",49.080632,214.959977,46.389281,47.958874,0.198761,2.761733,2.691351,47.889944,88.748018,-nan,0.000000,-nan,0.000000,79.189151,4.909642,0.000000,0.889255,46.389281,16.011492,13.276682,16.315192,2.355509,46.389281,13.712303,20.782049,13.464522,8,20
"1997-Life Thru a Lens/04-Angels",88.300022,264.999977,87.681436,11.466803,0.000000,0.233175,0.618585,92.098330,76.259811,-nan,0.000000,-nan,0.000000,76.228141,22.888428,-nan,0.000000,87.681436,8.653027,2.171915,0.618192,0.023668,87.681436,5.275763,1.746929,4.444112,7,10
"1997-Life Thru a Lens/05-South Of The Border",62.158845,233.373311,61.068109,37.791601,0.019151,0.030403,1.090736,63.111525,80.856700,-nan,0.000000,-nan,0.000000,55.699272,18.022160,-nan,0.000000,61.068109,13.591627,17.991766,3.820278,0.000000,61.068109,12.772574,11.299813,13.719214,8,17
"1997-Life Thru a Lens/06-Old Before I Die",53.439235,221.530951,53.407790,45.014823,1.503688,0.042254,0.031445,75.734511,55.152727,-nan,0.000000,-nan,0.000000,25.993328,44.773574,-nan,0.000000,53.407790,23.302916,18.456608,2.877962,0.000000,53.407790,18.010966,5.831947,21.171911,14,21
"1997-Life Thru a Lens/07-One Of God's Better People",74.228402,201.779183,74.136341,25.417312,0.000000,0.354286,0.092061,63.500545,42.929408,35.390201,1.953967,-nan,0.000000,85.066468,54.292157,0.000000,0.378121,74.136341,18.912942,3.408768,2.973694,0.121909,74.136341,14.360829,4.204433,6.852050,11,14
"1997-Life Thru a Lens/08-Let Me Entertain You",68.546102,261.999977,68.510651,27.112750,0.996131,3.345018,0.035450,79.292012,86.402968,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,10.216564,68.510651,8.440689,13.843081,3.419830,0.000000,68.510651,12.194425,8.297796,6.620528,4,9
"1997-Life Thru a Lens/09-Killing Me",52.472064,220.898367,51.683694,47.131616,0.000000,0.396320,0.788370,82.903891,47.624357,-nan,0.000000,-nan,0.000000,18.773708,42.567322,48.816838,8.623630,51.683694,27.892513,18.848450,0.370729,0.000000,51.683694,20.703634,1.113675,25.314307,11,13
"1997-Life Thru a Lens/10-Clean",60.809738,224.099635,59.001110,22.630553,0.000000,16.559710,1.808628,73.909477,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,59.001110,7.031909,10.661600,2.382230,0.140597,59.001110,5.664644,5.668669,11.297240,8,19
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",77.883030,127.814763,72.555043,21.650912,0.000000,0.466058,5.327987,93.383239,59.316709,85.531380,17.492649,-nan,0.000000,25.075220,8.779483,0.000000,8.617114,72.555043,17.719184,2.205466,1.099381,0.027375,72.555043,16.772696,0.670489,4.207728,6,10
"1998-I've Been Expecting You/01-Strong",62.757147,279.313356,61.537181,36.283398,0.825088,0.134181,1.220153,64.997234,81.479080,-nan,0.000000,-nan,0.000000,49.969358,17.166587,-nan,0.000000,61.537181,27.762648,3.502686,4.045416,0.000000,61.537181,27.937835,3.919963,4.425599,10,15
"1998-I've Been Expecting You/02-No Regrets",55.260285,296.426122,54.688209,44.699616,0.026583,0.013517,0.572076,75.387369,43.872315,-nan,0.000000,-nan,0.000000,46.768266,42.846389,12.409799,12.695703,54.688209,34.511664,2.374844,6.607773,0.065420,54.688209,32.992899,0.402137,11.304580,9,20
"1998-I've Been Expecting You/03-Millennium",50.769460,247.573311,47.620765,46.320616,2.807854,0.102070,3.148695,79.624542,48.708099,-nan,0.000000,-nan,0.000000,18.394993,48.041136,-nan,0.000000,47.620765,7.461543,18.959922,7.486538,0.032304,47.620765,16.687734,4.143045,25.489837,2,17
"1998-I've Been Expecting You/04-Phoenix From The Flames",61.699052,216.007621,61.699052,38.162809,0.012954,0.060687,0.064498,89.044197,58.903094,-nan,0.000000,0.000000,11.186481,31.835434,29.053365,0.000000,0.731876,61.699052,18.497520,17.441844,0.793748,0.000000,61.699052,18.311533,3.913588,15.937688,14,19
"1998-I've Been Expecting You/05-Win Some Lose Some",76.669484,258.733311,75.900247,21.833268,0.000000,1.497247,0.769237,82.289549,88.221975,-nan,0.000000,0.000000,1.232816,39.894814,8.278725,-nan,0.000000,75.900247,11.249389,8.786538,0.871287,0.073478,75.900247,11.050558,8.402082,2.380628,7,12
"1998-I've Been Expecting You/06-Grace",52.305332,193.632744,48.129767,47.333451,0.249391,0.099038,4.188353,56.393055,35.619679,81.802997,23.601064,15.542104,7.792811,88.397983,3.169815,18.500922,25.529241,48.129767,26.476647,10.558221,6.607900,0.764697,48.129767,30.499167,4.328037,12.506248,11,24
"1998-I've Been Expecting You/07-It's Only Us",81.284787,159.580000,80.063512,18.309385,0.333756,0.072071,1.221276,82.212534,74.342555,87.493776,3.649716,97.360850,5.216187,68.864891,15.498195,-nan,0.000000,80.063512,10.148778,5.981417,2.087453,0.091737,80.063512,9.897281,4.755837,3.656267,11,17
"1998-I've Been Expecting You/08-Heaven From Here",66.251132,169.647890,66.196383,33.706283,0.008675,0.033910,0.054749,79.134026,63.300524,32.241587,8.104114,-nan,0.000000,70.505053,16.627196,14.884635,11.879506,66.196383,22.250970,8.741689,0.834328,0.031531,66.196383,18.067262,5.478455,10.160567,12,18
"1998-I've Been Expecting You/09-Karma Killer",66.919453,258.009683,58.340270,29.162230,0.000000,3.918317,8.579184,65.760719,55.310689,-nan,0.000000,63.648948,8.000859,69.757902,24.190951,-nan,0.000000,58.340270,18.438751,7.554752,2.988734,0.000000,58.340270,10.908528,3.018061,15.235641,13,18
"1998-I've Been Expecting You/10-She's The One",82.500384,258.035465,82.482386,16.531487,0.473875,0.494254,0.017997,91.236793,47.460132,87.860120,15.309229,59.025426,14.761510,77.504340,21.956878,-nan,0.000000,82.482386,7.866283,4.594879,3.830495,0.239829,82.482386,4.872829,3.411650,8.247008,10,9
"1998-I've Been Expecting You/11-Man Machine",34.991999,214.999977,34.883999,64.941208,0.000000,0.066793,0.108000,34.080271,79.918968,0.000000,1.657543,13.685788,11.596404,91.101528,6.652291,-nan,0.000000,34.883999,40.810530,18.948228,4.759584,0.422866,34.883999,27.689007,8.345590,28.906611,11,16
"1998-I've Been Expecting You/12-1-These Dreams",73.671064,309.847052,73.051879,26.281162,0.002810,0.044964,0.619185,78.968163,62.130339,59.638481,7.683215,-nan,0.000000,80.017542,24.252856,0.000000,5.269442,73.051879,11.513184,12.878228,1.240010,0.050219,73.051879,11.536018,4.009790,10.735354,17,22
"1998-I've Been Expecting You/12-2-Stand Your Ground",73.901164,143.887959,36.013897,26.098206,0.000000,0.000630,37.887267,46.857020,41.279551,73.370121,9.788858,61.097189,1.874979,91.003729,9.168715,-nan,0.000000,36.013897,21.947695,3.004542,0.410010,0.138871,36.013897,21.515433,0.312475,4.270298,7,8
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",73.412996,226.577052,57.537362,26.162757,0.398017,0.026231,15.875634,83.788869,38.087226,59.472006,17.061958,96.797384,0.639989,80.698994,13.079932,28.252299,15.229030,57.537362,15.230863,7.808609,1.339046,0.062550,57.537362,11.947932,1.446691,12.768134,12,19
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",76.586992,299.034989,74.451817,19.455698,3.093458,0.863852,2.135175,79.753137,83.731258,-nan,0.000000,64.152778,5.037133,53.956965,8.232582,-nan,0.000000,74.451817,8.191216,8.735098,1.558164,0.062719,74.451817,7.037308,5.348141,7.070249,10,19
"2000-Sing When You 're Winning/02-Better Man",79.147091,199.550159,77.495042,20.708139,0.000000,0.144770,1.652049,80.982335,62.715878,-nan,0.000000,-nan,0.000000,84.407226,18.371299,65.433237,17.116004,77.495042,6.854726,11.870303,1.610754,0.000000,77.495042,3.130124,6.326644,11.251371,10,13
"2000-Sing When You 're Winning/03-Rock DJ",50.451570,258.566689,48.740059,48.967950,0.538386,0.042095,1.711511,50.522517,86.566341,0.000000,0.892273,-nan,0.000000,62.117792,8.056571,0.000000,2.731209,48.740059,29.489649,4.634445,14.341900,0.501956,48.740059,21.441356,7.687039,19.839555,7,10
"2000-Sing When You 're Winning/04-Supreme",74.783551,245.977097,72.278884,23.905162,1.242967,0.063636,2.509350,64.320201,59.110145,-nan,0.000000,-nan,0.000000,89.410021,38.316869,-nan,0.000000,72.278884,20.019377,3.027207,0.858578,0.000000,72.278884,19.348538,1.152845,3.403779,6,13
"2000-Sing When You 're Winning/05-Kids",42.776102,286.706644,42.613208,56.160425,1.022979,0.040494,0.162895,42.700055,99.796611,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.613208,44.093756,5.940511,2.092185,0.025040,42.613208,47.874229,3.274903,5.011293,7,14
"2000-Sing When You 're Winning/06-If It's Hurting You",79.252422,250.370227,74.597637,18.030360,2.704756,0.012462,4.654785,67.986290,42.382567,-nan,0.000000,82.090507,7.450219,87.181118,45.499967,-nan,0.000000,74.597637,10.296543,2.833754,4.900063,0.000000,74.597637,7.145002,0.477588,10.407770,7,11
"2000-Sing When You 're Winning/07-Singing For The Lonely",62.977702,266.257893,61.294638,36.792276,0.191918,0.033112,1.688055,68.543301,65.285706,-nan,0.000000,92.049369,1.061099,52.691538,27.594306,23.723527,4.337721,61.294638,24.016951,8.667896,2.960475,0.196381,61.294638,23.438479,8.518535,4.835262,10,16
"2000-Sing When You 're Winning/08-Love Calling Earth",53.446047,245.626644,52.259993,46.335713,0.149296,0.068943,1.186054,38.681041,68.349546,93.774061,10.142618,90.263592,13.972923,73.756291,5.013905,0.000000,1.266011,52.259993,35.287060,3.647729,4.581848,0.332844,52.259993,29.697765,2.885571,13.752377,19,26
