MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",90.501623,234.666644,88.423246,8.645370,0.204285,0.648722,2.078376,91.673150,91.388711,-nan,0.000000,-nan,0.000000,78.929061,5.884190,-nan,0.000000,88.423246,3.284565,3.488859,1.871946,0.000000,88.423246,2.049929,5.261499,1.333942,8,8
"1997-Life Thru a Lens/02-Life Thru A Lens",73.745981,177.604423,72.488517,26.122820,0.000000,0.131199,1.257464,88.503364,79.215062,0.000000,1.573537,-nan,0.000000,13.356662,17.822738,-nan,0.000000,72.488517,20.373337,3.625753,1.921619,0.202110,72.488517,2.762158,4.692099,18.668563,11,11
"1997-Life Thru a Lens/03-Ego A Go Go",65.683924,214.959977,63.291948,27.878439,3.376529,3.061109,2.391976,69.724941,88.748018,-nan,0.000000,-nan,0.000000,28.768792,4.909642,0.000000,0.889255,63.291948,1.213684,19.805354,6.859401,0.000000,63.291948,1.968873,22.805522,3.104043,8,8
"1997-Life Thru a Lens/04-Angels",95.122218,264.999977,94.518453,4.629786,0.000000,0.247995,0.603765,97.787200,76.259811,-nan,0.000000,-nan,0.000000,87.144990,22.888428,-nan,0.000000,94.518453,2.893698,1.403756,0.332332,0.000000,94.518453,0.000000,1.404517,3.225269,7,8
"1997-Life Thru a Lens/05-South Of The Border",77.787761,233.373311,76.982185,21.896676,0.000000,0.315563,0.805576,82.138141,80.856700,-nan,0.000000,-nan,0.000000,58.638890,18.022160,-nan,0.000000,76.982185,12.271552,9.248648,0.376476,0.000000,76.982185,8.010426,7.550153,6.336096,8,10
"1997-Life Thru a Lens/06-Old Before I Die",72.710509,221.530951,72.710509,25.510999,1.704793,0.073699,0.000000,94.863530,55.152727,-nan,0.000000,-nan,0.000000,45.541786,44.773574,-nan,0.000000,72.710509,10.188836,13.910712,1.411451,0.000000,72.710509,4.982274,1.744487,18.784239,14,14
"1997-Life Thru a Lens/07-One Of God's Better People",87.412669,201.779183,86.975391,12.488573,0.089690,0.009069,0.437278,96.104194,42.929408,0.000000,1.953967,-nan,0.000000,84.208166,54.292157,0.000000,0.378121,86.975391,10.213586,0.232624,2.042363,0.000000,86.975391,5.082812,1.607851,5.797910,11,9
"1997-Life Thru a Lens/08-Let Me Entertain You",69.812300,261.999977,69.560391,26.020982,1.038159,3.128559,0.251908,80.506947,86.402968,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,10.216564,69.560391,6.930390,15.329059,3.761532,0.000000,69.560391,8.921468,13.050519,4.048995,4,5
"1997-Life Thru a Lens/09-Killing Me",58.050295,220.898367,57.199225,41.616084,0.000000,0.333620,0.851070,93.949540,47.624357,-nan,0.000000,-nan,0.000000,29.262729,42.567322,0.000000,8.623630,57.199225,20.967595,20.579014,0.069475,0.000000,57.199225,14.128495,1.404028,26.083562,11,9
"1997-Life Thru a Lens/10-Clean",71.132557,224.099635,68.476567,13.133714,0.021381,15.712348,2.655990,84.555471,79.828882,-nan,0.000000,-nan,0.000000,54.187414,1.802780,-nan,0.000000,68.476567,7.582137,4.331052,1.220526,0.000000,68.476567,0.196534,4.699227,8.237954,8,9
