MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",88.058353,234.666644,85.867735,11.277923,0.127243,0.536481,2.190617,88.934652,91.388711,-nan,0.000000,-nan,0.000000,78.031190,5.884190,-nan,0.000000,85.867735,3.838650,4.911877,2.527396,0.000000,85.867735,3.399192,6.359925,1.518806,8,10
"1997-Life Thru a Lens/02-Life Thru A Lens",75.036503,177.604423,73.728988,24.825139,0.057210,0.081148,1.307515,90.241809,79.215062,0.000000,1.573537,-nan,0.000000,12.590003,17.822738,-nan,0.000000,73.728988,19.072572,4.399589,1.296014,0.056964,73.728988,2.719358,3.650036,18.455745,11,11
"1997-Life Thru a Lens/03-Ego A Go Go",56.249899,214.959977,53.526140,40.400759,0.620016,2.729326,2.723759,56.294217,88.748018,-nan,0.000000,-nan,0.000000,72.635408,4.909642,0.000000,0.889255,53.526140,8.477335,19.618149,10.233455,2.071820,53.526140,8.733481,22.897124,8.770154,8,12
"1997-Life Thru a Lens/04-Angels",87.953730,264.999977,87.221235,11.707961,0.219044,0.119266,0.732495,96.207943,76.259811,-nan,0.000000,-nan,0.000000,60.525079,22.888428,-nan,0.000000,87.221235,8.778764,2.115126,0.814071,0.000000,87.221235,5.701148,1.597101,4.409712,7,10
"1997-Life Thru a Lens/05-South Of The Border",75.528858,233.373311,74.712428,24.107269,0.059163,0.304710,0.816430,82.025773,80.856700,-nan,0.000000,-nan,0.000000,46.548772,18.022160,-nan,0.000000,74.712428,7.300522,14.695385,2.111362,0.000000,74.712428,5.417081,11.691618,6.998571,8,12
"1997-Life Thru a Lens/06-Old Before I Die",56.352787,221.530951,56.352787,43.013167,0.560348,0.073699,0.000000,88.443651,55.152727,-nan,0.000000,-nan,0.000000,16.915561,44.773574,-nan,0.000000,56.352787,23.404941,17.181674,2.335154,0.091398,56.352787,19.150366,2.731722,21.131078,14,17
"1997-Life Thru a Lens/07-One Of God's Better People",77.896410,201.779183,77.896410,21.657243,0.000000,0.446347,0.000000,91.706128,42.929408,0.000000,1.953967,-nan,0.000000,70.963311,54.292157,0.000000,0.378121,77.896410,16.591410,2.461905,2.525662,0.078266,77.896410,10.217669,2.492897,8.946676,11,13
"1997-Life Thru a Lens/08-Let Me Entertain You",66.168518,261.999977,66.168518,29.534649,0.916365,3.380468,0.000000,76.581302,86.402968,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,10.216564,66.168518,9.863018,15.804840,3.866791,0.000000,66.168518,13.177279,11.554559,4.802811,4,5
"1997-Life Thru a Lens/09-Killing Me",49.402090,220.898367,48.603215,50.212094,0.000000,0.385816,0.798874,81.958228,47.624357,-nan,0.000000,-nan,0.000000,14.187397,42.567322,40.956548,8.623630,48.603215,29.178558,20.263823,0.769713,0.000000,48.603215,22.681856,2.515354,25.014884,11,12
"1997-Life Thru a Lens/10-Clean",63.950576,224.099635,61.385566,20.246096,0.000000,15.803328,2.565010,76.896437,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,61.385566,6.562039,10.911204,2.740338,0.032515,61.385566,1.858507,12.533362,5.854226,8,11
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",87.267323,127.814763,81.721346,12.484609,0.000000,0.248068,5.545977,98.799722,59.316709,83.162866,17.492649,-nan,0.000000,0.000000,8.779483,99.444132,8.617114,81.721346,9.309552,2.343918,0.831139,0.000000,81.721346,8.617361,0.906833,2.960414,6,7
"1998-I've Been Expecting You/01-Strong",66.145473,279.313356,64.908693,33.435604,0.301369,0.117554,1.236780,72.601589,81.479080,-nan,0.000000,-nan,0.000000,33.516195,17.166587,-nan,0.000000,64.908693,26.412543,4.105490,2.917571,0.000000,64.908693,25.458003,4.939181,3.038421,10,13
"1998-I've Been Expecting You/02-No Regrets",62.933589,296.426122,62.455513,36.524980,0.433914,0.107517,0.478076,72.455734,43.872315,-nan,0.000000,-nan,0.000000,49.677017,42.846389,73.904510,12.695703,62.455513,31.034029,2.880553,2.535680,0.074717,62.455513,29.720568,1.142368,5.662044,9,15
"1998-I've Been Expecting You/03-Millennium",56.697506,247.573311,53.483164,41.508670,1.757401,0.036423,3.214342,85.575461,48.708099,-nan,0.000000,-nan,0.000000,24.564331,48.041136,-nan,0.000000,53.483164,14.018254,24.712246,2.557674,0.220496,53.483164,13.530479,2.576813,25.401377,2,10
"1998-I've Been Expecting You/04-Phoenix From The Flames",65.018285,216.007621,65.018285,34.843564,0.012966,0.125184,0.000000,97.421630,58.903094,-nan,0.000000,0.000000,11.186481,26.275546,29.053365,0.000000,0.731876,65.018285,14.198317,20.018923,0.613751,0.012573,65.018285,12.079230,3.514253,19.250081,14,15
"1998-I've Been Expecting You/05-Win Some Lose Some",85.996083,258.733311,84.033247,13.700269,0.000000,0.303648,1.962836,91.702979,88.221975,-nan,0.000000,0.000000,1.232816,37.820651,8.278725,-nan,0.000000,84.033247,7.852039,4.550816,1.261794,0.035620,84.033247,6.928590,5.474456,1.297223,7,9
"1998-I've Been Expecting You/06-Grace",53.770033,193.632744,49.521735,45.701624,0.489250,0.039093,4.248297,68.251993,35.619679,61.176988,23.601064,0.000000,7.792811,0.000000,3.169815,42.195436,25.529241,49.521735,30.116463,6.115001,8.981855,0.488304,49.521735,26.832924,2.331373,16.537326,11,17
"1998-I've Been Expecting You/07-It's Only Us",76.111579,159.580000,74.992158,23.598980,0.115515,0.173926,1.119421,88.709233,74.342555,0.000000,3.649716,0.000000,5.216187,58.351613,15.498195,-nan,0.000000,74.992158,14.731738,6.261828,2.605415,0.000000,74.992158,14.514066,5.912140,3.172775,11,12
"1998-I've Been Expecting You/08-Heaven From Here",67.330863,169.647890,67.330863,32.571805,0.008673,0.088659,0.000000,85.602730,63.300524,0.000000,8.104114,-nan,0.000000,66.624652,16.627196,17.391918,11.879506,67.330863,24.102494,7.632357,0.817984,0.018970,67.330863,16.338699,4.466884,11.766222,12,13
"1998-I've Been Expecting You/09-Karma Killer",59.952424,258.009683,51.177308,35.081170,1.244021,3.722384,8.775116,57.689799,55.310689,-nan,0.000000,0.000000,8.000859,79.652441,24.190951,-nan,0.000000,51.177308,16.269873,11.074523,7.736774,0.000000,51.177308,7.207371,3.113721,24.760078,13,13
"1998-I've Been Expecting You/10-She's The One",63.149249,258.035465,63.149249,35.720652,0.617847,0.512252,0.000000,85.078940,47.460132,13.097865,15.309229,37.299916,14.761510,69.497400,21.956878,-nan,0.000000,63.149249,24.184387,5.249967,6.091444,0.194854,63.149249,20.069694,5.750314,9.900644,10,9
