MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",75.625208,234.666644,73.394997,23.631933,0.245971,0.496888,2.230210,-nan,0.000000,49.480244,4.719437,-nan,0.000000,76.937090,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.419607,5.884190,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.611091,6.228752,4.245364,4.866276,0.000000,73.394997,13.947068,6.866142,2.818724,9,18
"1997-Life Thru a Lens/02-Life Thru A Lens",63.080249,177.604423,61.825020,36.781402,0.004916,0.133434,1.255229,-nan,0.000000,0.000000,2.395385,-nan,0.000000,76.853075,76.819678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.573537,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.635844,17.822738,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.102302,24.758454,4.960845,0.986523,0.059458,61.825020,14.058912,3.279957,19.442532,12,19
"1997-Life Thru a Lens/03-Ego A Go Go",49.080632,214.959977,46.389281,47.958874,0.198761,2.761733,2.691351,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.889944,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.189151,4.909642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.889255,46.389281,16.011492,13.276682,16.315192,2.355509,46.389281,13.712303,20.782049,13.464522,8,22
"1997-Life Thru a Lens/04-Angels",84.613837,264.999977,83.995251,15.152989,0.000000,0.233175,0.618585,-nan,0.000000,-nan,0.000000,91.018554,4.859300,87.009129,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.228141,22.888428,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.681436,8.653027,2.171915,0.618192,0.023668,83.995251,8.961948,1.552585,4.638456,8,12
"1997-Life Thru a Lens/05-South Of The Border",62.158845,233.373311,61.068109,37.791601,0.019151,0.030403,1.090736,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.111525,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.699272,18.022160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.068109,13.591627,17.991766,3.820278,0.000000,61.068109,12.772574,10.981422,14.037605,8,18
"1997-Life Thru a Lens/06-Old Before I Die",53.135269,221.530951,53.103825,45.318789,1.503688,0.042254,0.031445,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.734511,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,25.314432,44.773574,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.407790,23.302916,18.456608,2.877962,0.000000,53.103825,18.314932,4.982939,22.020919,14,24
"1997-Life Thru a Lens/07-One Of God's Better People",74.228402,201.779183,74.136341,25.417312,0.000000,0.354286,0.092061,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.500545,42.929408,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.390201,1.953967,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.996816,88.314599,52.295341,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.378121,74.136341,18.912942,3.408768,2.973694,0.121909,74.136341,14.360829,3.352264,7.704219,12,16
"1997-Life Thru a Lens/08-Let Me Entertain You",65.920546,261.999977,65.885095,29.738306,0.996131,3.345018,0.035450,-nan,0.000000,6.757821,10.294924,57.339423,2.198318,86.495896,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.734331,0.000000,9.482234,68.510651,8.440689,13.843081,3.419830,0.000000,65.885095,14.819981,1.803594,13.114730,8,13
"1997-Life Thru a Lens/09-Killing Me",52.472064,220.898367,51.683694,47.131616,0.000000,0.396320,0.788370,-nan,0.000000,0.000000,5.396033,98.682608,4.084578,92.942306,38.143746,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.861679,6.861889,0.000000,6.954482,23.532495,28.750952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.816838,8.623630,51.683694,27.892513,18.848450,0.370729,0.000000,51.683694,20.703634,0.518507,25.909475,14,16
"1997-Life Thru a Lens/10-Clean",58.338523,224.099635,56.529895,25.101767,0.000000,16.559710,1.808628,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.813838,79.828882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.001110,7.031909,10.661600,2.382230,0.140597,56.529895,8.135858,5.632414,11.333494,8,22
