MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",85.830646,234.666644,83.752269,13.316347,0.204285,0.648722,2.078376,-nan,0.000000,0.000000,4.719437,-nan,0.000000,91.275638,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.929061,5.884190,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.423246,3.284565,3.488859,1.871946,0.000000,83.752269,6.720906,5.229872,1.365569,9,8
"1997-Life Thru a Lens/02-Life Thru A Lens",73.745981,177.604423,72.488517,26.122820,0.000000,0.131199,1.257464,-nan,0.000000,0.000000,2.395385,-nan,0.000000,91.263068,76.819678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.573537,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.356662,17.822738,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.488517,20.373337,3.625753,1.921619,0.202110,72.488517,2.762158,4.692099,18.668563,12,11
"1997-Life Thru a Lens/03-Ego A Go Go",65.683924,214.959977,63.291948,27.878439,3.376529,3.061109,2.391976,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.724941,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.768792,4.909642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.889255,63.291948,1.213684,19.805354,6.859401,0.000000,63.291948,1.968873,22.805522,3.104043,8,8
"1997-Life Thru a Lens/04-Angels",90.602165,264.999977,89.998400,9.149840,0.000000,0.247995,0.603765,-nan,0.000000,-nan,0.000000,0.000000,4.859300,98.111736,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.144990,22.888428,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.518453,2.893698,1.403756,0.332332,0.000000,89.998400,4.520053,1.389021,3.240766,8,8
"1997-Life Thru a Lens/05-South Of The Border",77.787761,233.373311,76.982185,21.896676,0.000000,0.315563,0.805576,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.138141,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.638890,18.022160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.982185,12.271552,9.248648,0.376476,0.000000,76.982185,8.010426,7.550153,6.336096,8,10
"1997-Life Thru a Lens/06-Old Before I Die",72.710509,221.530951,72.710509,25.510999,1.704793,0.073699,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.863530,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.541786,44.773574,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.710509,10.188836,13.910712,1.411451,0.000000,72.710509,4.982274,1.744487,18.784239,14,14
"1997-Life Thru a Lens/07-One Of God's Better People",87.412669,201.779183,86.975391,12.488573,0.089690,0.009069,0.437278,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.104194,42.929408,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.953967,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.996816,87.423524,52.295341,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.378121,86.975391,10.213586,0.232624,2.042363,0.000000,86.975391,5.082812,1.607851,5.797910,12,9
"1997-Life Thru a Lens/08-Let Me Entertain You",65.589463,261.999977,65.337554,30.243819,1.038159,3.128559,0.251908,-nan,0.000000,0.000000,10.294924,0.000000,2.198318,88.401835,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.734331,0.000000,9.482234,69.560391,6.930390,15.329059,3.761532,0.000000,65.337554,13.144305,5.887893,11.211621,8,5
"1997-Life Thru a Lens/09-Killing Me",49.282224,220.898367,48.431154,50.384155,0.000000,0.333620,0.851070,-nan,0.000000,0.000000,5.396033,0.000000,4.084578,94.313741,38.143746,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.861889,0.000000,6.954482,43.325036,28.750952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.623630,57.199225,20.967595,20.579014,0.069475,0.000000,48.431154,22.896565,1.068816,26.418773,14,9
"1997-Life Thru a Lens/10-Clean",70.155677,224.099635,67.499687,14.110594,0.021381,15.712348,2.655990,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.555471,79.828882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.476567,7.582137,4.331052,1.220526,0.000000,67.499687,1.173413,4.699227,8.237954,8,9
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",72.860986,127.814763,67.093996,26.299133,0.812826,0.027055,5.766990,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.516598,59.316709,-nan,0.000000,0.000000,4.356734,-nan,0.000000,-nan,0.000000,0.000000,13.135915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.607090,8.779483,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.617114,67.093996,26.127433,0.050172,0.121527,0.000000,67.093996,25.494927,0.016357,0.787848,7,7
"1998-I've Been Expecting You/01-Strong",91.623514,279.313356,90.502073,7.682583,0.461011,0.228110,1.126223,-nan,0.000000,0.000000,1.018549,-nan,0.000000,94.592409,80.460531,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.982633,88.930797,16.183953,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.970389,2.381407,2.821196,1.011665,0.000000,90.502073,2.463963,2.811632,2.406988,12,10
"1998-I've Been Expecting You/02-No Regrets",74.302064,296.426122,73.890502,25.523905,0.000000,0.174031,0.411562,-nan,0.000000,-nan,0.000000,0.000000,3.991848,94.513700,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.483191,42.846389,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,12.695703,77.403723,14.637497,4.206958,3.166230,0.000000,73.890502,15.227014,1.920766,8.376125,10,10
"1998-I've Been Expecting You/03-Millennium",69.718820,247.573311,66.468055,24.349489,5.931691,0.000000,3.250765,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.609553,48.708099,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.502927,48.041136,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.468055,5.842270,16.474810,2.032408,0.000000,66.468055,2.056232,1.250670,21.042587,2,7
"1998-I've Been Expecting You/04-Phoenix From The Flames",61.044848,216.007621,61.044848,38.809455,0.020512,0.125184,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.261357,58.903094,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,11.186481,-nan,0.000000,0.000000,10.426986,0.000000,5.329440,32.668648,13.296939,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.731876,-nan,0.000000,64.257142,18.488766,15.155161,1.953235,0.000000,61.044848,19.442636,2.804007,16.562812,17,12
"1998-I've Been Expecting You/05-Win Some Lose Some",85.938505,258.733311,84.151603,13.581913,0.000000,0.479582,1.786902,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.834500,88.221975,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.232816,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.818148,8.278725,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.151603,5.419697,6.352044,1.793984,0.016187,84.151603,3.064091,7.359412,3.158410,7,9
