MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",88.058353,234.666644,85.867735,11.277923,0.127243,0.536481,2.190617,-nan,0.000000,85.624090,4.719437,-nan,0.000000,89.114923,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.031190,5.884190,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.867735,3.838650,4.911877,2.527396,0.000000,85.867735,3.399192,5.077418,2.801313,9,12
"1997-Life Thru a Lens/02-Life Thru A Lens",72.048915,177.604423,70.741400,27.812727,0.057210,0.081148,1.307515,-nan,0.000000,0.000000,2.395385,-nan,0.000000,89.166629,76.819678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.573537,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.590003,17.822738,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.728988,19.072572,4.399589,1.296014,0.056964,70.741400,5.706946,3.081519,19.024262,12,12
"1997-Life Thru a Lens/03-Ego A Go Go",44.272281,214.959977,41.548522,52.378377,0.620016,2.729326,2.723759,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.798008,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.635408,4.909642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.889255,53.526140,8.477335,19.618149,10.233455,2.071820,41.548522,20.711099,13.552801,18.114477,8,17
"1997-Life Thru a Lens/04-Angels",83.216798,264.999977,82.484303,16.444892,0.219044,0.119266,0.732495,-nan,0.000000,-nan,0.000000,96.472292,4.859300,89.555642,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.525079,22.888428,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.221235,8.778764,2.115126,0.814071,0.000000,82.484303,10.438079,1.184661,4.822152,8,12
"1997-Life Thru a Lens/05-South Of The Border",74.406207,233.373311,73.589778,25.229920,0.059163,0.304710,0.816430,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.637329,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.548772,18.022160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.712428,7.300522,14.695385,2.111362,0.000000,73.589778,6.539732,11.182504,7.507684,8,13
"1997-Life Thru a Lens/06-Old Before I Die",55.011123,221.530951,55.011123,44.354831,0.560348,0.073699,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.303369,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.323623,44.773574,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.352787,23.404941,17.181674,2.335154,0.091398,55.011123,20.492030,2.731722,21.131078,14,17
"1997-Life Thru a Lens/07-One Of God's Better People",77.122096,201.779183,77.122096,22.431557,0.000000,0.446347,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.706128,42.929408,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.953967,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.996816,72.192280,52.295341,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.378121,77.896410,16.591410,2.461905,2.525662,0.078266,77.122096,10.991983,2.445147,8.994427,12,15
"1997-Life Thru a Lens/08-Let Me Entertain You",64.029042,261.999977,64.029042,31.674125,0.916365,3.380468,0.000000,-nan,0.000000,5.810746,10.294924,66.227261,2.198318,83.852218,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.734331,0.000000,9.482234,66.168518,9.863018,15.804840,3.866791,0.000000,64.029042,15.316754,5.690783,10.666587,8,9
"1997-Life Thru a Lens/09-Killing Me",49.402090,220.898367,48.603215,50.212094,0.000000,0.385816,0.798874,-nan,0.000000,0.000000,5.396033,98.723207,4.084578,91.757251,38.143746,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.650398,6.861889,0.000000,6.954482,19.417973,28.750952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.956548,8.623630,48.603215,29.178558,20.263823,0.769713,0.000000,48.603215,22.681856,0.777296,26.752942,14,15
"1997-Life Thru a Lens/10-Clean",61.630696,224.099635,59.065686,22.565976,0.000000,15.803328,2.565010,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.990371,79.828882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.385566,6.562039,10.911204,2.740338,0.032515,59.065686,4.178387,9.813436,8.574152,8,14
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",77.638837,127.814763,72.092860,22.113095,0.000000,0.248068,5.545977,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.224702,59.316709,-nan,0.000000,64.829635,4.356734,-nan,0.000000,-nan,0.000000,59.181517,13.135915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.779483,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.444132,8.617114,81.721346,9.309552,2.343918,0.831139,0.000000,72.092860,18.245848,0.533927,3.333321,7,10
"1998-I've Been Expecting You/01-Strong",62.751567,279.313356,61.514787,36.829510,0.301369,0.117554,1.236780,-nan,0.000000,0.000000,1.018549,-nan,0.000000,71.578203,80.460531,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,0.982633,18.165842,16.183953,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.908693,26.412543,4.105490,2.917571,0.000000,61.514787,28.851909,4.739656,3.237946,12,17
"1998-I've Been Expecting You/02-No Regrets",62.933589,296.426122,62.455513,36.524980,0.433914,0.107517,0.478076,-nan,0.000000,-nan,0.000000,93.501987,3.991848,70.349103,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.677017,42.846389,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.904510,12.695703,62.455513,31.034029,2.880553,2.535680,0.074717,62.455513,29.720568,0.761803,6.042609,10,19
