Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1997-Life Thru a Lens/01-Lazy Days",234.666644,90,85,0.880386,0.886337,0.880386,0.892368
"1997-Life Thru a Lens/02-Life Thru A Lens",187.533311,80,72,0.826130,0.872546,0.826130,0.924490
"1997-Life Thru a Lens/03-Ego A Go Go",214.959977,116,122,0.836895,0.852074,0.836895,0.867814
"1997-Life Thru a Lens/04-Angels",264.999977,77,81,0.965435,0.971286,0.977207,0.965435
"1997-Life Thru a Lens/05-South Of The Border",233.373311,119,98,0.745775,0.804074,0.745775,0.872260
"1997-Life Thru a Lens/06-Old Before I Die",233.626644,117,90,0.700601,0.803564,0.700601,0.942006
"1997-Life Thru a Lens/07-One Of God's Better People",213.733311,104,87,0.843704,0.887504,0.843704,0.936101
"1997-Life Thru a Lens/08-Let Me Entertain You",261.999977,101,78,0.722856,0.821798,0.722856,0.952122
"1997-Life Thru a Lens/09-Killing Me",236.266644,108,58,0.621649,0.752933,0.621649,0.954513
"1997-Life Thru a Lens/10-Clean",235.439977,105,115,0.787038,0.824551,0.865818,0.787038
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",199.999977,67,69,0.939273,0.942800,0.946355,0.939273
"1998-I've Been Expecting You/01-Strong",279.313356,103,105,0.938215,0.941471,0.938215,0.944749
"1998-I've Been Expecting You/02-No Regrets",310.599977,75,89,0.872902,0.919179,0.970637,0.872902
"1998-I've Been Expecting You/03-Millennium",247.573311,93,98,0.795336,0.813843,0.795336,0.833231
"1998-I've Been Expecting You/04-Phoenix From The Flames",242.444308,130,90,0.690674,0.801863,0.690674,0.955720
"1998-I've Been Expecting You/05-Win Some Lose Some",258.733311,86,86,0.935714,0.943543,0.935714,0.951505
"1998-I've Been Expecting You/06-Grace",193.632744,68,77,0.897849,0.904668,0.911592,0.897849
"1998-I've Been Expecting You/07-It's Only Us",170.733311,67,66,0.904672,0.920139,0.904672,0.936145
"1998-I've Been Expecting You/08-Heaven From Here",185.495714,112,92,0.841920,0.900031,0.841920,0.966759
"1998-I've Been Expecting You/09-Karma Killer",268.266644,120,108,0.849038,0.875655,0.849038,0.903995
"1998-I've Been Expecting You/10-She's The One",258.035465,88,79,0.901965,0.928019,0.901965,0.955623
"1998-I've Been Expecting You/11-Man Machine",214.999977,203,90,0.502752,0.657698,0.502752,0.950701
"1998-I've Been Expecting You/12-1-These Dreams",309.847052,187,137,0.830281,0.877145,0.830281,0.929616
"1998-I've Been Expecting You/12-2-Stand Your Ground",211.109161,59,43,0.831614,0.875527,0.831614,0.924337
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",229.435442,110,111,0.941462,0.950241,0.959185,0.941462
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",299.034989,114,107,0.876048,0.902906,0.876048,0.931464
"2000-Sing When You 're Winning/02-Better Man",202.639977,65,61,0.858511,0.907836,0.858511,0.963175
"2000-Sing When You 're Winning/03-Rock DJ",258.566689,102,89,0.748717,0.814020,0.748717,0.891803
"2000-Sing When You 're Winning/04-Supreme",258.426395,92,94,0.963032,0.963329,0.963032,0.963626
"2000-Sing When You 're Winning/05-Kids",286.706644,128,123,0.910242,0.924105,0.910242,0.938398
"2000-Sing When You 're Winning/06-If It's Hurting You",250.370227,68,73,0.892749,0.917913,0.944537,0.892749
"2000-Sing When You 're Winning/07-Singing For The Lonely",271.593878,114,93,0.827051,0.878077,0.827051,0.935814
"2000-Sing When You 're Winning/08-Love Calling Earth",245.626644,74,84,0.899867,0.932183,0.966906,0.899867
"2000-Sing When You 're Winning/09-Knutsford City Limits",285.469320,179,136,0.735819,0.817420,0.735819,0.919378
"2000-Sing When You 're Winning/10-Forever Texas",217.631111,90,65,0.894265,0.922435,0.894265,0.952438
"2000-Sing When You 're Winning/11-By All Means Necessary",285.666644,118,122,0.935360,0.937642,0.939935,0.935360
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",237.694535,85,84,0.903731,0.926673,0.903731,0.950811
"2002-Escapology/01-How Peculiar",193.422426,94,88,0.858401,0.873761,0.858401,0.889680
"2002-Escapology/02-Feel",263.899615,118,99,0.832953,0.878504,0.832953,0.929325
"2002-Escapology/03-Something Beautiful",288.766259,122,117,0.903916,0.921946,0.903916,0.940710
"2002-Escapology/04-Monsoon",226.632676,48,53,0.935787,0.951419,0.967582,0.935787
"2002-Escapology/05-Sexed Up",261.666644,115,114,0.944431,0.948629,0.944431,0.952864
