Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1997-Life Thru a Lens/01-Lazy Days",234.666644,90,78,0.887870,0.917408,0.887870,0.948979
"1997-Life Thru a Lens/02-Life Thru A Lens",187.533311,80,62,0.744331,0.832524,0.744331,0.944425
"1997-Life Thru a Lens/03-Ego A Go Go",214.959977,116,98,0.718187,0.803582,0.718187,0.912025
"1997-Life Thru a Lens/04-Angels",264.999977,77,77,0.976443,0.977027,0.977613,0.976443
"1997-Life Thru a Lens/05-South Of The Border",233.373311,119,113,0.868384,0.885377,0.868384,0.903049
"1997-Life Thru a Lens/06-Old Before I Die",233.626644,117,83,0.693106,0.808292,0.693106,0.969394
"1997-Life Thru a Lens/07-One Of God's Better People",213.733311,104,81,0.850843,0.906281,0.850843,0.969447
"1997-Life Thru a Lens/08-Let Me Entertain You",261.999977,101,87,0.783086,0.851426,0.783086,0.932834
"1997-Life Thru a Lens/09-Killing Me",236.266644,108,49,0.575260,0.723089,0.575260,0.973171
"1997-Life Thru a Lens/10-Clean",235.439977,105,111,0.822614,0.852255,0.884112,0.822614
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",199.999977,67,66,0.927826,0.938362,0.927826,0.949141
"1998-I've Been Expecting You/01-Strong",279.313356,103,104,0.955692,0.955792,0.955692,0.955893
"1998-I've Been Expecting You/02-No Regrets",310.599977,75,88,0.872153,0.912846,0.957522,0.872153
"1998-I've Been Expecting You/03-Millennium",247.573311,93,88,0.741196,0.802623,0.741196,0.875151
"1998-I've Been Expecting You/04-Phoenix From The Flames",242.444308,130,94,0.706194,0.802283,0.706194,0.928640
"1998-I've Been Expecting You/05-Win Some Lose Some",258.733311,86,83,0.907392,0.919250,0.907392,0.931422
"1998-I've Been Expecting You/06-Grace",193.632744,68,75,0.833464,0.836228,0.833464,0.839011
"1998-I've Been Expecting You/07-It's Only Us",170.733311,67,60,0.821486,0.874564,0.821486,0.934974
"1998-I've Been Expecting You/08-Heaven From Here",185.495714,112,83,0.805083,0.871169,0.805083,0.949075
"1998-I've Been Expecting You/09-Karma Killer",268.266644,120,96,0.772248,0.834083,0.772248,0.906683
"1998-I've Been Expecting You/10-She's The One",258.035465,88,79,0.870149,0.904133,0.870149,0.940880
"1998-I've Been Expecting You/11-Man Machine",214.999977,203,95,0.540655,0.690581,0.540655,0.955563
"1998-I've Been Expecting You/12-1-These Dreams",309.847052,187,135,0.805885,0.853392,0.805885,0.906851
"1998-I've Been Expecting You/12-2-Stand Your Ground",211.109161,59,31,0.703356,0.800337,0.703356,0.928340
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",229.435442,110,100,0.936069,0.953163,0.936069,0.970893
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",299.034989,114,113,0.897048,0.902738,0.897048,0.908500
"2000-Sing When You 're Winning/02-Better Man",202.639977,65,65,0.901161,0.922490,0.901161,0.944854
"2000-Sing When You 're Winning/03-Rock DJ",258.566689,102,90,0.691287,0.748916,0.691287,0.817028
"2000-Sing When You 're Winning/04-Supreme",258.426395,92,92,0.958757,0.961342,0.958757,0.963941
"2000-Sing When You 're Winning/05-Kids",286.706644,128,122,0.837257,0.862481,0.837257,0.889272
"2000-Sing When You 're Winning/06-If It's Hurting You",250.370227,68,69,0.871300,0.875923,0.871300,0.880595
"2000-Sing When You 're Winning/07-Singing For The Lonely",271.593878,114,95,0.853220,0.895748,0.853220,0.942738
"2000-Sing When You 're Winning/08-Love Calling Earth",245.626644,74,82,0.904591,0.917183,0.930131,0.904591
"2000-Sing When You 're Winning/09-Knutsford City Limits",285.469320,179,99,0.603639,0.733834,0.603639,0.935635
"2000-Sing When You 're Winning/10-Forever Texas",217.631111,90,72,0.897212,0.905401,0.897212,0.913741
"2000-Sing When You 're Winning/11-By All Means Necessary",285.666644,118,110,0.863977,0.893036,0.863977,0.924117
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",237.694535,85,90,0.839006,0.850673,0.839006,0.862668
"2002-Escapology/01-How Peculiar",193.422426,94,102,0.882776,0.916478,0.952856,0.882776
"2002-Escapology/02-Feel",263.899615,118,100,0.813813,0.856051,0.813813,0.902914
"2002-Escapology/03-Something Beautiful",288.766259,122,110,0.871124,0.910790,0.871124,0.954241
"2002-Escapology/04-Monsoon",226.632676,48,55,0.960631,0.973660,0.987046,0.960631
"2002-Escapology/05-Sexed Up",261.666644,115,115,0.949809,0.957120,0.949809,0.964544
"2002-Escapology/06-Love Somebody",250.097370,112,109,0.860222,0.891560,0.860222,0.925269
"2002-Escapology/07-Revolution",344.554989,174,141,0.872171,0.910910,0.872171,0.953251
"2002-Escapology/08-Handsome Man",236.533311,139,154,0.907017,0.924613,0.942906,0.907017
"2002-Escapology/09-Come Undone",278.439977,84,83,0.988192,0.989260,0.988192,0.990329
"2002-Escapology/10-Me and My Monkey",432.734966,111,135,0.903039,0.943397,0.987531,0.903039
"2002-Escapology/11-Song 3",230.804376,154,132,0.810216,0.864446,0.810216,0.926458
"2002-Escapology/12-Hot Fudge",248.113356,145,151,0.893722,0.911736,0.930491,0.893722
"2002-Escapology/13-Cursed",241.828481,93,92,0.893921,0.911416,0.929609,0.893921
"2002-Escapology/14a-Nan's Song",231.766349,103,102,0.904161,0.910032,0.915978,0.904161
"2002-Escapology/14b-How Peculiar (Reprise)",133.765760,38,43,0.828520,0.866316,0.907725,0.828520
"2002-Escapology/14c-I Tried Love",211.009864,71,62,0.802236,0.870553,0.802236,0.951590
"2005-Intensive Care (Special Edition)/01-Ghosts",222.479977,50,56,0.940952,0.958105,0.975896,0.940952
"2005-Intensive Care (Special Edition)/02-Tripping",276.586644,107,105,0.875184,0.875495,0.875806,0.875184
"2005-Intensive Care (Special Edition)/03-Make Me Pure",273.213311,65,63,0.987595,0.989008,0.990424,0.987595
"2005-Intensive Care (Special Edition)/04-Spread Your Wings",230.933311,169,120,0.777919,0.847865,0.777919,0.931632
"2005-Intensive Care (Special Edition)/05-Advertising Space",277.493311,74,75,0.969037,0.972293,0.975571,0.969037
"2005-Intensive Care (Special Edition)/06-Please Don't Die",287.551247,164,157,0.932347,0.936376,0.932347,0.940441
"2005-Intensive Care (Special Edition)/07-Your Gay Friend",201.563560,128,93,0.850014,0.899446,0.850014,0.954982
"2005-Intensive Care (Special Edition)/08-Sin Sin Sin",249.853311,79,75,0.843782,0.892373,0.843782,0.946902
"2005-Intensive Care (Special Edition)/09-Random Acts Of Kindness",255.203696,145,75,0.593144,0.706057,0.593144,0.872067
"2005-Intensive Care (Special Edition)/10-The Trouble With Me",260.906644,115,112,0.930771,0.934774,0.930771,0.938811
"2005-Intensive Care (Special Edition)/11-A Place To Crash",274.026644,72,74,0.977078,0.982936,0.988865,0.977078
