Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1997-Life Thru a Lens/01-Lazy Days",234.666644,90,79,0.879479,0.906920,0.879479,0.936129
"1997-Life Thru a Lens/02-Life Thru A Lens",187.533311,80,61,0.752918,0.842717,0.752918,0.956836
"1997-Life Thru a Lens/03-Ego A Go Go",214.959977,116,107,0.737588,0.790779,0.737588,0.852239
"1997-Life Thru a Lens/04-Angels",264.999977,77,77,0.964934,0.965739,0.966545,0.964934
"1997-Life Thru a Lens/05-South Of The Border",233.373311,119,100,0.745017,0.817037,0.745017,0.904472
"1997-Life Thru a Lens/06-Old Before I Die",233.626644,117,85,0.667875,0.779843,0.667875,0.936914
"1997-Life Thru a Lens/07-One Of God's Better People",213.733311,104,72,0.779864,0.856768,0.779864,0.950498
"1997-Life Thru a Lens/08-Let Me Entertain You",261.999977,101,73,0.716706,0.816152,0.716706,0.947641
"1997-Life Thru a Lens/09-Killing Me",236.266644,108,50,0.563511,0.711200,0.563511,0.963800
"1997-Life Thru a Lens/10-Clean",235.439977,105,102,0.784686,0.797739,0.811233,0.784686
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",199.999977,67,69,0.929367,0.933963,0.938603,0.929367
"1998-I've Been Expecting You/01-Strong",279.313356,103,105,0.918308,0.920599,0.922902,0.918308
"1998-I've Been Expecting You/02-No Regrets",310.599977,75,75,0.930231,0.936568,0.930231,0.942993
"1998-I've Been Expecting You/03-Millennium",247.573311,93,94,0.721147,0.767443,0.721147,0.820090
"1998-I've Been Expecting You/04-Phoenix From The Flames",242.444308,130,78,0.635163,0.764524,0.635163,0.960054
"1998-I've Been Expecting You/05-Win Some Lose Some",258.733311,86,83,0.929355,0.941205,0.929355,0.953361
"1998-I've Been Expecting You/06-Grace",193.632744,68,71,0.843036,0.869053,0.843036,0.896727
"1998-I've Been Expecting You/07-It's Only Us",170.733311,67,62,0.829589,0.873403,0.829589,0.922103
"1998-I've Been Expecting You/08-Heaven From Here",185.495714,112,82,0.768700,0.853330,0.768700,0.958898
"1998-I've Been Expecting You/09-Karma Killer",268.266644,120,76,0.633241,0.744388,0.633241,0.902859
"1998-I've Been Expecting You/10-She's The One",258.035465,88,74,0.837387,0.878244,0.837387,0.923292
"1998-I've Been Expecting You/11-Man Machine",214.999977,203,112,0.570066,0.705486,0.570066,0.925288
"1998-I've Been Expecting You/12-1-These Dreams",309.847052,187,135,0.823781,0.875172,0.823781,0.933402
"1998-I've Been Expecting You/12-2-Stand Your Ground",211.109161,59,45,0.821474,0.858080,0.821474,0.898100
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",229.435442,110,99,0.900569,0.923643,0.900569,0.947931
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",299.034989,114,104,0.841610,0.877701,0.841610,0.917026
"2000-Sing When You 're Winning/02-Better Man",202.639977,65,60,0.837593,0.885474,0.837593,0.939160
"2000-Sing When You 're Winning/03-Rock DJ",258.566689,102,50,0.450924,0.604834,0.450924,0.918255
"2000-Sing When You 're Winning/04-Supreme",258.426395,92,98,0.924256,0.932598,0.941091,0.924256
"2000-Sing When You 're Winning/05-Kids",286.706644,128,110,0.786905,0.835830,0.786905,0.891242
"2000-Sing When You 're Winning/06-If It's Hurting You",250.370227,68,62,0.864126,0.898041,0.864126,0.934727
"2000-Sing When You 're Winning/07-Singing For The Lonely",271.593878,114,101,0.868468,0.898399,0.868468,0.930467
"2000-Sing When You 're Winning/08-Love Calling Earth",245.626644,74,71,0.801824,0.846051,0.801824,0.895442
"2000-Sing When You 're Winning/09-Knutsford City Limits",285.469320,179,101,0.596013,0.728306,0.596013,0.936080
"2000-Sing When You 're Winning/10-Forever Texas",217.631111,90,75,0.890032,0.891946,0.893868,0.890032
"2000-Sing When You 're Winning/11-By All Means Necessary",285.666644,118,95,0.726262,0.806847,0.726262,0.907545
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",237.694535,85,76,0.861340,0.904825,0.861340,0.952933
"2002-Escapology/01-How Peculiar",193.422426,94,73,0.775178,0.840614,0.775178,0.918116
"2002-Escapology/02-Feel",263.899615,118,73,0.697257,0.798180,0.697257,0.933263
"2002-Escapology/03-Something Beautiful",288.766259,122,113,0.842615,0.879472,0.842615,0.919700
"2002-Escapology/04-Monsoon",226.632676,48,46,0.958090,0.962067,0.958090,0.966077
"2002-Escapology/05-Sexed Up",261.666644,115,115,0.933150,0.940067,0.933150,0.947086
"2002-Escapology/06-Love Somebody",250.097370,112,94,0.734312,0.821828,0.734312,0.933027
"2002-Escapology/07-Revolution",344.554989,174,137,0.817430,0.861453,0.817430,0.910488
"2002-Escapology/08-Handsome Man",236.533311,139,127,0.836558,0.873940,0.836558,0.914819
"2002-Escapology/09-Come Undone",278.439977,84,82,0.968157,0.969965,0.968157,0.971779
"2002-Escapology/10-Me and My Monkey",432.734966,111,113,0.956192,0.959125,0.962076,0.956192
"2002-Escapology/11-Song 3",230.804376,154,118,0.772866,0.848041,0.772866,0.939416
"2002-Escapology/12-Hot Fudge",248.113356,145,144,0.866048,0.877747,0.889767,0.866048
"2002-Escapology/13-Cursed",241.828481,93,81,0.894458,0.906801,0.894458,0.919489
"2002-Escapology/14a-Nan's Song",231.766349,103,90,0.841429,0.876264,0.841429,0.914108
"2002-Escapology/14b-How Peculiar (Reprise)",133.765760,38,45,0.826915,0.874933,0.928871,0.826915
"2002-Escapology/14c-I Tried Love",211.009864,71,61,0.779755,0.847789,0.779755,0.928830
"2005-Intensive Care (Special Edition)/01-Ghosts",222.479977,50,54,0.947474,0.958593,0.969977,0.947474
"2005-Intensive Care (Special Edition)/02-Tripping",276.586644,107,103,0.849223,0.856211,0.849223,0.863316
"2005-Intensive Care (Special Edition)/03-Make Me Pure",273.213311,65,63,0.972059,0.974135,0.976219,0.972059
"2005-Intensive Care (Special Edition)/04-Spread Your Wings",230.933311,169,118,0.766632,0.842487,0.766632,0.935001
"2005-Intensive Care (Special Edition)/05-Advertising Space",277.493311,74,75,0.941898,0.954138,0.941898,0.966699
"2005-Intensive Care (Special Edition)/06-Please Don't Die",287.551247,164,164,0.945141,0.945710,0.945141,0.946279
"2005-Intensive Care (Special Edition)/07-Your Gay Friend",201.563560,128,109,0.854427,0.888857,0.854427,0.926179
"2005-Intensive Care (Special Edition)/08-Sin Sin Sin",249.853311,79,75,0.847479,0.894807,0.847479,0.947732
"2005-Intensive Care (Special Edition)/09-Random Acts Of Kindness",255.203696,145,62,0.559050,0.683444,0.559050,0.879037
"2005-Intensive Care (Special Edition)/10-The Trouble With Me",260.906644,115,112,0.951798,0.956421,0.951798,0.961088
"2005-Intensive Care (Special Edition)/11-A Place To Crash",274.026644,72,75,0.966737,0.970329,0.973948,0.966737
"2005-Intensive Care (Special Edition)/12-King Of Bloke And Bird",373.119977,75,82,0.748707,0.842367,0.962811,0.748707
