MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",72.619281,107.247000,72.167986,27.132694,0.248026,0.000000,0.451295,64.063940,40.482251,78.273636,59.066454,72.167986,17.542682,0.610740,8.979272,72.167986,6.523259,2.730146,17.879288,3,6
"a_ha/Hunting_High_and_Low/01-Take_On_Me",73.433333,228.000000,70.126754,22.505263,1.557456,2.503947,3.306579,83.575232,52.792544,62.819304,41.396930,70.126754,11.378070,6.931140,4.196053,70.126754,1.276316,7.077193,14.151754,8,7
"abba/Arrival/02-Dancing_Queen",88.341739,230.000000,86.698261,11.360870,0.278261,0.019130,1.643478,86.755385,82.658696,95.590804,15.678696,86.698261,0.169565,10.048261,1.143043,86.698261,0.000000,9.425652,1.935217,7,7
"abba/Live/03-I_Have_A_Dream",96.924613,250.310000,95.306220,1.862890,0.391115,0.821381,1.618393,97.689627,97.560225,-nan,0.000000,95.306220,0.000000,1.774999,0.087891,95.306220,0.000000,1.862890,0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",72.469581,209.412000,68.707142,26.760167,0.770252,0.000000,3.762440,81.897714,57.040189,56.107159,39.197372,68.707142,13.850209,6.568869,6.341088,68.707142,8.925467,8.462743,9.371956,11,11
"abba/Live/08-Fernando",94.682099,324.000000,89.407407,2.194136,0.601852,2.521914,5.274691,97.145161,81.927160,95.551885,10.276235,89.407407,0.099383,1.888272,0.206481,89.407407,0.000000,2.030247,0.163889,7,7
"abba/Live/10-Super_Trouper",90.517490,263.000000,87.144106,6.251331,3.231179,0.000000,3.373384,91.793237,75.603042,84.408233,21.023574,87.144106,0.857034,4.937262,0.457034,87.144106,0.007605,4.805703,1.438023,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",49.284818,56.559000,48.330062,15.210665,0.000000,35.504517,0.954755,28.138055,17.776128,94.676248,45.764600,48.330062,2.436394,11.343906,1.430365,48.330062,2.436394,12.774271,0.000000,3,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",47.873524,106.961000,47.097540,46.590813,0.000000,5.535663,0.775984,50.270432,93.688354,-nan,0.000000,47.097540,0.000000,35.088490,11.502323,47.097540,0.000000,45.082787,1.508026,2,4
"aerosmith/Nine_Lives/02-Falling_In_Love",36.086022,72.075000,17.133541,24.337149,0.000000,39.576830,18.952480,-nan,0.000000,41.314821,41.470690,17.133541,15.739161,8.323274,0.274714,17.133541,0.108221,1.981270,22.247659,2,7
"alanis_morissette/MTV_Unplugged/08-Ironic",78.526291,243.698000,67.885662,18.893056,0.118589,2.462064,10.640629,76.539055,67.548359,83.646852,19.348948,67.885662,1.719341,12.322629,4.851086,67.885662,0.000000,13.687022,5.206034,7,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",82.956038,92.103000,37.526465,5.463449,2.008621,9.571892,45.429573,89.401023,24.615919,76.141267,20.382615,37.526465,1.997763,3.465685,0.000000,37.526465,0.000000,0.600415,4.863034,3,4
"all_saints/All_Saints/01-Never_Ever",83.408786,387.000000,82.145736,15.933333,0.641344,0.016537,1.263049,90.539705,87.352713,26.890642,11.367700,82.145736,3.237726,10.377519,2.318088,82.145736,2.191214,7.064858,6.677261,7,10
"aqua/Aquarium/05-Doctor_Jones",70.940970,189.294000,67.599607,28.644331,0.103014,0.311684,3.341363,74.382276,83.360804,43.076235,12.986149,67.599607,6.663180,15.260389,6.720762,67.599607,0.000000,19.830528,8.813803,4,4
