MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",69.809267,107.247000,69.462852,30.085853,0.000000,0.104880,0.346415,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.697927,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.293421,59.066454,69.462852,22.323863,1.891260,4.614977,69.462852,16.801292,5.910600,7.373961,3,9
"a_ha/Hunting_High_and_Low/01-Take_On_Me",69.364113,228.000000,66.940275,27.249198,0.000000,3.386689,2.423837,-nan,0.000000,-nan,0.000000,49.874833,1.248684,79.820825,51.543860,-nan,0.000000,0.000000,10.005702,0.000000,0.614474,81.797976,30.776754,73.688122,11.501436,6.360352,2.639563,66.940275,8.197155,5.286122,13.765922,11,8
"abba/Arrival/02-Dancing_Queen",61.965599,230.000000,61.945408,36.391984,0.000000,1.642417,0.020191,-nan,0.000000,0.000000,29.204348,63.656474,5.118696,91.419926,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.473310,15.678696,88.176061,0.639585,7.778312,1.743433,61.945408,26.230654,1.619829,8.541501,12,12
"abba/Live/03-I_Have_A_Dream",91.268670,250.310000,90.197634,7.362591,0.000000,1.368739,1.071036,-nan,0.000000,0.000000,0.339179,-nan,0.000000,92.775832,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.536814,0.445271,6.425662,0.152479,90.197634,0.339179,6.090474,0.932937,4,5
"abba/Live/06-Thank_You_for_The_Music",64.460735,209.412000,61.022549,34.910465,0.304547,0.324253,3.438186,-nan,0.000000,-nan,0.000000,12.154814,4.446259,71.729727,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.056525,39.197372,62.444338,13.642218,8.278392,6.909503,61.022549,8.866224,7.363924,18.680317,13,27
"abba/Live/08-Fernando",88.145332,324.000000,85.497142,6.706253,0.000000,5.148415,2.648190,-nan,0.000000,-nan,0.000000,0.000000,0.317593,93.468812,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.698691,10.276235,85.927141,0.421476,3.493808,0.239641,85.497142,0.429999,2.212292,4.063962,8,13
"abba/Live/10-Super_Trouper",83.582741,263.000000,80.735738,15.873220,0.017658,0.526381,2.847003,-nan,0.000000,0.000000,2.612928,23.537821,3.101901,89.836764,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,85.077701,20.240684,83.884517,1.777344,9.015855,1.013039,80.735738,3.234289,4.556525,8.082407,10,14
"ac_dc/Back_In_Black/01-Hells_Bells",51.168749,56.559000,51.086640,12.454087,0.000000,36.377164,0.082109,-nan,0.000000,-nan,0.000000,30.594113,12.360544,75.059577,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.483788,45.764600,51.086640,1.995913,4.008978,0.848772,51.086640,1.995913,1.409332,9.048841,4,9
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",41.220996,106.961000,40.960491,52.727863,0.000000,6.051141,0.260506,-nan,0.000000,6.669632,29.293855,-nan,0.000000,60.574582,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.047767,0.911770,33.782373,11.946444,40.960491,6.999046,24.476031,21.252786,2,6
"aerosmith/Nine_Lives/02-Falling_In_Love",11.102192,72.075000,0.000000,41.470690,0.000000,47.427118,11.102192,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,16.621682,18.705987,6.005284,0.000000,0.000000,16.867630,0.000000,24.603060,2,9
