MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",91.654776,107.247000,91.203481,8.320198,0.025025,0.000000,0.451295,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.132620,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.746459,59.066454,91.203481,4.354352,1.178023,2.787824,91.203481,0.000000,1.528119,6.792080,3,8
"a_ha/Hunting_High_and_Low/01-Take_On_Me",78.284396,228.000000,75.119769,16.438095,2.631610,2.645899,3.164627,-nan,0.000000,-nan,0.000000,98.824159,1.248684,81.470012,51.543860,-nan,0.000000,55.107050,10.005702,0.000000,0.614474,85.711219,30.776754,75.119769,7.308377,5.375913,3.753805,75.119769,1.573142,6.720210,8.144743,11,9
"abba/Arrival/02-Dancing_Queen",70.091956,230.000000,68.729026,28.828261,0.780105,0.299679,1.362930,-nan,0.000000,13.956698,29.204348,67.254583,5.118696,95.407496,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.275038,15.678696,88.612154,0.079531,7.734926,1.130676,68.729026,19.883128,0.733906,8.211226,12,10
"abba/Live/03-I_Have_A_Dream",92.681267,250.310000,92.560672,4.999553,0.000000,2.319180,0.120594,-nan,0.000000,0.000000,0.339179,-nan,0.000000,95.206415,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.899852,0.000000,4.591550,0.068824,92.560672,0.339179,4.660374,-0.000000,4,3
"abba/Live/06-Thank_You_for_The_Music",69.961678,209.412000,68.636264,27.396543,0.204753,2.437026,1.325414,-nan,0.000000,-nan,0.000000,21.132564,4.446259,76.698853,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.794769,39.197372,69.658879,10.576279,8.874852,6.922797,68.636264,6.250105,8.801820,12.344618,13,20
"abba/Live/08-Fernando",90.342303,324.000000,87.672613,4.530782,0.000000,5.126915,2.669690,-nan,0.000000,-nan,0.000000,0.000000,0.317593,95.576383,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.131169,10.276235,89.298645,0.635793,2.036134,0.232823,87.672613,1.626032,1.962279,0.942471,8,10
"abba/Live/10-Super_Trouper",88.618889,263.000000,85.245505,8.561346,2.819765,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,48.260461,3.101901,95.300366,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,84.704597,20.240684,86.755243,1.274459,5.420583,0.356565,85.245505,1.529907,4.072700,2.958739,10,9
"ac_dc/Back_In_Black/01-Hells_Bells",56.431967,56.559000,55.569824,7.970903,0.000000,35.597130,0.862142,-nan,0.000000,-nan,0.000000,40.170306,12.360544,89.370906,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,45.764600,55.569824,3.764050,3.727571,0.479282,55.569824,0.000000,0.575628,7.395276,4,7
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",41.899738,106.961000,41.552397,52.135957,0.000000,5.964305,0.347341,-nan,0.000000,3.112495,29.293855,-nan,0.000000,63.111955,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.776581,2.373985,36.085533,8.452255,41.552397,7.598169,21.379887,23.157901,2,6
"aerosmith/Nine_Lives/02-Falling_In_Love",24.400524,72.075000,13.491631,27.979059,0.000000,47.620416,10.908894,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,32.532931,41.470690,-nan,0.000000,13.869396,19.475370,8.125924,0.000000,13.491631,0.728741,1.778344,25.471974,2,8
"alanis_morissette/MTV_Unplugged/08-Ironic",73.393839,243.698000,66.306780,20.590527,0.000000,6.015634,7.087059,-nan,0.000000,20.594966,1.075922,69.301534,15.558601,74.548620,50.913836,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.654915,19.348948,68.028468,3.692413,10.063457,5.112969,66.306780,1.721688,8.921398,9.947442,9,8
