MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",72.619281,107.247000,72.167986,27.132694,0.248026,0.000000,0.451295,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.063940,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.273636,59.066454,72.167986,17.542682,0.610740,8.979272,72.167986,6.523259,2.730146,17.879288,3,6
"a_ha/Hunting_High_and_Low/01-Take_On_Me",66.087281,228.000000,62.780702,29.851316,1.557456,2.503947,3.306579,-nan,0.000000,-nan,0.000000,0.000000,1.248684,83.746596,51.543860,-nan,0.000000,0.000000,10.005702,0.000000,0.614474,63.731456,30.776754,70.126754,11.378070,6.931140,4.196053,62.780702,8.622368,6.667544,14.561404,11,7
"abba/Arrival/02-Dancing_Queen",62.888261,230.000000,61.244783,36.814348,0.278261,0.019130,1.643478,-nan,0.000000,0.000000,29.204348,0.000000,5.118696,95.700356,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.590804,15.678696,86.698261,0.169565,10.048261,1.143043,61.244783,25.453478,0.783043,10.577826,12,7
"abba/Live/03-I_Have_A_Dream",96.585434,250.310000,94.967041,2.202069,0.391115,0.821381,1.618393,-nan,0.000000,0.000000,0.339179,-nan,0.000000,97.681567,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.306220,0.000000,1.774999,0.087891,94.967041,0.339179,1.862890,0.000000,4,3
"abba/Live/06-Thank_You_for_The_Music",68.707142,209.412000,64.944702,30.522606,0.770252,0.000000,3.762440,-nan,0.000000,-nan,0.000000,0.000000,4.446259,81.667544,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.107159,39.197372,68.707142,13.850209,6.568869,6.341088,64.944702,12.687907,8.378221,9.456478,13,11
"abba/Live/08-Fernando",94.682099,324.000000,89.407407,2.194136,0.601852,2.521914,5.274691,-nan,0.000000,-nan,0.000000,0.000000,0.317593,97.523212,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.551885,10.276235,89.407407,0.099383,1.888272,0.206481,89.407407,0.000000,1.712654,0.481481,8,7
"abba/Live/10-Super_Trouper",87.544106,263.000000,84.170722,9.224715,3.231179,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,0.000000,3.101901,95.044775,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,87.673060,20.240684,87.144106,0.857034,4.937262,0.457034,84.170722,2.980989,2.971483,3.272243,10,7
"ac_dc/Back_In_Black/01-Hells_Bells",49.284818,56.559000,48.330062,15.210665,0.000000,35.504517,0.954755,-nan,0.000000,-nan,0.000000,0.000000,12.360544,92.360431,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.676248,45.764600,48.330062,2.436394,11.343906,1.430365,48.330062,2.436394,0.413727,12.360544,4,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",40.328718,106.961000,39.552734,54.135620,0.000000,5.535663,0.775984,-nan,0.000000,0.000000,29.293855,-nan,0.000000,61.422536,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.097540,0.000000,35.088490,11.502323,39.552734,7.544806,24.841765,21.749049,2,4
"aerosmith/Nine_Lives/02-Falling_In_Love",18.952480,72.075000,0.000000,41.470690,0.000000,39.576830,18.952480,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,17.133541,15.739161,8.323274,0.274714,0.000000,17.241762,0.000000,24.228928,2,7
"alanis_morissette/MTV_Unplugged/08-Ironic",64.751044,243.698000,54.110415,32.668303,0.118589,2.462064,10.640629,-nan,0.000000,0.000000,1.075922,0.000000,15.558601,74.489829,50.913836,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.646852,19.348948,67.885662,1.719341,12.322629,4.851086,54.110415,13.775246,11.326724,7.566332,9,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",82.956038,92.103000,37.526465,5.463449,2.008621,9.571892,45.429573,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.401023,24.615919,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.141267,20.382615,37.526465,1.997763,3.465685,0.000000,37.526465,0.000000,0.600415,4.863034,3,4
"all_saints/All_Saints/01-Never_Ever",82.042636,387.000000,80.779587,17.299483,0.641344,0.016537,1.263049,-nan,0.000000,-nan,0.000000,0.000000,1.399483,90.424454,85.953230,-nan,0.000000,-nan,0.000000,-nan,0.000000,26.890642,11.367700,82.145736,3.237726,10.377519,2.318088,80.779587,3.557364,7.064083,6.678036,8,10
"aqua/Aquarium/05-Doctor_Jones",60.577726,189.294000,57.236362,39.007576,0.103014,0.311684,3.341363,-nan,0.000000,0.000000,9.043076,0.000000,7.505256,77.946107,66.812472,-nan,0.000000,0.000000,2.214545,-nan,0.000000,47.891123,10.771604,67.599607,6.663180,15.260389,6.720762,57.236362,10.363244,13.313153,15.331178,8,4
"backstreet_boys/Millennium/02-I_Want_It_That_Way",86.340963,208.492000,85.381693,12.948219,0.000000,0.710819,0.959269,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.328836,61.429695,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.998778,36.900217,85.381693,7.523070,3.444736,1.980412,85.381693,0.286342,3.774246,8.887631,9,9
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",91.780181,232.864000,90.713464,7.882283,0.157173,0.180363,1.066717,-nan,0.000000,0.000000,0.319929,0.000000,0.304040,91.059478,60.381596,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.656428,37.747355,91.003762,1.751666,2.844149,2.996169,90.713464,0.792737,3.800931,3.288615,12,10
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",55.693650,218.691000,54.280697,43.176903,0.475557,0.653891,1.412953,-nan,0.000000,0.000000,1.811689,0.000000,9.673923,69.727363,65.695891,-nan,0.000000,0.000000,0.493847,-nan,0.000000,41.824297,20.257807,58.311499,16.375617,13.638421,9.132063,54.280697,4.030801,12.852838,26.293263,19,12
"beach_boys/Pet_Sounds/08-God_Only_Knows",42.807024,160.761000,40.381063,52.146354,0.070291,4.976331,2.425962,-nan,0.000000,0.000000,15.921150,0.000000,26.455421,91.606011,21.194195,-nan,0.000000,0.000000,0.634482,-nan,0.000000,73.843221,28.392458,75.379601,6.421956,10.132433,0.593428,40.381063,37.859307,4.940253,9.346794,14,9
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",89.784127,126.000000,87.511111,10.123810,0.092063,0.000000,2.273016,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.546518,97.726984,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.511111,0.000000,8.501587,1.622222,87.511111,0.000000,10.123810,0.000000,4,4
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",81.119925,130.598000,77.684191,18.131978,0.748097,0.000000,3.435734,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.448177,96.564266,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.684191,0.581938,7.665508,9.884531,77.684191,0.000000,17.550039,0.581938,3,6
"beck/Mellow_Gold/01-Loser",78.873830,183.507000,73.033181,5.797054,14.496450,0.832666,5.840649,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.255411,93.326685,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.033181,1.520378,3.491965,0.784711,73.033181,0.000000,3.884320,1.912734,1,5
"bette_midler/The_Rose/12-The_Rose",75.901574,181.821000,75.146435,22.368153,0.000000,1.730273,0.755138,-nan,0.000000,-nan,0.000000,0.000000,15.847454,95.438756,73.625709,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.673005,8.041425,89.118969,4.630378,2.488161,1.277080,75.146435,13.972533,1.890321,6.505299,7,5
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",74.323154,298.000000,72.729195,8.037919,0.000000,17.638926,1.593960,-nan,0.000000,-nan,0.000000,0.000000,3.741946,94.349837,55.352685,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.608572,21.672483,73.380537,3.370134,2.474832,1.541611,72.729195,1.121141,2.726174,4.190604,8,10
"billy_joel/Piano_Man/02-Piano_Man",48.234320,338.000000,48.234320,49.750000,1.923077,0.092604,0.000000,-nan,0.000000,0.000000,13.752663,0.000000,26.393195,83.502421,52.433728,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.739664,7.327811,78.456509,3.293787,12.407988,3.826036,48.234320,30.430473,6.447041,12.872485,14,6
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",56.417931,290.000000,54.560345,43.494828,0.087241,0.000000,1.857586,-nan,0.000000,0.000000,4.976552,0.000000,9.513103,76.627465,44.362414,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.345053,39.290345,64.318276,9.427586,13.272414,11.036897,54.560345,13.949310,10.140345,19.405172,14,12
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",85.431489,235.000000,83.311915,13.223830,1.327234,0.017447,2.119574,-nan,0.000000,0.000000,1.811915,-nan,0.000000,89.480252,89.347660,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.174570,6.703404,84.951064,3.246383,5.553617,2.784681,83.311915,1.659149,7.260851,4.303830,9,6
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",77.064762,191.378000,75.471057,22.480640,0.000000,0.454598,1.593705,-nan,0.000000,0.000000,1.145900,0.000000,2.659658,84.349788,78.498051,-nan,0.000000,-nan,0.000000,0.000000,1.117683,63.715478,14.530406,77.346403,10.904597,8.941467,0.759230,75.471057,2.899497,6.733271,12.847872,19,13
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",42.637805,174.486000,36.734752,56.201644,0.763958,0.396593,5.903052,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.102591,45.294178,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,48.406176,36.734752,53.932694,1.129030,1.139920,36.734752,53.560171,0.930161,1.711312,3,6
"black_sabbath/Paranoid/04-Iron_Man",7.875784,209.249000,0.000000,4.341239,1.502994,86.279982,7.875784,-nan,0.000000,-nan,0.000000,0.000000,5.844233,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.549107,0.000000,1.638718,2.153415,0.000000,0.549107,0.000000,3.792133,1,4
"blessid_union_of_souls/The_Singles/14-I_Believe",90.271867,234.269000,90.143809,9.482262,0.029453,0.216418,0.128058,-nan,0.000000,0.000000,0.726942,-nan,0.000000,90.143656,75.711255,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.304205,23.217327,90.673115,1.397539,2.929965,4.625452,90.143809,0.529306,4.773572,4.179384,5,4
"blink_182/Enema_Of_The_State/10-Mutt",47.648376,32.148000,43.449048,50.547468,0.783875,1.020281,4.199328,-nan,0.000000,-nan,0.000000,0.000000,47.197337,91.312022,47.583053,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.258927,0.000000,6.196342,0.541247,43.449048,43.809879,4.134005,2.603583,4,4
"blondie/Parallel_Lines/02-One_Way_or_Another",88.149662,137.456000,83.191712,11.544785,0.305552,0.000000,4.957950,-nan,0.000000,0.000000,4.052206,0.000000,3.065708,95.431476,85.720521,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.958072,2.203614,86.704109,3.058433,4.840094,0.133861,83.191712,5.667996,3.684088,2.192702,7,9
"bob_marley/Exodus/01-Natural_Mystic",85.452519,207.273000,83.268443,10.979240,3.568241,0.000000,2.184076,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.826541,9.234198,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.325131,88.581726,83.268443,5.727712,4.562099,0.689429,83.268443,0.000000,3.274426,7.704814,3,6
"bob_marley/Exodus/06-Jamming",81.754502,211.000000,79.996209,12.545024,1.701422,3.999052,1.758294,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.784044,40.002844,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.743827,54.239810,79.996209,1.824645,8.532227,2.188152,79.996209,0.000000,2.031280,10.513744,5,7
"bob_marley/Live_/05-No_Woman_No_Cry",58.541190,420.000000,58.293571,38.868810,2.376190,0.213810,0.247619,-nan,0.000000,-nan,0.000000,0.000000,16.831429,75.376109,70.236667,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.916603,12.470476,64.010476,12.154286,20.470952,0.526667,58.293571,7.686667,13.251667,17.930476,5,9
"bon_jovi/Bon_Jovi_Remastered_/01-Runaway",66.694725,185.325000,64.536895,29.530824,3.385404,0.389046,2.157831,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.519075,37.905301,-nan,0.000000,0.000000,6.982868,-nan,0.000000,63.269894,52.564953,64.854175,18.127614,7.065426,4.020505,64.536895,12.498044,2.194523,14.838257,8,9
"bon_jovi/New_Jersey/10-I_ll_Be_There_For_You",90.791414,324.154000,90.049174,7.489033,1.719553,0.000000,0.742240,-nan,0.000000,-nan,0.000000,0.000000,1.486331,95.316206,76.863775,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.284184,20.907655,91.471338,3.751303,1.361081,0.954485,90.049174,3.402087,1.697341,2.389605,10,9
"bon_jovi/Slippery_When_Wet/02-You_Give_Love_a_Bad_Name",67.636065,90.159000,50.426469,31.758338,0.000000,0.605597,17.209596,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.461696,21.630675,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.103306,60.554132,50.426469,28.105902,2.421278,1.231158,50.426469,2.706330,1.854501,27.197507,4,7
"bonnie_tyler/Faster_Than_The_Speed_Of_Night/04-Total_Eclipse_Of_The_Heart",65.393587,421.000000,63.521140,30.094774,4.502850,0.008789,1.872447,-nan,0.000000,0.000000,1.551781,0.000000,5.164608,79.865490,67.774584,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.752496,23.627791,68.100238,8.859145,15.011164,1.645368,63.521140,8.065083,9.723040,12.306651,14,14
"britney_spears/_Baby_One_More_Time/01-_Babt_One_More_Time",57.992827,207.167000,54.082938,31.602041,3.538208,6.866924,3.909889,-nan,0.000000,-nan,0.000000,0.000000,9.947530,87.222583,42.390439,-nan,0.000000,-nan,0.000000,0.000000,11.864341,68.378509,25.020877,70.874222,7.669658,5.583418,1.557681,54.082938,23.846945,3.941265,3.813831,9,10
"bryan_adams/On_A_Day_Like_Today/08-When_You_re_Gone_With_Melanie_C_",89.730219,204.240000,89.730219,10.117998,0.000000,0.151782,0.000000,-nan,0.000000,0.000000,3.162456,-nan,0.000000,93.554668,73.929201,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.373940,22.756561,90.425480,3.076283,6.061007,0.285448,89.730219,0.919017,2.762436,6.436545,6,6
"bryan_adams/Reckless/06-Summer_of_69",94.707756,198.687000,94.305113,3.059586,2.224605,0.008053,0.402643,-nan,0.000000,-nan,0.000000,0.000000,0.856624,95.305118,90.972233,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.983008,7.760447,95.146134,0.167600,1.454549,0.596415,94.305113,0.841021,1.567289,0.651276,8,7
"bryan_adams/So_Far_So_Good/08-Heaven",90.298712,230.021000,89.216202,9.261763,0.000000,0.439525,1.082510,-nan,0.000000,0.000000,2.245447,0.000000,3.394907,97.782472,64.617578,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.244885,28.220032,93.888384,1.809400,1.421175,1.359006,89.216202,4.672182,0.915134,3.674447,10,7
"bryan_adams/So_Far_So_Good/10-_Everything_I_Do_I_Do_It_For_You",78.193824,391.169000,78.193824,20.878188,0.869190,0.058798,0.000000,-nan,0.000000,0.000000,3.521496,0.000000,2.081453,84.836839,83.684034,-nan,0.000000,-nan,0.000000,0.000000,1.646092,79.915997,9.008127,83.742321,1.634843,13.134732,0.560116,78.193824,6.953516,11.746074,2.178598,12,9
"carly_simon/No_Secerts/03-You_re_So_Vain",84.074806,258.000000,83.579845,14.963178,0.888760,0.073256,0.494961,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.453320,57.508527,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.425140,41.923256,83.579845,12.242248,1.729457,0.991473,83.579845,11.505426,2.170543,1.287209,6,7
"cat_stevens/Teaser_And_The_Firecat/07-Morning_Has_Broken",83.493123,197.239000,83.493123,14.195468,2.200376,0.111033,0.000000,-nan,0.000000,0.000000,3.039967,0.000000,5.428440,91.376291,75.558586,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.101451,15.861975,90.784277,0.508013,5.726555,0.669746,83.493123,7.291154,4.115819,2.788495,16,12
"celine_dion/AU_COEUR_DU_STADE/11-My_Heart_Will_Go_On",81.139095,303.188000,66.305065,18.097352,0.763553,0.000000,14.834030,-nan,0.000000,0.000000,5.695476,0.000000,5.599166,89.947234,55.569811,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.181445,18.301516,74.918203,1.128013,5.702402,2.653799,66.305065,8.613138,4.830666,4.653548,19,11
"celine_dion/Falling_Into_You/01-It_s_All_Coming_Back_To_Me_Now",64.332243,444.121000,64.165622,35.080980,0.578671,0.008106,0.166621,-nan,0.000000,0.000000,3.041513,0.000000,12.852353,84.433810,56.460964,-nan,0.000000,-nan,0.000000,0.000000,0.770286,61.772965,26.700156,74.535318,9.495836,10.337723,4.877725,64.165622,10.663310,8.422479,15.995190,13,7
"celine_dion/Falling_Into_You/03-Falling_Into_You",76.572494,186.678000,73.770878,23.408757,0.003214,0.015535,2.801616,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.934091,31.128467,-nan,0.000000,0.000000,1.328491,0.000000,14.662681,89.570605,50.063210,75.116511,18.220679,2.494134,1.348311,73.770878,1.345633,0.830307,21.232818,7,7
"celine_dion/Falling_Into_You/06-All_By_Myself",65.361098,309.750000,63.637127,32.975626,1.646489,0.016788,1.723971,-nan,0.000000,-nan,0.000000,0.000000,5.260371,80.802193,48.293785,-nan,0.000000,0.000000,2.726069,0.000000,9.676190,76.199804,32.302825,75.791122,3.443099,12.487167,4.891364,63.637127,12.492978,7.895400,12.587248,25,20
"cher/Heart_Of_Stone/01-If_I_Could_Turn_Back_Time",89.078459,198.461000,87.905936,9.482971,1.422446,0.016124,1.172523,-nan,0.000000,-nan,0.000000,0.000000,4.492066,94.295272,73.955588,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.224031,20.363699,92.090134,1.785237,2.543069,0.970468,87.905936,4.184197,2.503263,2.795511,11,10
"chicago/Chicago_X/04-If_You_Leave_Me_Now",78.437581,234.649000,75.696892,20.937230,0.510976,0.114213,2.740689,-nan,0.000000,-nan,0.000000,0.000000,1.020673,93.574917,53.839138,-nan,0.000000,0.000000,4.685296,0.000000,0.959731,69.096027,36.640258,78.578217,9.549583,6.478613,2.027709,75.696892,10.196932,1.739193,9.001104,14,10
"christina_aguilera/Christina_Aguilera/01-Genie_In_A_Bottle",61.418934,198.924000,57.103718,33.542961,3.996501,1.041604,4.315216,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.992480,56.019887,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.527912,38.623293,57.103718,15.022823,9.006957,9.513181,57.103718,4.371016,10.893105,18.278840,5,9
"christina_aguilera/Christina_Aguilera/02-What_A_Girl_Wants",67.989485,192.871000,62.455216,27.392402,4.591670,0.026443,5.534269,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.239123,52.862276,-nan,0.000000,0.000000,0.890232,-nan,0.000000,62.244339,40.686780,62.455216,12.679978,9.084310,5.628114,62.455216,4.987790,12.172385,10.232228,11,9
"coldplay/Parachutes/05-Yellow",85.019478,226.661000,83.951805,14.697720,0.000000,0.282801,1.067674,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.922369,92.464959,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.772863,6.184566,83.951805,1.986226,12.547814,0.163681,83.951805,0.000000,12.015300,2.682420,5,5
"corrs/In_Blue/08-One_night",68.947482,278.000000,66.148921,30.153597,0.000000,0.898921,2.798561,-nan,0.000000,0.000000,3.015468,0.000000,16.545324,94.025798,46.627338,-nan,0.000000,0.000000,4.523381,-nan,0.000000,87.168098,25.591007,87.082374,4.321942,3.353597,1.544604,66.148921,21.311151,1.365827,7.476619,8,7
"cranberries/No_Need_To_Argue/04-Zombie",55.538562,306.000000,55.463399,42.858824,1.578431,0.024183,0.075163,-nan,0.000000,-nan,0.000000,0.000000,21.366993,95.177158,43.515686,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.111987,35.017974,65.610131,19.873529,12.148039,0.690523,55.463399,24.105556,2.748366,16.004902,4,10
"creedence_clearwater_revival/Pendulum/04-Have_You_Ever_Seen_The_Rain-",95.259375,160.000000,94.834375,2.940625,1.775000,0.025000,0.425000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.020844,90.552500,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.700750,8.997500,94.834375,1.716250,0.932500,0.291875,94.834375,0.000000,1.224375,1.716250,4,5
"creedence_clearwater_revival/The_Concert/08-Proud_Mary",93.658216,213.000000,74.090141,5.175587,0.000000,1.166197,19.568075,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.113522,72.299061,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.798302,6.966667,74.090141,0.321596,4.380282,0.473709,74.090141,0.000000,4.213615,0.961972,6,7
