MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",93.399059,233.750000,93.192000,6.589460,0.011482,0.000000,0.207059,93.385362,99.792941,99.781459,93.192000,0.000000,6.589460,-0.000000,5,6
"a_ha/Hunting_High_and_Low/01-Take_On_Me",79.857538,228.000000,76.692911,14.864953,2.631610,2.645899,3.164627,81.424078,94.189474,91.557864,76.692911,0.000000,14.864953,-0.000000,7,7
"abba/Arrival/02-Dancing_Queen",89.975084,230.000000,88.612154,8.945133,0.780105,0.299679,1.362930,90.110336,98.337391,97.557287,88.612154,0.000000,8.945133,0.000000,6,6
"abba/Live/03-I_Have_A_Dream",92.633180,263.000000,92.518404,5.159542,0.000000,2.207278,0.114775,94.717802,97.677947,97.677947,92.518404,0.000000,5.159542,-0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",74.587218,219.000000,73.319831,22.886663,0.195789,2.330331,1.267386,76.056115,96.402283,96.206494,73.319831,0.000000,22.886663,0.000000,8,8
"abba/Live/08-Fernando",91.968335,324.000000,89.298645,2.904750,0.000000,5.126915,2.669690,96.849628,92.203395,92.203395,89.298645,0.000000,2.904750,0.000000,5,6
"abba/Live/10-Super_Trouper",90.148796,263.000000,86.775412,7.031439,2.819765,0.000000,3.373384,89.804875,96.626616,93.806851,86.775412,0.000000,7.031439,-0.000000,6,6
"ac_dc/Back_In_Black/01-Hells_Bells",88.067851,312.000000,87.911563,5.479142,0.000000,6.453007,0.156288,94.133097,93.390705,93.390705,87.911563,0.000000,5.479142,0.000000,5,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",71.996079,239.000000,71.840631,24.850162,0.484521,2.669239,0.155447,73.928890,97.175314,96.690793,71.840631,0.000000,24.850162,0.000000,6,6
"aerosmith/Nine_Lives/02-Falling_In_Love",62.640987,205.000000,58.805579,20.616372,0.000000,16.742641,3.835407,74.041973,79.421951,79.421951,58.805579,0.000000,20.616372,0.000000,7,7
"alanis_morissette/MTV_Unplugged/08-Ironic",74.624464,253.000000,67.797974,19.581078,0.000000,5.794458,6.826490,77.590650,87.379051,87.379051,67.797974,0.000000,19.581078,-0.000000,7,6
"alanis_morissette/MTV_Unplugged/12-Uninvited",85.934854,277.000000,75.762254,5.581954,0.367705,8.115487,10.172599,92.718737,81.711913,81.344208,75.762254,0.000000,5.581954,-0.000000,2,3
"all_saints/All_Saints/01-Never_Ever",93.886012,387.000000,93.023818,5.696595,0.000000,0.417393,0.862194,94.229567,98.720413,98.720413,93.023818,0.000000,5.696595,-0.000000,6,7
"aqua/Aquarium/05-Doctor_Jones",82.032350,203.000000,78.927048,17.666548,0.000000,0.301101,3.105303,81.710435,96.593596,96.593596,78.927048,0.000000,17.666548,0.000000,4,5
"backstreet_boys/Millennium/02-I_Want_It_That_Way",89.506953,213.000000,88.360732,10.004527,0.000000,0.488521,1.146221,89.829207,98.365258,98.365258,88.360732,0.000000,10.004527,0.000000,7,7
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",91.779880,235.000000,90.663346,8.100909,0.000000,0.103347,1.132397,91.797732,98.764255,98.764255,90.663346,0.000000,8.100909,0.000000,9,8
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",76.243670,223.000000,75.391835,22.581259,0.000000,1.175071,0.851835,76.951571,97.973094,97.973094,75.391835,0.000000,22.581259,0.000000,11,11
"beach_boys/Pet_Sounds/08-God_Only_Knows",75.678367,171.000000,73.397665,19.597150,0.046121,4.678363,2.280702,78.887496,93.040936,92.994815,73.397665,0.000000,19.597150,0.000000,10,9
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",91.226628,126.000000,88.953612,8.256913,0.516460,0.000000,2.273016,91.022569,97.726984,97.210524,88.953612,0.000000,8.256913,-0.000000,4,5
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",79.339185,149.394000,76.478181,14.193582,6.324769,0.129055,2.874412,78.846304,96.996533,90.671764,76.478181,0.000000,14.193582,-0.000000,3,6
"beck/Mellow_Gold/01-Loser",67.423787,235.000000,63.955615,18.126571,12.706750,1.727029,3.484035,67.471604,94.788936,82.082187,63.955615,0.000000,18.126571,0.000000,2,1
"bette_midler/The_Rose/12-The_Rose",92.197145,220.000000,90.501989,7.443920,0.000000,0.358935,1.695156,92.399969,97.945909,97.945909,90.501989,0.000000,7.443920,0.000000,5,5
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",75.249241,298.000000,73.256150,7.510964,0.000000,17.239795,1.993091,90.700467,80.767114,80.767114,73.256150,0.000000,7.510964,0.000000,7,8
"billy_joel/Piano_Man/02-Piano_Man",81.604170,338.000000,81.514862,17.592577,0.799957,0.003296,0.089308,81.590418,99.907396,99.107439,81.514862,0.000000,17.592577,0.000000,6,7
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",78.447827,290.000000,76.590372,21.469767,0.082275,0.000131,1.857455,78.040033,98.142414,98.060139,76.590372,0.000000,21.469767,0.000000,8,8
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",82.776146,235.000000,80.718240,16.499195,0.645543,0.079115,2.057906,82.480874,97.862979,97.217435,80.718240,0.000000,16.499195,-0.000000,5,5
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",83.051911,201.000000,81.107122,16.942629,0.000000,0.005460,1.944789,82.720375,98.049751,98.049751,81.107122,0.000000,16.942629,-0.000000,10,10
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",75.596755,478.000000,73.402313,7.062875,17.235230,0.105140,2.194442,75.129988,97.700418,80.465188,73.402313,0.000000,7.062875,0.000000,7,9
"black_sabbath/Paranoid/04-Iron_Man",39.580236,358.000000,36.241405,7.453816,1.271260,51.694688,3.338831,80.596490,44.966480,43.695220,36.241405,0.000000,7.453816,-0.000000,7,7
"blessid_union_of_souls/The_Singles/14-I_Believe",90.926225,234.269000,90.599140,9.025421,0.030963,0.017391,0.327085,90.912311,99.655524,99.624561,90.599140,0.000000,9.025421,0.000000,4,4
"blink_182/Enema_Of_The_State/10-Mutt",80.603168,203.000000,79.916864,19.256535,0.000000,0.140297,0.686304,80.582963,99.173399,99.173399,79.916864,0.000000,19.256535,0.000000,5,6
"blondie/Parallel_Lines/02-One_Way_or_Another",92.896947,215.000000,89.727179,7.083832,0.019222,0.000000,3.169767,92.664426,96.830233,96.811011,89.727179,0.000000,7.083832,-0.000000,8,7
"bob_marley/Exodus/01-Natural_Mystic",84.752867,207.273000,82.568791,15.033854,0.213279,0.000000,2.184076,84.412422,97.815924,97.602645,82.568791,0.000000,15.033854,0.000000,3,3
"bob_marley/Exodus/06-Jamming",83.554733,211.000000,82.322205,11.920449,0.000000,4.524818,1.232528,87.351323,94.242654,94.242654,82.322205,0.000000,11.920449,-0.000000,4,5
"bob_marley/Live_/05-No_Woman_No_Cry",63.437098,420.000000,63.376284,36.162288,0.000000,0.400614,0.060814,63.670076,99.538571,99.538571,63.376284,0.000000,36.162288,0.000000,4,5
"bon_jovi/Bon_Jovi_Remastered_/01-Runaway",86.463078,230.000000,85.642571,12.305255,0.000000,1.231667,0.820507,87.436929,97.947826,97.947826,85.642571,0.000000,12.305255,-0.000000,6,6
"bon_jovi/New_Jersey/10-I_ll_Be_There_For_You",91.623302,346.000000,90.927927,6.461664,1.915034,0.000000,0.695376,91.564645,99.304624,97.389590,90.927927,0.000000,6.461664,0.000000,7,8
"bon_jovi/Slippery_When_Wet/02-You_Give_Love_a_Bad_Name",88.904535,222.051000,82.243402,9.331665,1.191460,0.572341,6.661132,88.656335,92.766527,91.575067,82.243402,0.000000,9.331665,0.000000,6,7
"bonnie_tyler/Faster_Than_The_Speed_Of_Night/04-Total_Eclipse_Of_The_Heart",81.119781,421.000000,79.240009,14.592515,4.286241,0.001463,1.879772,80.759281,98.118765,93.832524,79.240009,0.000000,14.592515,-0.000000,8,10
"britney_spears/_Baby_One_More_Time/01-_Babt_One_More_Time",77.305071,211.000000,74.663939,14.755018,0.000000,7.939910,2.641132,83.499004,89.418957,89.418957,74.663939,0.000000,14.755018,0.000000,6,8
"bryan_adams/On_A_Day_Like_Today/08-When_You_re_Gone_With_Melanie_C_",85.459204,204.240000,85.425097,14.423121,0.000000,0.117675,0.034107,85.554954,99.848218,99.848218,85.425097,0.000000,14.423121,0.000000,5,5
"bryan_adams/Reckless/06-Summer_of_69",95.442691,216.000000,95.066442,1.939840,2.615940,0.001529,0.376249,95.426944,99.622222,97.006282,95.066442,0.000000,1.939840,-0.000000,7,7
"bryan_adams/So_Far_So_Good/08-Heaven",97.776809,243.000000,96.351728,2.207532,0.000000,0.015659,1.425081,97.760199,98.559259,98.559259,96.351728,0.000000,2.207532,-0.000000,6,7
"bryan_adams/So_Far_So_Good/10-_Everything_I_Do_I_Do_It_For_You",83.572839,393.000000,83.555114,15.162749,1.223613,0.040799,0.017725,83.604042,99.941476,98.717863,83.555114,0.000000,15.162749,-0.000000,6,7
"carly_simon/No_Secerts/03-You_re_So_Vain",92.640923,258.000000,92.136961,6.636590,0.658232,0.064256,0.503961,92.663491,99.431783,98.773551,92.136961,0.000000,6.636590,0.000000,6,6
"cat_stevens/Teaser_And_The_Firecat/07-Morning_Has_Broken",89.406068,200.000000,89.301578,8.066291,2.522630,0.005010,0.104490,89.399471,99.890500,97.367870,89.301578,0.000000,8.066291,0.000000,8,8
"celine_dion/AU_COEUR_DU_STADE/11-My_Heart_Will_Go_On",88.588235,322.000000,74.696768,11.335840,0.000000,0.075925,13.891466,86.823786,86.032609,86.032609,74.696768,0.000000,11.335840,0.000000,8,9
"celine_dion/Falling_Into_You/01-It_s_All_Coming_Back_To_Me_Now",76.811200,457.000000,76.643528,22.590431,0.596238,0.002132,0.167671,76.773893,99.830197,99.233959,76.643528,0.000000,22.590431,0.000000,6,6
"celine_dion/Falling_Into_You/03-Falling_Into_You",78.226834,196.606000,76.183634,21.128317,0.013155,0.631694,2.043199,78.277473,97.325107,97.311952,76.183634,0.000000,21.128317,-0.000000,5,6
"celine_dion/Falling_Into_You/06-All_By_Myself",80.686691,313.000000,78.967573,18.011119,1.298624,0.003566,1.719118,80.351780,98.277316,96.978692,78.967573,0.000000,18.011119,0.000000,12,12
"cher/Heart_Of_Stone/01-If_I_Could_Turn_Back_Time",88.336403,241.000000,87.374502,10.036021,1.610639,0.016938,0.961900,88.238212,99.021162,97.410523,87.374502,0.000000,10.036021,-0.000000,8,8
"chicago/Chicago_X/04-If_You_Leave_Me_Now",88.889650,238.000000,86.080516,10.823076,0.281702,0.005572,2.809134,88.573602,97.185294,96.903592,86.080516,0.000000,10.823076,-0.000000,8,9
"christina_aguilera/Christina_Aguilera/01-Genie_In_A_Bottle",66.248292,218.000000,62.879095,29.546984,2.685848,1.518876,3.369197,66.110631,95.111927,92.426078,62.879095,0.000000,29.546984,0.000000,4,7
"christina_aguilera/Christina_Aguilera/02-What_A_Girl_Wants",71.251619,215.000000,66.485833,27.348597,1.177198,0.222586,4.765786,69.976523,95.011628,93.834430,66.485833,0.000000,27.348597,0.000000,9,9
"coldplay/Parachutes/05-Yellow",82.952863,269.000000,82.306647,16.555435,0.000000,0.491702,0.646216,83.254009,98.862082,98.862082,82.306647,0.000000,16.555435,0.000000,4,5
