MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",79.571337,233.750000,79.364278,18.274225,2.154439,0.000000,0.207059,79.528950,99.792941,97.638503,79.364278,0.000000,18.274225,-0.000000,5,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",79.848684,228.000000,76.542105,16.396930,1.250439,2.503947,3.306579,81.263970,94.189474,92.939035,76.542105,0.000000,16.396930,0.000000,7,7
"abba/Arrival/02-Dancing_Queen",91.937391,230.000000,90.293913,8.026087,0.017391,0.019130,1.643478,91.820529,98.337391,98.320000,90.293913,0.000000,8.026087,-0.000000,6,6
"abba/Live/03-I_Have_A_Dream",97.358175,263.000000,95.224715,1.556274,0.896958,0.188593,2.133460,97.488448,97.677947,96.780989,95.224715,0.000000,1.556274,0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",82.395890,219.000000,78.798174,13.544292,4.059817,0.000000,3.597717,81.738908,96.402283,92.342466,78.798174,0.000000,13.544292,-0.000000,8,8
"abba/Live/08-Fernando",85.916358,324.000000,78.347531,2.177778,11.678086,0.227778,7.568827,84.972501,92.203395,80.525309,78.347531,0.000000,2.177778,-0.000000,5,6
"abba/Live/10-Super_Trouper",89.853232,263.000000,86.479848,5.850951,4.295817,0.000000,3.373384,89.498993,96.626616,92.330798,86.479848,0.000000,5.850951,0.000000,6,6
"ac_dc/Back_In_Black/01-Hells_Bells",85.183333,312.000000,81.664103,10.880449,0.846154,3.090064,3.519231,87.443501,93.390705,92.544551,81.664103,0.000000,10.880449,-0.000000,5,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",70.958159,239.000000,69.276151,27.120921,0.778243,1.142678,1.682008,71.289866,97.175314,96.397071,69.276151,0.000000,27.120921,0.000000,6,5
"aerosmith/Nine_Lives/02-Falling_In_Love",65.862927,205.000000,60.443415,18.978537,0.000000,15.158537,5.419512,76.104167,79.421951,79.421951,60.443415,0.000000,18.978537,0.000000,7,8
"alanis_morissette/MTV_Unplugged/08-Ironic",79.353755,253.000000,68.452174,18.812648,0.114229,1.719368,10.901581,78.339342,87.379051,87.264822,68.452174,0.000000,18.812648,0.000000,7,6
