MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",91.246631,233.750000,91.047957,8.744984,0.000000,0.008385,0.198674,91.236871,99.792941,99.792941,91.047957,0.000000,8.744984,-0.000000,5,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",75.602149,228.000000,72.376404,21.299781,0.513289,2.584781,3.225746,76.841287,94.189474,93.676184,72.376404,0.000000,21.299781,0.000000,7,7
"abba/Arrival/02-Dancing_Queen",88.931000,230.000000,87.497391,10.443522,0.396478,0.229000,1.433609,88.976726,98.337391,97.940913,87.497391,0.000000,10.443522,0.000000,6,7
"abba/Live/03-I_Have_A_Dream",92.634639,263.000000,91.482776,6.195171,0.000000,1.170190,1.151863,93.657554,97.677947,97.677947,91.482776,0.000000,6.195171,0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",80.893927,219.000000,77.972420,18.429863,0.000000,0.676210,2.921507,80.882338,96.402283,96.402283,77.972420,0.000000,18.429863,-0.000000,8,8
"abba/Live/08-Fernando",91.676914,324.000000,88.684722,3.518673,0.000000,4.804414,2.992191,96.183793,92.203395,92.203395,88.684722,0.000000,3.518673,0.000000,5,5
"abba/Live/10-Super_Trouper",88.650228,263.000000,85.439886,8.428783,2.757947,0.163042,3.210342,88.422724,96.626616,93.868669,85.439886,0.000000,8.428783,-0.000000,6,6
"ac_dc/Back_In_Black/01-Hells_Bells",78.649231,312.000000,78.500385,14.890321,0.000000,6.460449,0.148846,84.055886,93.390705,93.390705,78.500385,0.000000,14.890321,-0.000000,5,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",68.979916,239.000000,67.192301,29.236192,0.746820,1.037071,1.787615,69.145443,97.175314,96.428494,67.192301,0.000000,29.236192,-0.000000,6,5
"aerosmith/Nine_Lives/02-Falling_In_Love",70.472829,205.000000,64.485366,14.936585,0.000000,14.590585,5.987463,81.193379,79.421951,79.421951,64.485366,0.000000,14.936585,-0.000000,7,8
"alanis_morissette/MTV_Unplugged/08-Ironic",83.862806,253.000000,74.686798,12.692253,0.000000,3.444941,9.176008,85.474490,87.379051,87.379051,74.686798,0.000000,12.692253,0.000000,7,4
"alanis_morissette/MTV_Unplugged/12-Uninvited",85.552563,277.000000,75.421877,5.343935,0.946101,8.157401,10.130686,92.302180,81.711913,80.765812,75.421877,0.000000,5.343935,-0.000000,2,3
"all_saints/All_Saints/01-Never_Ever",92.415375,387.000000,91.159638,6.976305,0.584470,0.023850,1.255736,92.341224,98.720413,98.135943,91.159638,0.000000,6.976305,0.000000,6,4
"aqua/Aquarium/05-Doctor_Jones",83.761084,203.000000,80.804433,15.789163,0.000000,0.449754,2.956650,83.654028,96.593596,96.593596,80.804433,0.000000,15.789163,0.000000,4,4
"backstreet_boys/Millennium/02-I_Want_It_That_Way",87.285775,213.000000,86.837230,11.528028,0.000000,1.186197,0.448545,88.280386,98.365258,98.365258,86.837230,0.000000,11.528028,0.000000,7,7
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",92.110936,235.000000,91.162383,7.601872,0.000000,0.281191,0.954553,92.303013,98.764255,98.764255,91.162383,0.000000,7.601872,-0.000000,9,8
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",77.777489,223.000000,76.863184,21.109910,0.000000,1.112601,0.914305,78.453360,97.973094,97.973094,76.863184,0.000000,21.109910,-0.000000,11,11
"beach_boys/Pet_Sounds/08-God_Only_Knows",79.948070,171.000000,78.586608,14.453041,0.001287,5.597602,1.361462,84.464551,93.040936,93.039649,78.586608,0.000000,14.453041,0.000000,10,9
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",80.143492,126.000000,77.922063,19.329048,0.475873,0.051587,2.221429,79.734440,97.726984,97.251111,77.922063,0.000000,19.329048,-0.000000,4,4
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",78.479792,149.394000,75.760807,20.071154,1.164572,0.284483,2.718985,78.106717,96.996533,95.831961,75.760807,0.000000,20.071154,-0.000000,3,5
"beck/Mellow_Gold/01-Loser",62.685617,235.000000,58.164894,28.299787,8.324255,0.684340,4.526723,61.362534,94.788936,86.464681,58.164894,0.000000,28.299787,0.000000,2,5
"bette_midler/The_Rose/12-The_Rose",88.467045,220.000000,88.392955,7.896091,1.656864,1.980000,0.074091,90.246704,97.945909,96.289045,88.392955,0.000000,7.896091,0.000000,5,5
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",73.453557,298.000000,72.192919,8.574195,0.000000,17.972248,1.260638,89.384052,80.767114,80.767114,72.192919,0.000000,8.574195,-0.000000,7,7
"billy_joel/Piano_Man/02-Piano_Man",81.049320,338.000000,81.049320,18.250473,0.607604,0.092604,0.000000,81.124444,99.907396,99.299793,81.049320,0.000000,18.250473,-0.000000,6,6
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",73.980241,290.000000,73.137448,25.004966,0.000000,1.014793,0.842793,74.521754,98.142414,98.142414,73.137448,0.000000,25.004966,0.000000,8,8
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",88.039319,235.000000,86.847617,11.015362,0.000000,0.945319,1.191702,88.744097,97.862979,97.862979,86.847617,0.000000,11.015362,0.000000,5,5
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",87.140995,201.000000,86.074179,11.975572,0.000000,0.883433,1.066816,87.786229,98.049751,98.049751,86.074179,0.000000,11.975572,-0.000000,10,9
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",77.351695,478.000000,75.244686,8.756946,13.698787,0.192573,2.107008,77.015726,97.700418,84.001632,75.244686,0.000000,8.756946,-0.000000,7,7
"black_sabbath/Paranoid/04-Iron_Man",32.718547,358.000000,27.548184,14.093436,3.324860,49.863156,5.170363,61.263822,44.966480,41.641620,27.548184,0.000000,14.093436,-0.000000,7,8
"blessid_union_of_souls/The_Singles/14-I_Believe",93.908200,234.269000,93.908200,5.736184,0.011141,0.344476,0.000000,94.232809,99.655524,99.644383,93.908200,0.000000,5.736184,0.000000,4,4
"blink_182/Enema_Of_The_State/10-Mutt",79.180000,203.000000,78.353399,17.071232,3.748768,0.000000,0.826601,79.006467,99.173399,95.424631,78.353399,0.000000,17.071232,-0.000000,5,5
"blondie/Parallel_Lines/02-One_Way_or_Another",89.615767,215.000000,87.247581,9.582651,0.000000,0.801581,2.368186,90.103658,96.830233,96.830233,87.247581,0.000000,9.582651,-0.000000,8,7
"bob_marley/Exodus/01-Natural_Mystic",88.681497,207.273000,86.497421,9.380045,1.938458,0.000000,2.184076,88.428773,97.815924,95.877466,86.497421,0.000000,9.380045,-0.000000,3,3
"bob_marley/Exodus/06-Jamming",85.403602,211.000000,83.950995,10.291659,0.000000,4.304739,1.452607,89.079617,94.242654,94.242654,83.950995,0.000000,10.291659,-0.000000,4,4
"bob_marley/Live_/05-No_Woman_No_Cry",81.411571,420.000000,81.411571,17.663214,0.463786,0.461429,0.000000,81.788969,99.538571,99.074786,81.411571,0.000000,17.663214,0.000000,4,6
