MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",82.487034,104.815000,82.025268,17.487360,0.025606,0.000000,0.461766,60.240106,39.101274,-nan,0.000000,-nan,0.000000,96.746459,60.436960,-nan,0.000000,82.025268,10.089873,1.198583,2.655076,0.051755,82.025268,11.294388,1.400513,4.792459,3,11
"a_ha/Hunting_High_and_Low/01-Take_On_Me",54.476330,228.000000,51.311703,40.246161,2.631610,2.645899,3.164627,79.488148,30.202193,30.904215,6.283333,31.881507,16.307018,71.110336,15.603509,35.156615,25.793421,51.311703,29.184557,7.023673,4.002608,0.035323,51.311703,25.381208,3.528234,11.336719,13,13
"abba/Arrival/02-Dancing_Queen",80.584735,230.000000,79.221805,18.335482,0.780105,0.299679,1.362930,88.460682,71.613478,0.000000,0.873478,7.642387,10.171739,95.869924,13.328261,98.572259,2.350435,79.221805,9.469880,6.948373,1.917229,0.000000,79.221805,9.390349,6.546848,2.398285,11,10
"abba/Live/03-I_Have_A_Dream",60.511225,250.310000,60.390630,37.169595,0.000000,2.319180,0.120594,89.787861,49.438297,-nan,0.000000,33.251039,48.121929,-nan,0.000000,-nan,0.000000,60.390630,32.509221,1.779798,2.880576,0.000000,60.390630,32.509221,1.781017,2.879357,3,6
"abba/Live/06-Thank_You_for_The_Music",45.112995,203.597000,43.749726,52.169773,0.210601,2.506630,1.363270,66.908776,31.550563,-nan,0.000000,25.013375,27.118769,63.619374,24.258216,3.206845,13.202552,43.749726,34.272447,4.307852,8.749824,2.647495,43.749726,30.729787,1.493461,19.946525,15,25
"abba/Live/08-Fernando",69.091905,324.000000,66.422215,25.781180,0.000000,5.126915,2.669690,95.861227,46.974074,-nan,0.000000,33.528232,34.953086,94.131169,10.276235,-nan,0.000000,66.422215,23.348073,1.471847,0.961260,0.000000,66.422215,22.876430,1.105281,1.799469,10,11
"abba/Live/10-Super_Trouper",90.128627,263.000000,86.755243,7.051608,2.819765,0.000000,3.373384,92.073614,75.603042,-nan,0.000000,-nan,0.000000,81.550311,21.023574,-nan,0.000000,86.755243,1.274459,5.420583,0.356565,0.000000,86.755243,0.020168,5.193546,1.837893,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",10.667367,56.559000,9.805225,53.735503,0.000000,35.597130,0.862142,55.159508,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,45.764600,9.805225,49.528650,3.727571,0.479282,0.000000,9.805225,45.764600,3.955434,4.015469,3,6
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",30.225519,106.961000,29.878178,63.810176,0.000000,5.964305,0.347341,33.792562,74.986210,-nan,0.000000,24.266825,18.702144,-nan,0.000000,-nan,0.000000,29.878178,18.830660,35.766458,5.522561,0.000000,29.878178,19.272388,30.543491,13.994297,3,8
"aerosmith/Nine_Lives/02-Falling_In_Love",24.778290,72.075000,13.869396,27.601294,0.000000,47.620416,10.908894,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.443852,41.470690,-nan,0.000000,13.869396,11.941186,8.242397,0.048970,0.000000,13.869396,0.350976,1.778344,25.471974,2,10
"alanis_morissette/MTV_Unplugged/08-Ironic",63.799210,208.530000,55.516938,29.170637,0.000000,7.030154,8.282271,79.391095,49.003980,52.939865,13.325661,-nan,0.000000,-nan,0.000000,42.747935,22.357934,55.516938,18.580222,5.243452,4.682393,0.323452,55.516938,14.937056,6.323437,7.910144,7,11
