MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",74.304250,104.815000,73.842484,25.441969,0.253780,0.000000,0.461766,67.865508,39.101274,-nan,0.000000,-nan,0.000000,78.273636,60.436960,-nan,0.000000,73.842484,15.629442,0.624911,9.187616,0.000000,73.842484,6.674617,2.793493,15.973859,3,6
"a_ha/Hunting_High_and_Low/01-Take_On_Me",41.050439,228.000000,37.743860,54.888158,1.557456,2.503947,3.306579,86.468393,30.202193,0.000000,6.283333,0.000000,16.307018,74.524961,15.603509,0.000000,25.793421,37.743860,40.400000,8.813158,3.882456,1.792544,37.743860,33.659211,3.693421,17.535526,13,7
"abba/Arrival/02-Dancing_Queen",76.048261,230.000000,74.404783,23.654348,0.278261,0.019130,1.643478,86.197036,71.613478,0.000000,0.873478,0.000000,10.171739,95.106834,13.328261,0.000000,2.350435,74.404783,12.463043,9.556087,1.635217,0.000000,74.404783,12.293478,8.879130,2.481739,11,7
"abba/Live/03-I_Have_A_Dream",49.631657,250.310000,48.013264,49.155847,0.391115,0.821381,1.618393,97.117552,49.438297,-nan,0.000000,0.000000,48.121929,-nan,0.000000,-nan,0.000000,48.013264,47.292957,1.033918,0.828972,0.000000,48.013264,47.292957,1.033918,0.828972,3,3
"abba/Live/06-Thank_You_for_The_Music",43.640132,203.597000,39.770232,55.567616,0.792251,0.000000,3.869900,87.190983,31.550563,-nan,0.000000,0.000000,27.118769,50.543643,24.258216,0.000000,13.202552,39.770232,41.185774,4.555568,7.009926,2.816348,39.770232,38.189659,3.041793,14.336164,15,11
"abba/Live/08-Fernando",61.142901,324.000000,55.868210,35.733333,0.601852,2.521914,5.274691,98.030829,46.974074,-nan,0.000000,0.000000,34.953086,95.551885,10.276235,-nan,0.000000,55.868210,33.638580,1.282716,0.812037,0.000000,55.868210,33.539198,1.218210,0.975926,10,7
"abba/Live/10-Super_Trouper",90.517490,263.000000,87.144106,6.251331,3.231179,0.000000,3.373384,91.793237,75.603042,-nan,0.000000,-nan,0.000000,84.408233,21.023574,-nan,0.000000,87.144106,0.857034,4.937262,0.457034,0.000000,87.144106,0.007605,4.805703,1.438023,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",5.956612,56.559000,5.001856,58.538871,0.000000,35.504517,0.954755,28.138055,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,45.764600,5.001856,43.328206,13.780300,1.430365,0.000000,5.001856,45.764600,12.774271,0.000000,3,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",40.820486,106.961000,40.044502,53.643851,0.000000,5.535663,0.775984,53.402489,74.986210,-nan,0.000000,0.000000,18.702144,-nan,0.000000,-nan,0.000000,40.044502,7.053038,34.941708,11.649106,0.000000,40.044502,7.053038,33.433681,13.157132,3,4
"aerosmith/Nine_Lives/02-Falling_In_Love",36.086022,72.075000,17.133541,24.337149,0.000000,39.576830,18.952480,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.314821,41.470690,-nan,0.000000,17.133541,15.739161,8.323274,0.274714,0.000000,17.133541,0.108221,1.981270,22.247659,2,7
