MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",82.487034,104.815000,82.025268,17.487360,0.025606,0.000000,0.461766,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.240106,39.101274,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.746459,60.436960,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.025268,10.089873,1.198583,2.655076,0.051755,82.025268,11.294388,1.400513,4.792459,3,11
"a_ha/Hunting_High_and_Low/01-Take_On_Me",54.476330,228.000000,51.311703,40.246161,2.631610,2.645899,3.164627,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.488148,30.202193,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.904215,6.283333,-nan,0.000000,-nan,0.000000,0.000000,1.248684,-nan,0.000000,34.525221,15.058333,-nan,0.000000,55.107050,10.005702,-nan,0.000000,99.715128,5.597807,-nan,0.000000,-nan,0.000000,0.000000,0.614474,-nan,0.000000,36.014587,25.178947,51.311703,29.184557,7.023673,4.002608,0.035323,51.311703,25.381208,3.410786,11.454167,16,16
"abba/Arrival/02-Dancing_Queen",59.924243,230.000000,58.561313,38.995974,0.780105,0.299679,1.362930,-nan,0.000000,14.079530,28.949565,15.996281,1.575652,95.255028,41.088261,-nan,0.000000,-nan,0.000000,0.000000,0.406087,-nan,0.000000,0.000000,0.467391,-nan,0.000000,0.000000,0.254783,0.000000,3.136957,-nan,0.000000,0.000000,6.780000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.869924,13.328261,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.572259,2.350435,79.221805,9.469880,6.948373,1.917229,0.000000,58.561313,30.050841,0.223260,8.721872,16,13
"abba/Live/03-I_Have_A_Dream",60.172045,250.310000,60.051451,37.508774,0.000000,2.319180,0.120594,-nan,0.000000,0.000000,0.339179,-nan,0.000000,89.717315,49.099117,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.251039,48.121929,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.390630,32.509221,1.779798,2.880576,0.000000,60.051451,32.848401,1.781017,2.879357,4,6
"abba/Live/06-Thank_You_for_The_Music",45.112995,203.597000,43.749726,52.169773,0.210601,2.506630,1.363270,-nan,0.000000,-nan,0.000000,14.245371,2.882164,72.203268,28.668399,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,32.870598,1.691086,-nan,0.000000,24.490825,25.427683,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.619374,24.258216,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.033935,4.163648,10.168617,43.749726,34.272447,4.307852,8.749824,2.647495,43.749726,30.729787,1.283886,20.156100,19,32
"abba/Live/08-Fernando",67.465873,324.000000,64.796183,27.407212,0.000000,5.126915,2.669690,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.467637,46.974074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.317593,53.628888,3.453704,30.034527,31.181790,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.131169,10.276235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.422215,23.348073,1.471847,0.961260,0.000000,64.796183,24.502462,1.105281,1.799469,11,13
"abba/Live/10-Super_Trouper",88.618889,263.000000,85.245505,8.561346,2.819765,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,48.260461,3.101901,95.300366,69.888213,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.782890,84.704597,20.240684,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.755243,1.274459,5.420583,0.356565,0.000000,85.245505,1.529907,4.072700,2.958739,10,9
"ac_dc/Back_In_Black/01-Hells_Bells",10.667367,56.559000,9.805225,53.735503,0.000000,35.597130,0.862142,-nan,0.000000,-nan,0.000000,40.170306,12.360544,89.370906,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,45.764600,9.805225,49.528650,3.727571,0.479282,0.000000,9.805225,45.764600,0.575628,7.395276,4,7
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",25.001335,106.961000,24.653994,69.034360,0.000000,5.964305,0.347341,-nan,0.000000,3.112495,29.293855,-nan,0.000000,42.028492,45.692355,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,34.183055,13.276802,0.000000,5.425342,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,29.878178,18.830660,35.766458,5.522561,0.000000,24.653994,24.496571,12.839971,31.697817,4,10
"aerosmith/Nine_Lives/02-Falling_In_Love",24.400524,72.075000,13.491631,27.979059,0.000000,47.620416,10.908894,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,32.532931,41.470690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.869396,11.941186,8.242397,0.048970,0.000000,13.491631,0.728741,1.778344,25.471974,2,12
