Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"3_doors_down/The_Better_Life/01-Kryptonite",233.750000,140,141,0.934113,0.935254,0.936397,0.934113
"a_ha/Hunting_High_and_Low/01-Take_On_Me",228.000000,156,136,0.830638,0.880547,0.830638,0.936838
"abba/Arrival/02-Dancing_Queen",230.000000,123,94,0.808194,0.872440,0.808194,0.947782
"abba/Live/03-I_Have_A_Dream",263.000000,73,77,0.875452,0.884564,0.893868,0.875452
"abba/Live/06-Thank_You_for_The_Music",219.000000,139,143,0.839775,0.844225,0.839775,0.848723
"abba/Live/08-Fernando",324.000000,75,82,0.897608,0.919886,0.943297,0.897608
"abba/Live/10-Super_Trouper",263.000000,87,89,0.943244,0.943854,0.943244,0.944466
"ac_dc/Back_In_Black/01-Hells_Bells",312.000000,218,128,0.617844,0.749031,0.617844,0.950946
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",239.000000,133,98,0.778466,0.825719,0.778466,0.879080
"aerosmith/Nine_Lives/02-Falling_In_Love",205.000000,131,125,0.841296,0.845542,0.841296,0.849831
"alanis_morissette/MTV_Unplugged/08-Ironic",253.000000,150,140,0.824180,0.847144,0.871425,0.824180
"alanis_morissette/MTV_Unplugged/12-Uninvited",277.000000,24,42,0.750861,0.827552,0.921692,0.750861
"all_saints/All_Saints/01-Never_Ever",387.000000,100,120,0.800649,0.826451,0.853971,0.800649
"aqua/Aquarium/05-Doctor_Jones",203.000000,190,146,0.757526,0.846631,0.757526,0.959493
"backstreet_boys/Millennium/02-I_Want_It_That_Way",213.000000,127,117,0.869489,0.904547,0.869489,0.942550
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",235.000000,122,118,0.914190,0.928782,0.914190,0.943847
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",223.000000,173,135,0.806451,0.850709,0.806451,0.900107
"beach_boys/Pet_Sounds/08-God_Only_Knows",171.000000,86,86,0.932276,0.938619,0.945049,0.932276
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",126.000000,52,55,0.918988,0.922072,0.918988,0.925177
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",149.394000,63,65,0.863198,0.877192,0.891648,0.863198
"beck/Mellow_Gold/01-Loser",235.000000,138,14,0.252320,0.398151,0.252320,0.943389
