Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"3_doors_down/The_Better_Life/01-Kryptonite",233.750000,140,134,0.911709,0.926480,0.911709,0.941737
"a_ha/Hunting_High_and_Low/01-Take_On_Me",228.000000,156,133,0.786180,0.850470,0.786180,0.926212
"abba/Arrival/02-Dancing_Queen",230.000000,123,96,0.826468,0.883640,0.826468,0.949309
"abba/Live/03-I_Have_A_Dream",263.000000,73,65,0.906302,0.928274,0.906302,0.951337
"abba/Live/06-Thank_You_for_The_Music",219.000000,139,114,0.772686,0.832630,0.772686,0.902657
"abba/Live/08-Fernando",324.000000,75,66,0.904106,0.917635,0.904106,0.931575
"abba/Live/10-Super_Trouper",263.000000,87,79,0.889465,0.917166,0.889465,0.946647
"ac_dc/Back_In_Black/01-Hells_Bells",312.000000,218,114,0.569814,0.704712,0.569814,0.923294
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",239.000000,133,84,0.733525,0.795872,0.733525,0.869803
"aerosmith/Nine_Lives/02-Falling_In_Love",205.000000,131,118,0.824120,0.852006,0.824120,0.881845
"alanis_morissette/MTV_Unplugged/08-Ironic",253.000000,150,130,0.889719,0.901408,0.889719,0.913407
"alanis_morissette/MTV_Unplugged/12-Uninvited",277.000000,24,42,0.726939,0.818215,0.935703,0.726939
"all_saints/All_Saints/01-Never_Ever",387.000000,100,72,0.725990,0.804608,0.725990,0.902319
"aqua/Aquarium/05-Doctor_Jones",203.000000,190,160,0.795786,0.849836,0.795786,0.911762
"backstreet_boys/Millennium/02-I_Want_It_That_Way",213.000000,127,115,0.854968,0.894835,0.854968,0.938603
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",235.000000,122,117,0.916604,0.927042,0.916604,0.937721
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",223.000000,173,117,0.765130,0.834235,0.765130,0.917061
"beach_boys/Pet_Sounds/08-God_Only_Knows",171.000000,86,83,0.877995,0.885469,0.877995,0.893071
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",126.000000,52,47,0.819327,0.858534,0.819327,0.901683
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",149.394000,63,54,0.817446,0.849431,0.817446,0.884020
"beck/Mellow_Gold/01-Loser",235.000000,138,23,0.316317,0.471364,0.316317,0.924532
"bette_midler/The_Rose/12-The_Rose",220.000000,56,54,0.932444,0.937137,0.932444,0.941877
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",298.000000,93,100,0.853096,0.861267,0.869596,0.853096
"billy_joel/Piano_Man/02-Piano_Man",338.000000,314,246,0.766460,0.837721,0.766460,0.923591
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",290.000000,177,146,0.771522,0.823881,0.771522,0.883865
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",235.000000,158,135,0.867025,0.891699,0.867025,0.917818
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",201.000000,171,103,0.610010,0.741052,0.610010,0.943797
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",478.000000,179,129,0.746972,0.770777,0.796149,0.746972
"black_sabbath/Paranoid/04-Iron_Man",358.000000,162,155,0.617100,0.688539,0.778683,0.617100
"blessid_union_of_souls/The_Singles/14-I_Believe",234.269000,139,140,0.942365,0.942959,0.943554,0.942365
"blink_182/Enema_Of_The_State/10-Mutt",203.000000,144,58,0.543939,0.690151,0.543939,0.943861
"blondie/Parallel_Lines/02-One_Way_or_Another",215.000000,109,70,0.897103,0.917058,0.897103,0.937920
"bob_marley/Exodus/01-Natural_Mystic",207.273000,66,47,0.820665,0.874147,0.820665,0.935085
"bob_marley/Exodus/06-Jamming",211.000000,113,100,0.867457,0.895514,0.867457,0.925447
"bob_marley/Live_/05-No_Woman_No_Cry",420.000000,276,263,0.833981,0.856811,0.833981,0.880927
"bon_jovi/Bon_Jovi_Remastered_/01-Runaway",230.000000,307,89,0.486220,0.643866,0.486220,0.952784
"bon_jovi/New_Jersey/10-I_ll_Be_There_For_You",346.000000,109,107,0.935846,0.939708,0.943602,0.935846
"bon_jovi/Slippery_When_Wet/02-You_Give_Love_a_Bad_Name",222.051000,121,108,0.911584,0.911636,0.911584,0.911687
"bonnie_tyler/Faster_Than_The_Speed_Of_Night/04-Total_Eclipse_Of_The_Heart",421.000000,182,169,0.910593,0.923795,0.910593,0.937386
"britney_spears/_Baby_One_More_Time/01-_Babt_One_More_Time",211.000000,121,95,0.792331,0.835365,0.792331,0.883342
"bryan_adams/On_A_Day_Like_Today/08-When_You_re_Gone_With_Melanie_C_",204.240000,98,91,0.886548,0.899209,0.886548,0.912237
"bryan_adams/Reckless/06-Summer_of_69",216.000000,80,84,0.961184,0.967678,0.974259,0.961184
"bryan_adams/So_Far_So_Good/08-Heaven",243.000000,132,133,0.940119,0.942030,0.940119,0.943949
"bryan_adams/So_Far_So_Good/10-_Everything_I_Do_I_Do_It_For_You",393.000000,87,77,0.859838,0.903718,0.859838,0.952319
"carly_simon/No_Secerts/03-You_re_So_Vain",258.000000,101,86,0.849540,0.893359,0.849540,0.941943
"cat_stevens/Teaser_And_The_Firecat/07-Morning_Has_Broken",200.000000,121,114,0.870952,0.887689,0.870952,0.905080
"celine_dion/AU_COEUR_DU_STADE/11-My_Heart_Will_Go_On",322.000000,118,111,0.912457,0.928082,0.912457,0.944252
"celine_dion/Falling_Into_You/01-It_s_All_Coming_Back_To_Me_Now",457.000000,228,199,0.845471,0.888670,0.845471,0.936521
"celine_dion/Falling_Into_You/03-Falling_Into_You",196.606000,69,66,0.857284,0.881380,0.857284,0.906870
"celine_dion/Falling_Into_You/06-All_By_Myself",313.000000,161,130,0.834427,0.878927,0.834427,0.928440
"cher/Heart_Of_Stone/01-If_I_Could_Turn_Back_Time",241.000000,100,83,0.880918,0.914209,0.880918,0.950115
"chicago/Chicago_X/04-If_You_Leave_Me_Now",238.000000,133,106,0.810292,0.863119,0.810292,0.923315
"christina_aguilera/Christina_Aguilera/01-Genie_In_A_Bottle",218.000000,158,146,0.803366,0.839132,0.803366,0.878231
"christina_aguilera/Christina_Aguilera/02-What_A_Girl_Wants",215.000000,144,82,0.623221,0.744732,0.623221,0.925102
"coldplay/Parachutes/05-Yellow",269.000000,86,59,0.663341,0.781325,0.663341,0.950359
"corrs/In_Blue/08-One_night",278.000000,125,101,0.770232,0.842023,0.770232,0.928573
"cranberries/No_Need_To_Argue/04-Zombie",306.000000,94,86,0.771974,0.808046,0.771974,0.847655
"creedence_clearwater_revival/Pendulum/04-Have_You_Ever_Seen_The_Rain-",160.000000,61,51,0.897163,0.923076,0.897163,0.950531
"creedence_clearwater_revival/The_Concert/08-Proud_Mary",213.000000,45,32,0.921638,0.939986,0.921638,0.959080
"creedence_clearwater_revival/Willy_and_the_Poor_Boys/03-Cotton_fields",174.182000,56,53,0.921082,0.929188,0.921082,0.937438
"cyndi_lauper/Twelve_Deadly_Cyns/02-Girls_Just_Want_to_Have_Fun",236.000000,149,143,0.888785,0.898120,0.888785,0.907653
"deep_purple/Nobody_s_Perfect_Disc_2_2_/06-Smoke_On_The_Water",379.019000,287,110,0.633552,0.749912,0.633552,0.918631
"dido/No_Angel/06-Thank_You",218.000000,130,78,0.703624,0.801122,0.703624,0.929984
"dire_straits/Alchemy_Disc_1_/03-Romeo_And_Juliet",497.533000,271,229,0.893345,0.911085,0.893345,0.929545
"don_mclean/Favorites_And_Rarities_-_Disc_1/02-And_I_Love_Her_So",257.000000,100,70,0.681170,0.755507,0.681170,0.848056
"don_mclean/Favorites_And_Rarities_-_Disc_1/04-Vincent_Starry_Starry_Night_",241.000000,117,73,0.741565,0.826194,0.741565,0.932627
"doors/L_A_Woman/10-Riders_On_The_Storm",298.188000,239,89,0.394416,0.555484,0.394416,0.938907
"doors/The_Doors/06-Light_My_Fire",428.000000,382,89,0.297100,0.453234,0.297100,0.955234
"elton_john/Here_There_-_Disc_II_There_Live_at_Madison_Square_Garden_/06-Daniel",246.000000,85,83,0.887265,0.894308,0.901463,0.887265
"elton_john/Live_in_Australia/05-Sorry_seems_to_be_the_hardest_word",238.000000,99,93,0.903088,0.921766,0.903088,0.941233
"elton_john/Live_in_Australia/11-Candle_in_the_wind",250.000000,90,75,0.930844,0.944996,0.930844,0.959584
"elton_john/Live_in_Australia/13-Your_song",245.000000,128,106,0.820983,0.877626,0.820983,0.942664
"elton_john/Too_Low_For_Zero/05-I_Guess_That_S_Why_They_Call_It_The_Blues",285.000000,167,128,0.848818,0.893356,0.848818,0.942826
"elvis_presley/Elvis_Christmas_Album/06-Santa_Bring_My_Baby_Back_To_Me_",113.000000,50,49,0.909848,0.920224,0.909848,0.930840
"enya/A_Day_Without_Rain/01-A_Day_Without_Rain",158.000000,58,53,0.824673,0.848613,0.824673,0.873985
"enya/A_Day_Without_Rain/02-Wild_Child",228.000000,92,89,0.951795,0.955592,0.951795,0.959418
"enya/A_Day_Without_Rain/03-Only_Time",218.000000,67,57,0.911412,0.935213,0.911412,0.960289
"enya/A_Day_Without_Rain/06-Flora_s_Secret",247.000000,164,159,0.944734,0.948989,0.944734,0.953283
"enya/A_Day_Without_Rain/08-Silver_Inches",97.000000,40,39,0.925054,0.934003,0.925054,0.943127
"enya/The_Memory_of_Trees/08-Tea-House_Moon",163.000000,78,72,0.901961,0.917613,0.901961,0.933817
"enya/Watermark/01-Watermark",145.000000,42,38,0.876948,0.917166,0.876948,0.961251
"enya/Watermark/04-Storms_in_Africa",244.000000,99,60,0.718511,0.822079,0.718511,0.960532
"enya/Watermark/08-Evening_Falls_",229.000000,77,76,0.921186,0.925327,0.929506,0.921186
"eric_clapton/Crossroads_2_Disc_2/01-Layla",338.000000,250,241,0.920752,0.931558,0.920752,0.942621
"eric_clapton/Crossroads_2_Disc_4/05-Wonderful_tonight",384.000000,106,122,0.912521,0.939437,0.967990,0.912521
"eric_clapton/Unplugged/04-Tears_in_Heaven",276.000000,142,132,0.876800,0.897089,0.876800,0.918339
"eurythmics/Sweet_Dreams_Are_Made_Of_This_/06-Sweet_Dreams_Are_Made_Of_This_",217.000000,144,96,0.647694,0.764430,0.647694,0.932497
"everclear/So_Much_For_The_Afterglow/06-Father_Of_Mine",231.000000,160,55,0.502408,0.646330,0.502408,0.905815
