MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",79.171651,235.998912,77.282561,10.714885,0.000000,10.107314,1.895239,87.823641,87.997446,-nan,0.000000,77.282561,0.000000,4.103830,6.611055,77.282561,0.000000,10.714885,0.000000,7,4
"1003",78.535039,202.957319,76.449181,18.188024,0.087895,3.179030,2.095869,67.799831,41.150113,90.619664,53.574988,76.449181,0.612925,3.502479,14.072621,76.449181,0.000000,16.276357,1.911668,9,10
"1006",94.827867,164.048980,93.016119,1.106961,0.000000,4.036863,1.840057,98.823922,94.123080,-nan,0.000000,93.016119,0.000000,1.106961,0.000000,93.016119,0.000000,1.106961,-0.000000,3,3
"1007",93.721247,218.331429,92.242956,4.327650,0.000000,1.943128,1.486267,96.382094,74.059308,92.678105,22.511297,92.242956,1.655029,1.815759,0.856862,92.242956,0.827989,2.365146,1.134515,7,6
"1009",89.145509,180.178299,83.743137,10.476287,0.177791,0.177283,5.425503,91.914747,71.568851,78.677601,22.828363,83.743137,3.667661,6.163785,0.644840,83.743137,0.765631,5.687471,4.023185,8,8
"1011",94.871290,252.813061,93.429302,5.075898,0.009185,0.036739,1.448876,94.634752,81.857149,95.838181,16.657237,93.429302,0.753596,3.166897,1.155406,93.429302,0.000000,3.851044,1.224854,5,5
"1012",71.641911,282.229535,70.651787,27.557485,0.786979,0.004369,0.999380,69.650506,77.826865,77.682847,21.169386,70.651787,7.843359,17.377069,2.337056,70.651787,0.000000,18.619237,8.938248,8,8
"1013",83.357406,218.207052,80.143748,16.355119,0.000000,0.279494,3.221638,89.319680,41.463406,78.329073,55.035462,80.143748,1.293663,10.686983,4.374474,80.143748,0.031586,3.650828,12.672706,12,13
"1014",84.880335,189.708345,82.530291,14.868748,0.134638,0.097919,2.368405,84.617225,97.533677,-nan,0.000000,82.530291,12.987414,0.179999,1.701335,82.530291,12.987414,1.307031,0.574303,4,7
"1016",79.633958,217.372200,77.685149,17.781846,0.828542,1.740278,1.964185,69.889672,35.139429,86.870010,61.156109,77.685149,9.070984,6.708456,2.002406,77.685149,3.798451,5.455094,8.528302,5,8
"1018",89.173827,159.085714,86.677932,4.482444,0.000000,6.325484,2.514140,95.082903,91.160376,-nan,0.000000,86.677932,0.000000,4.246496,0.235948,86.677932,0.000000,4.482444,0.000000,5,5
"1019",88.728719,255.039780,87.417679,10.454111,0.000000,0.805790,1.322421,93.915887,71.725682,76.706898,26.146107,87.417679,4.779561,2.941593,2.732956,87.417679,0.000000,2.031430,8.422680,7,7
