MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",70.263455,235.998912,69.932618,18.064828,0.000000,11.671717,0.330837,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.471190,87.997446,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.434585,1.621443,6.849633,8.009494,69.932618,0.528303,12.866957,4.669568,7,15
"1003",65.673600,202.957319,65.469096,29.256005,0.000000,5.070395,0.204504,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.486907,41.150113,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.365219,53.574988,65.469096,5.233987,11.971789,10.344834,65.469096,0.482715,13.239353,15.533937,9,14
"1006",81.745199,164.048980,81.476267,12.646813,0.000000,5.607989,0.268931,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.563537,94.123080,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.637626,5.192645,2.471861,0.000000,81.476267,6.183444,2.427421,4.035947,3,11
"1007",90.955717,218.331429,90.777578,5.793028,0.000000,3.251255,0.178139,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.969573,74.059308,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.105472,22.511297,92.415396,1.657212,1.590192,0.503668,90.777578,2.703510,1.929804,1.159714,7,9
"1009",70.777093,180.178299,67.996099,26.401116,0.000000,2.821791,2.780994,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.317204,71.568851,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.597074,22.828363,68.769332,7.874256,13.642272,2.326854,67.996099,6.836422,10.300209,9.264484,8,15
"1011",91.692925,252.813061,91.502344,6.984487,0.027554,1.295033,0.190581,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.348837,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.503353,16.657237,91.502344,2.237888,3.314501,1.432099,91.502344,1.419604,4.252023,1.312860,5,6
"1012",51.348260,282.229535,50.713728,48.282524,0.000000,0.369216,0.634533,-nan,0.000000,14.750353,15.829716,16.884230,1.340541,54.310931,60.656608,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.845635,21.169386,56.018539,15.742920,23.019684,4.215108,50.713728,6.994371,11.187258,30.100895,11,16
"1013",49.187759,218.207052,48.998877,47.499991,0.000000,3.312250,0.188882,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.303493,41.463406,-nan,0.000000,0.000000,19.891234,-nan,0.000000,52.938286,35.144227,48.998877,14.010398,13.222480,4.515445,48.998877,1.348090,6.393264,39.758637,12,24
"1014",63.848947,189.708345,63.622510,24.339630,9.571537,2.239887,0.226437,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.231325,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.622510,10.526243,5.769072,3.295266,63.622510,11.897102,6.542935,5.899592,4,17
"1016",65.616739,217.372200,65.174078,31.121459,0.000000,3.261801,0.442661,-nan,0.000000,-nan,0.000000,0.000000,0.639400,52.306479,34.500029,-nan,0.000000,-nan,0.000000,0.000000,0.639400,77.876555,60.516709,65.515906,9.883139,12.681747,7.509726,65.174078,2.046583,6.585333,22.489543,7,17
"1018",79.004922,159.085714,78.665568,12.494808,0.000000,8.500270,0.339354,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.293597,91.160376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.665568,0.668282,10.273277,1.553249,78.665568,0.668282,11.035221,0.791306,5,8
"1019",72.756722,255.039780,72.590566,25.281223,0.000000,1.962054,0.166156,-nan,0.000000,-nan,0.000000,40.697467,4.376339,76.978535,67.349343,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.534580,26.146107,75.572737,7.147983,11.245962,3.905109,72.590566,4.432026,8.714173,12.135025,9,14
"1020",34.844037,208.173386,34.513595,63.829666,0.178466,1.147831,0.330441,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.848905,71.992968,-nan,0.000000,-nan,0.000000,0.000000,20.632788,86.588878,5.895972,34.513595,20.444186,28.358651,12.974467,34.513595,0.000000,13.950245,49.879421,6,11
"1021",92.791186,160.208980,91.695112,2.523914,0.000000,4.684900,1.096074,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.321226,94.219026,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.695112,0.898600,1.425593,0.199721,91.695112,0.898600,0.581780,1.043535,4,7
"1022",85.971327,234.679070,85.466716,13.092584,0.000000,0.936088,0.504612,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.528205,88.573482,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.251986,9.985819,85.466716,2.228788,8.253593,2.016542,85.466716,1.501955,4.052549,7.538080,9,19
"1024",60.222056,170.499478,59.339562,23.118794,0.000000,16.659149,0.882495,-nan,0.000000,0.000000,5.934195,-nan,0.000000,77.543564,76.524161,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.345909,5.393736,10.664174,3.105089,59.339562,5.699697,6.279330,11.139767,4,17
"1025",69.261617,246.306420,66.762213,27.833353,0.000000,2.905030,2.499403,-nan,0.000000,0.000000,2.107403,88.570947,1.036568,71.998870,91.451595,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.321672,4.118230,12.805539,4.991888,66.762213,8.039785,14.657862,5.135706,10,21
"1032",65.072408,280.971190,64.928818,28.331056,3.586653,3.009884,0.143590,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.959115,42.446098,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.767694,54.400428,64.928818,5.112772,17.824119,2.104656,64.928818,2.820156,1.316158,24.194741,6,14
"1033",85.089508,174.711933,84.742296,13.581449,0.000000,1.329042,0.347212,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.300414,70.770707,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.464253,27.553039,84.742296,0.745270,4.808680,7.602206,84.742296,0.000000,9.335412,4.246037,5,14
"1034",74.283289,199.131429,74.074856,24.456110,0.000000,1.260601,0.208434,-nan,0.000000,0.000000,4.294732,-nan,0.000000,79.091210,91.106727,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.465225,3.129507,75.471943,2.471678,16.243710,3.667319,74.074856,2.512511,16.396328,5.547272,10,12
"1037",66.660131,157.178793,65.705429,28.142788,0.000000,5.197081,0.954702,-nan,0.000000,19.082362,5.676981,43.269434,1.024254,62.337845,36.405891,-nan,0.000000,-nan,0.000000,0.000000,5.781910,92.271010,44.959181,68.481519,7.549409,9.422091,3.152327,65.705429,9.006439,4.728158,14.408191,20,31
"1039",89.314842,237.871020,88.882893,6.258284,0.000000,4.426874,0.431950,-nan,0.000000,0.000000,0.665007,84.943350,3.713965,94.548082,85.523761,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.910242,5.238444,89.357305,2.618612,1.799163,1.366097,88.882893,2.661005,1.652146,1.945133,7,9
"1040",89.677180,230.844082,89.499895,7.305232,0.000000,3.017588,0.177285,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.453672,96.805127,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.499895,0.603523,4.643989,1.534667,89.499895,0.201174,4.689966,2.414092,3,15
"1041",90.055397,169.613061,89.800422,6.336032,0.000000,3.608571,0.254975,-nan,0.000000,-nan,0.000000,0.000000,0.362840,93.804126,95.410774,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.006059,0.362840,89.800422,0.945580,4.273414,0.555749,89.800422,0.000000,4.699104,1.636928,5,6
"1042",75.581642,180.146840,75.233538,22.872214,0.000000,1.546144,0.348104,-nan,0.000000,-nan,0.000000,43.325877,4.815005,82.794326,71.160924,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.303212,22.129824,77.782074,8.743744,8.239479,3.340456,75.233538,2.548535,9.196428,11.127251,8,17
"1043",68.221053,200.846519,67.466695,31.027479,0.000000,0.751468,0.754358,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.383716,93.693392,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.699090,4.800782,67.466695,7.550910,9.454886,14.021683,67.466695,4.677110,19.554731,6.795638,6,14
"1044",67.796532,169.195102,67.156661,30.769333,0.000000,1.434134,0.639871,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.844503,47.491449,-nan,0.000000,-nan,0.000000,0.000000,12.043004,72.444620,38.391541,72.219137,14.928870,5.492165,4.956451,67.156661,5.465987,7.335888,17.967458,18,17
"1045",86.630401,197.877551,86.420647,10.826344,0.000000,2.543255,0.209754,-nan,0.000000,-nan,0.000000,43.112786,0.266761,90.468411,84.837539,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.684914,12.142690,87.449076,2.478491,4.792707,2.526717,86.420647,1.594774,5.583579,3.647990,8,10
