MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",80.787197,235.998912,73.977344,13.745725,0.274378,5.179902,6.822651,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.067603,87.997446,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.977344,0.000000,6.005346,7.740379,73.977344,0.000000,13.745725,-0.000000,7,4
"1003",75.787074,202.957319,72.066220,22.325366,0.333515,1.543386,3.731513,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.486482,41.150113,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.143189,53.574988,72.066220,2.895641,5.665009,13.764715,72.066220,0.000000,15.620749,6.704617,9,11
"1006",96.591888,164.048980,91.832437,2.143023,0.147620,1.087613,4.789307,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.566332,94.123080,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.832437,0.000000,2.143023,0.000000,91.832437,0.000000,2.143023,-0.000000,3,3
"1007",93.979892,218.331429,90.983751,5.537168,0.049686,0.418858,3.010537,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.710770,74.059308,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.582891,22.511297,90.983751,2.026819,1.130495,2.379854,90.983751,0.827989,3.140642,1.568538,7,7
"1009",90.755998,180.178299,85.738972,8.284828,0.373414,0.585759,5.017026,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.660952,71.568851,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.945886,22.828363,85.738972,4.207700,3.352402,0.724726,85.738972,0.768104,3.368478,4.148247,8,8
"1011",94.019215,252.813061,92.545135,5.960021,0.009229,0.006368,1.479246,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.896377,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.158703,16.657237,92.545135,0.833459,3.248392,1.878169,92.545135,0.000000,4.564498,1.395523,5,5
"1012",66.626565,282.229535,65.638362,32.574485,0.783404,0.007302,0.996447,-nan,0.000000,0.000000,15.829716,0.000000,1.340541,79.266926,60.656608,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.939264,21.169386,74.853095,6.185585,15.547263,1.626905,65.638362,9.214733,8.682947,14.676806,11,8
"1013",67.943053,218.207052,65.148665,31.350203,0.000000,0.706744,2.794388,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.887498,41.463406,-nan,0.000000,0.000000,19.891234,-nan,0.000000,78.145445,35.144227,81.158526,6.309581,6.082649,2.948112,65.148665,16.009861,2.605767,12.734575,12,14
"1014",86.956108,189.708345,84.514719,11.406757,1.612201,0.006431,2.459892,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.651833,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.514719,4.926311,4.456286,2.024160,84.514719,4.926311,6.193491,0.286954,4,7
"1016",74.754515,217.372200,72.561708,22.696141,1.037688,1.511655,2.192807,-nan,0.000000,-nan,0.000000,0.000000,0.639400,74.912574,34.500029,-nan,0.000000,-nan,0.000000,0.000000,0.639400,77.196612,60.516709,72.759112,9.916636,7.814190,4.767911,72.561708,7.437468,6.204952,9.053721,7,10
"1018",90.846952,159.085714,86.927233,4.233143,0.000000,4.919904,3.919720,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.356378,91.160376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.927233,1.307400,2.727397,0.198347,86.927233,1.307400,2.887957,0.037787,5,7
"1019",83.251916,255.039780,81.892677,15.752684,0.226429,0.768972,1.359238,-nan,0.000000,-nan,0.000000,0.000000,4.376339,92.661658,67.349343,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.526043,26.146107,85.666587,4.603928,5.012023,2.362823,81.892677,3.773910,3.144867,8.833907,9,7
"1020",71.628681,208.173386,70.150408,27.649503,0.721817,0.000000,1.478272,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.103097,71.992968,-nan,0.000000,-nan,0.000000,0.000000,20.632788,89.595313,5.895972,78.884085,13.291816,1.649021,3.974989,70.150408,8.733677,4.509410,14.406416,6,6
"1021",98.175296,160.208980,93.344106,0.874920,0.000000,0.944179,4.836795,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.071398,94.219026,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.344106,0.000000,0.710371,0.164549,93.344106,0.000000,0.874920,-0.000000,4,4
"1022",97.084043,234.679070,95.665258,2.668029,0.226014,0.021914,1.418785,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.473468,88.573482,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.428628,9.985819,95.665258,0.723514,0.990120,0.954394,95.665258,0.000000,1.758136,0.909892,9,10
"1024",87.761102,170.499478,70.273374,11.719882,0.465100,0.053916,17.487728,-nan,0.000000,0.000000,5.934195,-nan,0.000000,91.831616,76.524161,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.024661,2.257672,2.793009,5.917913,70.273374,3.008960,4.669193,4.041730,4,8
"1025",79.794063,246.306420,74.912306,19.683260,0.000000,0.522676,4.881757,-nan,0.000000,0.000000,2.107403,0.000000,1.036568,81.914707,91.451595,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.365666,0.507498,12.857811,3.864591,74.912306,2.688839,16.031791,0.962630,10,10
