MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",79.171651,235.998912,77.282561,10.714885,0.000000,10.107314,1.895239,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.823641,87.997446,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.282561,0.000000,4.103830,6.611055,77.282561,0.000000,10.714885,-0.000000,7,4
"1003",78.535039,202.957319,76.449181,18.188024,0.087895,3.179030,2.095869,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.799831,41.150113,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.619664,53.574988,76.449181,0.612925,3.502479,14.072621,76.449181,0.000000,16.276357,1.911668,9,10
"1006",94.827867,164.048980,93.016119,1.106961,0.000000,4.036863,1.840057,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.823922,94.123080,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.016119,0.000000,1.106961,0.000000,93.016119,0.000000,1.106961,0.000000,3,3
"1007",93.721247,218.331429,92.242956,4.327650,0.000000,1.943128,1.486267,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.382094,74.059308,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.678105,22.511297,92.242956,1.655029,1.815759,0.856862,92.242956,0.827989,2.365146,1.134515,7,6
"1009",89.145509,180.178299,83.743137,10.476287,0.177791,0.177283,5.425503,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.914747,71.568851,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.677601,22.828363,83.743137,3.667661,6.163785,0.644840,83.743137,0.765631,4.933947,4.776709,8,10
"1011",94.871290,252.813061,93.429302,5.075898,0.009185,0.036739,1.448876,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.634752,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.838181,16.657237,93.429302,0.753596,3.166897,1.155406,93.429302,0.000000,3.851044,1.224854,5,5
"1012",68.371207,282.229535,67.381083,30.828189,0.786979,0.004369,0.999380,-nan,0.000000,13.012819,15.829716,22.407820,1.340541,80.083315,60.656608,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.682847,21.169386,70.651787,7.843359,17.377069,2.337056,67.381083,3.270704,6.512214,21.045270,11,11
"1013",83.357406,218.207052,80.143748,16.355119,0.000000,0.279494,3.221638,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.319680,41.463406,-nan,0.000000,58.823599,19.891234,-nan,0.000000,89.368950,35.144227,80.143748,1.293663,10.686983,4.374474,80.143748,0.031586,3.508376,12.815157,12,16
"1014",84.880335,189.708345,82.530291,14.868748,0.134638,0.097919,2.368405,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.617225,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.530291,12.987414,0.179999,1.701335,82.530291,12.987414,1.307031,0.574303,4,7
"1016",77.476170,217.372200,75.527361,19.939634,0.828542,1.740278,1.964185,-nan,0.000000,-nan,0.000000,0.000000,0.639400,64.930507,34.500029,-nan,0.000000,-nan,0.000000,0.000000,0.639400,87.787850,60.516709,77.685149,9.070984,6.708456,2.002406,75.527361,5.956238,4.227134,9.756262,7,10
"1018",89.173827,159.085714,86.677932,4.482444,0.000000,6.325484,2.514140,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.082903,91.160376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.677932,0.000000,4.246496,0.235948,86.677932,0.000000,4.482444,0.000000,5,5
"1019",86.135535,255.039780,84.824495,13.047294,0.000000,0.805790,1.322421,-nan,0.000000,-nan,0.000000,80.675599,4.376339,90.925890,67.349343,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.706898,26.146107,87.417679,4.779561,2.941593,2.732956,84.824495,2.593184,1.630756,8.823355,9,10
"1020",49.945299,208.173386,48.485152,49.667444,0.369132,0.000000,1.478272,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.232387,71.992968,-nan,0.000000,-nan,0.000000,0.000000,20.632788,86.874038,5.895972,48.485152,20.447985,4.803756,24.415703,48.485152,0.000000,24.602527,25.064917,6,7
"1021",96.187359,160.208980,93.578522,0.640504,0.000000,3.163078,2.617896,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.320197,94.219026,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.578522,0.000000,0.455276,0.185228,93.578522,0.000000,0.640504,-0.000000,4,4
"1022",95.743160,234.679070,94.528407,3.613079,0.417814,0.216052,1.224647,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.741386,88.573482,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.407416,9.985819,94.528407,0.287540,1.801007,1.524532,94.528407,0.000000,2.328617,1.284462,9,12
"1024",80.335906,170.499478,70.544107,11.873287,0.040963,7.711715,9.829929,-nan,0.000000,0.000000,5.934195,-nan,0.000000,92.185404,76.524161,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.314778,1.843084,7.754183,1.505348,70.544107,2.613756,3.322162,5.937369,4,7
