MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",80.787197,235.998912,73.977344,13.745725,0.274378,5.179902,6.822651,84.067603,87.997446,87.723069,73.977344,0.000000,13.745725,-0.000000,7,4
"1003",76.909326,217.521633,73.437604,21.149579,0.491102,1.440048,3.481667,77.239092,95.078286,94.587183,73.437604,0.000000,21.149579,0.000000,7,8
"1006",96.591888,164.048980,91.832437,2.143023,0.147620,1.087613,4.789307,97.566332,94.123080,93.975459,91.832437,0.000000,2.143023,-0.000000,3,3
"1007",94.807881,218.331429,91.811739,4.709180,0.049686,0.418858,3.010537,95.072138,96.570605,96.520919,91.811739,0.000000,4.709180,0.000000,6,7
"1009",90.866424,181.482404,85.885450,8.181295,0.370731,0.581550,4.980974,90.944246,94.437475,94.066744,85.885450,0.000000,8.181295,-0.000000,7,6
"1011",94.019215,252.813061,92.545135,5.960021,0.009229,0.006368,1.479246,93.940732,98.514385,98.505156,92.545135,0.000000,5.960021,0.000000,5,5
"1012",76.482378,295.523265,75.538628,22.754612,0.748164,0.006973,0.951623,76.269747,99.041404,98.293240,75.538628,0.000000,22.754612,0.000000,7,7
"1013",84.453136,247.797551,81.992437,14.924515,0.000000,0.622349,2.460699,84.600718,96.916952,96.916952,81.992437,0.000000,14.924515,0.000000,10,10
"1014",92.247227,198.635102,89.915555,6.189211,1.539748,0.006142,2.349344,92.084594,97.644515,96.104766,89.915555,0.000000,6.189211,0.000000,4,5
"1016",82.191984,217.372200,79.999176,15.258673,1.037688,1.511655,2.192807,83.076722,96.295537,95.257849,79.999176,0.000000,15.258673,0.000000,4,8
"1018",92.154352,159.085714,88.234633,2.925743,0.000000,4.919904,3.919720,96.790554,91.160376,91.160376,88.234633,0.000000,2.925743,-0.000000,5,5
"1019",86.951609,267.964082,85.657929,12.100999,0.215508,0.731883,1.293680,87.428856,97.974436,97.758929,85.657929,0.000000,12.100999,-0.000000,7,7
