MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",78.321547,235.998912,76.432457,11.564989,0.000000,10.107314,1.895239,86.857586,87.997446,87.997446,76.432457,0.000000,11.564989,0.000000,7,4
"1003",78.866682,217.521633,76.920484,18.075791,0.082010,2.966176,1.955538,80.902262,95.078286,94.996275,76.920484,0.000000,18.075791,0.000000,7,8
"1006",94.262753,164.048980,92.451005,1.672075,0.000000,4.036863,1.840057,98.223523,94.123080,94.123080,92.451005,0.000000,1.672075,0.000000,3,3
"1007",94.946900,218.331429,93.468609,3.101996,0.000000,1.943128,1.486267,96.787846,96.570605,96.570605,93.468609,0.000000,3.101996,-0.000000,6,6
"1009",85.671376,181.482404,80.359004,13.901959,0.176513,0.227187,5.335337,85.092283,94.437475,94.260962,80.359004,0.000000,13.901959,-0.000000,7,6
"1011",94.934999,252.813061,93.548120,4.966266,0.000000,0.091846,1.393768,94.958842,98.514385,98.514385,93.548120,0.000000,4.966266,-0.000000,5,5
"1012",71.866032,295.523265,70.983305,27.361521,0.696578,0.067030,0.891566,71.670334,99.041404,98.344826,70.983305,0.000000,27.361521,0.000000,7,7
"1013",82.906169,247.797551,80.151232,16.765721,0.000000,0.321083,2.761965,82.700941,96.916952,96.916952,80.151232,0.000000,16.765721,-0.000000,10,9
"1014",97.227120,198.635102,94.982687,2.533240,0.128587,0.093518,2.261967,97.273961,97.644515,97.515927,94.982687,0.000000,2.533240,0.000000,4,7
"1016",82.867759,217.372200,80.812130,14.558727,0.924681,1.633456,2.071006,83.920950,96.295537,95.370856,80.812130,0.000000,14.558727,0.000000,4,6
"1018",87.637267,159.085714,85.141372,6.019004,0.000000,6.325484,2.514140,93.397346,91.160376,91.160376,85.141372,0.000000,6.019004,0.000000,5,5
"1019",86.105539,267.964082,84.857732,12.631446,0.485258,0.766926,1.258638,86.612116,97.974436,97.489178,84.857732,0.000000,12.631446,0.000000,7,7
"1020",50.514606,211.200000,49.075384,49.048714,0.418814,0.000000,1.457088,49.801029,98.542912,98.124098,49.075384,0.000000,49.048714,-0.000000,5,6
