MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",75.638242,233.439688,73.728442,14.137419,0.000000,10.218122,1.916017,93.233620,79.079244,0.000000,3.288931,0.000000,5.497686,-nan,0.000000,-nan,0.000000,73.728442,4.401376,3.052510,6.683533,0.000000,73.728442,4.401376,5.350802,4.385241,8,4
"1003",68.382371,202.957319,66.296513,28.340693,0.087895,3.179030,2.095869,28.883804,17.842664,83.923801,21.071947,63.453852,2.235502,85.174578,19.230770,74.714919,34.344218,66.296513,10.765593,0.792287,15.980594,0.802219,66.296513,10.152669,3.239340,14.948684,10,17
"1006",84.304601,164.048980,82.492853,11.630227,0.000000,4.036863,1.840057,99.196314,65.858569,-nan,0.000000,60.724844,28.264511,-nan,0.000000,-nan,0.000000,82.492853,10.523266,0.288404,0.818557,0.000000,82.492853,10.523266,0.288404,0.818557,4,5
"1007",91.320270,218.331429,89.841979,6.728626,0.000000,1.943128,1.486267,94.091786,72.428629,-nan,0.000000,50.871131,1.630678,92.678105,22.511297,-nan,0.000000,89.841979,4.056005,1.782036,0.890585,0.000000,89.841979,3.228965,2.305899,1.193762,8,8
"1009",86.879480,180.178299,81.477109,12.742315,0.177791,0.177283,5.425503,92.725496,68.514164,0.000000,1.517403,0.000000,1.537284,78.617155,22.828363,-nan,0.000000,81.477109,5.867816,6.229659,0.569496,0.075344,81.477109,3.031660,4.230116,5.480540,11,9
"1011",94.871290,252.813061,93.429302,5.075898,0.009185,0.036739,1.448876,94.634752,81.857149,-nan,0.000000,-nan,0.000000,95.838181,16.657237,-nan,0.000000,93.429302,0.753596,3.166897,1.155406,0.000000,93.429302,0.000000,3.851044,1.224854,5,5
"1012",68.764997,264.945170,67.710280,30.480260,0.740230,0.004654,1.064577,65.627770,72.791721,-nan,0.000000,76.384979,3.588624,79.343558,21.471901,14.923790,1.078523,67.710280,9.750933,18.040994,2.519489,0.000000,67.710280,4.244277,18.793040,7.442943,10,14
"1013",75.458052,185.823600,71.684352,24.204375,0.000000,0.328202,3.783072,56.891312,9.406075,92.582472,23.403968,70.984862,15.879185,4.782751,5.930691,80.229292,41.268807,71.684352,9.367572,5.378552,6.483967,0.160466,71.684352,11.148648,1.169811,11.885916,15,21
"1014",83.436037,189.708345,81.085992,16.313047,0.134638,0.097919,2.368405,-nan,0.000000,-nan,0.000000,83.136405,97.533677,-nan,0.000000,-nan,0.000000,81.085992,14.431713,0.142491,1.695537,0.043306,81.085992,14.431713,0.168728,1.712606,4,8
"1016",74.545009,217.372200,72.596201,22.870794,0.828542,1.740278,1.964185,68.068355,31.037324,0.000000,4.102105,-nan,0.000000,31.551378,6.613246,90.539866,54.542863,72.596201,14.053872,5.801160,2.985293,0.030469,72.596201,8.887399,4.600238,9.383157,7,11
