MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",77.271499,233.439688,70.386989,17.201486,0.277386,5.236690,6.897449,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.008171,79.079244,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.288931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.096310,0.000000,4.401376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.386989,4.401376,4.974873,7.825238,0.000000,70.386989,4.401376,8.414869,4.385241,8,4
"1003",22.414077,202.957319,18.693222,75.698363,0.333515,1.543386,3.731513,-nan,0.000000,-nan,0.000000,-nan,0.000000,32.598327,17.842664,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,21.071947,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.235502,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.959422,19.230770,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,34.344218,18.693222,56.268639,3.353570,15.189794,0.886361,18.693222,53.372998,12.508651,9.816715,10,11
"1006",68.794091,164.048980,64.034641,29.940819,0.147620,1.087613,4.789307,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.230538,65.858569,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,28.264511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.034641,27.797796,1.676308,0.466715,0.000000,64.034641,27.797796,1.676308,0.466715,4,3
"1007",92.378627,218.331429,89.382485,7.138434,0.049686,0.418858,3.010537,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.632296,72.428629,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.630678,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.582891,22.511297,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.382485,3.628084,1.101082,2.409267,0.000000,89.382485,2.429254,3.111229,1.597951,8,7
"1009",88.127984,180.178299,83.110958,10.912842,0.373414,0.585759,5.017026,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.001079,68.514164,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.517403,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.777018,0.000000,0.760267,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.945886,22.828363,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.110958,6.788479,3.399637,0.724726,0.000000,83.110958,3.396118,2.989040,4.527685,12,8
"1011",94.019215,252.813061,92.545135,5.960021,0.009229,0.006368,1.479246,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.896377,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.158703,16.657237,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.545135,0.833459,3.248392,1.878169,0.000000,92.545135,0.000000,4.564498,1.395523,5,5
"1012",62.981393,264.945170,61.928722,36.261818,0.740230,0.007778,1.061453,-nan,0.000000,0.000000,16.862408,0.000000,1.427994,80.899568,54.501319,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.588624,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.073174,21.471901,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.078523,71.744601,8.377476,16.335423,1.733040,0.000000,61.928722,13.857774,8.897910,13.506134,13,8
"1013",10.071909,185.823600,6.790543,89.098183,0.000000,0.829909,3.281365,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.193166,9.406075,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,23.403968,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,15.879185,-nan,0.000000,0.000000,5.930691,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.268807,10.692753,74.931253,5.060542,3.770354,1.433823,6.790543,73.613781,1.254718,14.229684,15,14
"1014",2.441389,189.708345,0.000000,95.921475,1.612201,0.006431,2.459892,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,84.514719,8.485304,2.051696,0.869756,0.000000,89.441030,0.000000,6.480445,4,7
"1016",28.145013,217.372200,25.952206,69.305643,1.037688,1.511655,2.192807,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.187880,31.037324,-nan,0.000000,-nan,0.000000,0.000000,0.639400,-nan,0.000000,0.000000,3.462704,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.639400,59.375820,5.973846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,54.542863,25.952206,50.347381,13.623609,5.300543,0.034110,25.952206,54.046970,6.181921,9.076752,8,10
