MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",75.638242,233.439688,73.728442,14.137419,0.000000,10.218122,1.916017,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.233620,79.079244,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.288931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.096310,0.000000,4.401376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.728442,4.401376,3.052510,6.683533,0.000000,73.728442,4.401376,5.350802,4.385241,8,4
"1003",68.382371,202.957319,66.296513,28.340693,0.087895,3.179030,2.095869,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.883804,17.842664,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.923801,21.071947,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.453852,2.235502,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.174578,19.230770,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.714919,34.344218,66.296513,10.765593,0.792287,15.980594,0.802219,66.296513,10.152669,3.239340,14.948684,10,17
"1006",84.304601,164.048980,82.492853,11.630227,0.000000,4.036863,1.840057,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.196314,65.858569,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.724844,28.264511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.492853,10.523266,0.288404,0.818557,0.000000,82.492853,10.523266,0.288404,0.818557,4,5
"1007",91.320270,218.331429,89.841979,6.728626,0.000000,1.943128,1.486267,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.091786,72.428629,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.871131,1.630678,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.678105,22.511297,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.841979,4.056005,1.782036,0.890585,0.000000,89.841979,3.228965,2.305899,1.193762,8,8
"1009",86.879480,180.178299,81.477109,12.742315,0.177791,0.177283,5.425503,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.725496,68.514164,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.517403,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.777018,0.000000,0.760267,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.617155,22.828363,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.477109,5.867816,6.229659,0.569496,0.075344,81.477109,3.031660,4.137830,5.572825,12,11
"1011",94.871290,252.813061,93.429302,5.075898,0.009185,0.036739,1.448876,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.634752,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.838181,16.657237,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.429302,0.753596,3.166897,1.155406,0.000000,93.429302,0.000000,3.851044,1.224854,5,5
"1012",65.613860,264.945170,64.559143,33.631397,0.740230,0.004654,1.064577,-nan,0.000000,13.012819,16.862408,22.407820,1.427994,77.257193,54.501319,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.384979,3.588624,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.343558,21.471901,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.923790,1.078523,67.710280,9.750933,18.040994,2.519489,0.000000,64.559143,7.395414,6.028283,20.207700,13,17
"1013",75.458052,185.823600,71.684352,24.204375,0.000000,0.328202,3.783072,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.891312,9.406075,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.582472,23.403968,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.984862,15.879185,-nan,0.000000,4.782751,5.930691,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.229292,41.268807,71.684352,9.367572,5.378552,6.483967,0.160466,71.684352,11.148648,1.169811,11.885916,15,24
"1014",83.436037,189.708345,81.085992,16.313047,0.134638,0.097919,2.368405,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.136405,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.085992,14.431713,0.142491,1.695537,0.043306,81.085992,14.431713,0.168728,1.712606,4,8
"1016",72.387222,217.372200,70.438413,25.028582,0.828542,1.740278,1.964185,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.116120,31.037324,-nan,0.000000,-nan,0.000000,0.000000,0.639400,-nan,0.000000,0.000000,3.462704,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.639400,34.928424,5.973846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.539866,54.542863,72.596201,14.053872,5.801160,2.985293,0.030469,70.438413,11.045187,3.948629,10.034767,8,13
