MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",95.451700,172.863864,91.263433,4.137739,0.000000,0.409616,4.189211,95.662800,95.401172,-nan,0.000000,91.263433,0.000000,4.037763,0.099976,91.263433,0.000000,3.154306,0.983433,3,4
"1302",79.620431,152.328747,76.731182,19.388650,0.957694,0.000000,2.922474,68.097007,53.418009,92.431432,43.659517,76.731182,7.531913,8.418180,3.438557,76.731182,5.448987,9.109430,4.830232,6,9
"1305",83.287623,280.118277,83.120566,15.948875,0.763502,0.000000,0.167058,82.673358,96.310005,99.287907,3.522937,83.120566,0.054802,5.269567,10.624507,83.120566,0.000000,15.193946,0.754929,3,9
"1306",82.920583,144.247435,81.753716,14.407641,2.671776,0.000000,1.166866,82.214309,96.028979,100.000000,2.804154,81.753716,0.814030,5.939659,7.653952,81.753716,0.000000,13.551419,0.856223,9,11
"1309",71.180891,211.202647,68.243561,25.920727,1.849542,1.030675,2.955496,-nan,0.000000,71.076804,96.013829,68.243561,9.364975,11.612172,4.943579,68.243561,1.335484,11.374770,13.210472,3,8
"1310",62.771310,126.102248,59.303023,30.514769,6.253824,0.416633,3.511750,65.366828,74.664637,49.035960,21.406980,59.303023,15.893856,11.586399,3.034514,59.303023,0.411402,6.085735,24.017632,9,9
"1311",89.378253,323.683265,88.709022,10.602439,0.017633,0.001674,0.669232,-nan,0.000000,89.308196,99.329094,88.709022,4.011508,4.786698,1.804233,88.709022,2.916431,5.132716,2.553292,2,10
"1312",65.235364,147.644082,52.717517,30.553338,0.019060,4.162382,12.547703,61.401194,78.768999,96.272762,4.520916,52.717517,11.322531,12.704006,6.526801,52.717517,0.077160,18.743044,11.733134,6,6
"1313",71.985336,167.444898,67.966061,9.698648,3.499617,14.789586,4.046088,82.761313,57.710728,86.144160,23.453598,67.966061,1.247147,0.794291,7.657210,67.966061,0.702692,6.194375,2.801581,4,6
"1318",71.922834,189.092744,70.683871,18.633774,1.030916,8.412475,1.238963,81.382934,82.011155,47.266341,8.337407,70.683871,4.895109,5.230739,8.507926,70.683871,1.072390,12.177974,5.383411,6,11
"1319",68.802095,84.627163,67.580356,31.197905,0.000000,0.000000,1.221739,2.008757,23.723798,89.406812,75.054463,67.580356,25.318247,3.606489,2.273169,67.580356,0.000000,2.661327,28.536578,4,6
"1321",80.211345,138.830927,77.732041,18.007674,0.000000,1.780981,2.479304,90.182507,68.673118,58.377867,27.066598,77.732041,7.906281,7.368795,2.732598,77.732041,1.573212,6.334300,10.100162,9,9
"1322",9.245202,190.856372,7.686408,90.436707,0.318091,0.000000,1.558793,-nan,0.000000,7.808121,98.441207,7.686408,49.951178,35.150710,5.334819,7.686408,36.848164,4.076364,49.512179,2,14
"1324",87.454070,237.533605,85.575935,12.064741,0.386808,0.080234,1.892283,96.178911,88.746991,2.371045,9.280491,85.575935,6.483931,1.692461,3.888349,85.575935,1.923938,1.547766,8.593036,5,9
"1327",61.089166,171.937959,57.147060,33.685620,3.291875,1.933339,3.942106,65.450080,34.724893,57.945767,59.399662,57.147060,14.693007,14.312221,4.680391,57.147060,14.693007,10.518124,8.474488,5,9
"1329",76.079667,216.737959,74.801626,20.499810,0.000000,3.403009,1.295555,78.489506,95.301436,-nan,0.000000,74.801626,5.752560,6.583042,8.164208,74.801626,5.752560,14.538694,0.208555,6,6
"1330",86.708319,198.542154,83.410722,11.849000,0.479938,0.941511,3.318829,87.159786,77.060028,86.968341,18.679632,83.410722,5.213521,5.521737,1.113742,83.410722,1.314582,5.896036,4.638382,4,7
"1331",90.573629,128.040249,88.473258,4.341306,5.053630,0.000000,2.131806,90.400419,97.868194,-nan,0.000000,88.473258,0.000000,4.301256,0.040051,88.473258,0.000000,4.341306,0.000000,4,5
"1332",92.300163,253.866667,91.535866,5.182562,2.516953,0.000000,0.764618,92.241159,99.235382,-nan,0.000000,91.535866,0.795425,3.868410,0.518727,91.535866,0.795425,4.075682,0.311455,6,5
"1333",85.613998,142.106122,83.249025,13.770018,0.611676,0.000000,2.369281,93.759221,65.924216,67.617023,31.706503,83.249025,10.074447,2.431561,1.264010,83.249025,0.268555,3.249671,10.251792,7,7
"1334",91.260511,160.792092,87.700390,8.158648,0.293784,0.285788,3.561390,90.974518,88.447038,93.905090,7.705783,87.700390,3.781361,3.280434,1.096853,87.700390,1.785816,3.642559,2.730273,8,9
"1335",76.771633,189.717936,72.605596,23.192190,0.032140,0.004038,4.166037,86.388221,52.054131,63.132967,43.775795,72.605596,7.950596,11.840702,3.400892,72.605596,0.000000,5.044227,18.147963,8,9
"1336",85.607220,182.229116,83.270736,12.850155,0.000000,1.542625,2.336485,85.346222,82.930754,94.710693,13.190137,83.270736,4.672929,7.044165,1.133061,83.270736,0.000000,7.885836,4.964319,3,8
"1337",88.170662,163.023596,82.301244,10.846751,0.414760,0.567827,5.869419,89.938831,28.483128,87.099227,65.079627,82.301244,2.448046,6.705019,1.693686,82.301244,0.000000,4.826023,6.020728,9,12
