MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",93.926313,172.863864,89.369425,4.283096,1.748651,0.040995,4.557833,93.677491,95.401172,-nan,0.000000,89.369425,0.289245,3.732320,0.261531,89.369425,0.289245,3.646757,0.347094,3,6
"1302",73.221425,152.328747,70.298950,22.643543,4.135033,0.000000,2.922474,60.095714,53.418009,87.488409,43.659517,70.298950,12.611303,8.436170,1.475522,70.298950,11.445355,6.713887,4.484300,6,10
"1305",58.346080,280.118277,58.179022,39.826582,1.827338,0.000000,0.167058,57.238088,96.310005,86.661125,3.522937,58.179022,26.241320,3.498635,10.086626,58.179022,25.968849,11.738850,2.118883,3,14
"1306",73.926461,144.247435,72.759595,19.477950,6.595589,0.000000,1.166866,73.169457,96.028979,89.000510,2.804154,72.759595,2.532009,10.191817,6.754124,72.759595,1.812928,16.604470,1.060552,9,15
"1309",67.980033,211.202647,63.993862,23.156693,8.863274,0.000000,3.986171,-nan,0.000000,66.650671,96.013829,63.993862,10.648195,8.339440,4.169059,63.993862,6.563183,9.299450,7.294061,3,10
"1310",63.359163,126.102248,59.430779,28.123282,8.517556,0.000000,3.928383,69.273339,74.664637,36.007380,21.406980,59.430779,13.759201,9.948894,1.839827,59.430779,10.906347,7.401736,9.815198,9,16
"1311",64.975972,323.683265,64.305067,34.371644,0.652383,0.000000,0.670906,-nan,0.000000,64.739407,99.329094,64.305067,29.683808,3.699215,0.988621,64.305067,27.428517,1.623581,5.319546,2,9
"1312",72.253105,147.644082,59.962778,23.192936,0.134202,4.419757,12.290327,70.826928,78.768999,92.306853,4.520916,59.962778,1.678804,17.148821,4.365311,59.962778,0.687287,21.396623,1.109025,6,12
"1313",69.750932,167.444898,64.786421,10.386633,5.991271,13.871164,4.964511,81.124823,57.710728,76.613814,23.453598,64.786421,1.403695,0.588680,8.394258,64.786421,0.847295,7.213819,2.325518,4,11
"1318",62.263539,189.092744,61.442361,28.468151,0.438051,8.830260,0.821179,72.089662,82.011155,27.835952,8.337407,61.442361,7.794955,12.033493,8.639703,61.442361,6.322255,17.422949,4.722947,6,15
