MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",92.981095,172.863864,88.424206,5.228315,1.748651,0.040995,4.557833,-nan,0.000000,0.000000,0.975147,0.000000,1.633335,95.292211,92.792690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.369425,0.289245,3.732320,0.261531,88.424206,1.234464,3.235669,0.758183,5,7
"1302",72.943590,152.328747,70.021115,22.921378,4.135033,0.000000,2.922474,-nan,0.000000,0.000000,0.432032,-nan,0.000000,60.061361,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.488409,43.659517,70.298950,12.611303,8.436170,1.475522,70.021115,11.723190,6.559690,4.638498,7,10
"1305",58.346080,280.118277,58.179022,39.826582,1.827338,0.000000,0.167058,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.238088,96.310005,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.661125,3.522937,58.179022,26.241320,3.498635,10.086626,58.179022,25.968849,11.738850,2.118883,3,14
"1306",73.784469,144.247435,72.617603,19.619942,6.595589,0.000000,1.166866,-nan,0.000000,0.000000,0.413980,-nan,0.000000,73.337752,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.000510,2.804154,72.759595,2.532009,10.191817,6.754124,72.617603,1.954920,16.332482,1.332540,10,15
"1309",67.980033,211.202647,63.993862,23.156693,8.863274,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.650671,96.013829,63.993862,10.648195,8.339440,4.169059,63.993862,6.563183,9.299450,7.294061,3,10
"1310",62.108887,126.102248,58.180504,29.373557,8.517556,0.000000,3.928383,-nan,0.000000,0.000000,0.791179,0.000000,3.984211,72.217706,69.889247,-nan,0.000000,-nan,0.000000,0.000000,0.788343,37.384104,20.618636,59.430779,13.759201,9.948894,1.839827,58.180504,12.156623,5.448377,11.768557,12,18
"1311",64.975972,323.683265,64.305067,34.371644,0.652383,0.000000,0.670906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.739407,99.329094,64.305067,29.683808,3.699215,0.988621,64.305067,27.428517,1.623581,5.319546,2,12
"1312",71.982183,147.644082,59.691856,23.463858,0.134202,4.419757,12.290327,-nan,0.000000,40.793399,4.476663,-nan,0.000000,72.272000,74.292336,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.306853,4.520916,59.962778,1.678804,17.148821,4.365311,59.691856,0.958209,18.540413,3.965236,7,14
"1313",69.750932,167.444898,64.786421,10.386633,5.991271,13.871164,4.964511,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.124823,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.613814,23.453598,64.786421,1.403695,0.588680,8.394258,64.786421,0.847295,7.213819,2.325518,4,11
"1318",61.908412,189.092744,61.087234,28.823278,0.438051,8.830260,0.821179,-nan,0.000000,0.000000,1.316442,-nan,0.000000,72.825635,80.694713,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.835952,8.337407,61.442361,7.794955,12.033493,8.639703,61.087234,6.677382,16.461634,5.684262,8,15
