MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",94.253382,174.001633,89.726290,3.967736,1.737217,0.040727,4.528030,94.021923,95.431243,93.694026,89.726290,0.000000,3.967736,-0.000000,3,4
"1302",81.442459,158.850612,78.639972,14.592278,3.965262,0.000000,2.802488,80.907391,97.197512,93.232250,78.639972,0.000000,14.592278,0.000000,6,7
"1305",84.052756,289.986667,83.891383,14.182091,1.765153,0.000000,0.161373,84.026980,99.838627,98.073475,83.891383,0.000000,14.182091,0.000000,4,8
"1306",75.063922,154.697143,73.975877,18.786017,6.150061,0.000000,1.088045,74.789622,98.911955,92.761894,73.975877,0.000000,18.786017,0.000000,9,10
"1309",70.646036,258.638367,67.390951,22.116264,7.237700,0.000000,3.255085,69.658391,96.744915,89.507215,67.390951,0.000000,22.116264,0.000000,4,6
"1310",71.165299,132.054807,67.413993,19.216704,9.617997,0.000000,3.751306,70.041462,96.248694,86.630697,67.413993,0.000000,19.216704,0.000000,7,7
"1311",92.404489,323.683265,91.733584,6.943127,0.652383,0.000000,0.670906,92.353186,99.329094,98.676711,91.733584,0.000000,6.943127,-0.000000,2,6
"1312",72.940393,147.644082,60.650065,22.505649,0.134202,4.419757,12.290327,72.818018,83.289915,83.155714,60.650065,0.000000,22.505649,-0.000000,5,7
"1313",70.598227,167.444898,65.633717,9.539338,5.991271,13.871164,4.964511,80.865228,81.164326,75.173054,65.633717,0.000000,9.539338,0.000000,4,8
"1318",66.261479,228.988390,65.583371,23.330578,3.116141,7.291802,0.678108,71.262965,92.030090,88.913949,65.583371,0.000000,23.330578,0.000000,7,8
"1319",75.140135,223.869388,74.678293,23.101936,1.757929,0.000000,0.461842,75.024789,99.538158,97.780229,74.678293,0.000000,23.101936,0.000000,5,7
"1321",77.200903,168.751020,74.841189,20.961163,0.692724,1.145209,2.359714,77.559593,96.495077,95.802353,74.841189,0.000000,20.961163,0.000000,7,8
"1322",59.114370,208.796735,57.689512,35.319605,5.566025,0.000000,1.424858,58.523387,98.575142,93.009117,57.689512,0.000000,35.319605,-0.000000,2,8
"1324",88.552933,237.533605,86.620068,9.509242,1.898173,0.025505,1.947012,88.363045,98.027483,96.129310,86.620068,0.000000,9.509242,0.000000,5,5
"1327",48.157492,171.937959,42.766797,46.083002,5.274756,0.484750,5.390695,45.436387,94.124555,88.849799,42.766797,0.000000,46.083002,0.000000,4,8
"1329",85.588569,216.737959,80.907518,12.938525,1.455392,0.000000,4.698564,84.896432,95.301436,93.846044,80.907518,0.000000,12.938525,-0.000000,6,5
"1330",79.267960,198.542154,75.641093,16.522934,3.575634,0.612241,3.648099,79.007062,95.739660,92.164027,75.641093,0.000000,16.522934,0.000000,4,5
"1331",83.662687,128.040249,81.530882,5.082508,11.254805,0.000000,2.131806,83.306821,97.868194,86.613390,81.530882,0.000000,5.082508,-0.000000,4,9
"1332",88.016043,256.600816,87.259890,7.907383,4.076256,0.000000,0.756471,87.925017,99.243529,95.167273,87.259890,0.000000,7.907383,-0.000000,6,9
"1333",90.384131,142.106122,88.019158,8.458037,1.153525,0.000000,2.369281,90.155188,97.630719,96.477194,88.019158,0.000000,8.458037,0.000000,6,8
"1334",92.512932,260.702041,90.242595,4.668399,2.716198,0.101688,2.271120,92.435922,97.627192,94.910994,90.242595,0.000000,4.668399,0.000000,7,7
"1335",71.750737,224.574694,68.275849,26.433104,1.768220,0.047939,3.474888,70.768916,96.477173,94.708952,68.275849,0.000000,26.433104,0.000000,6,8
"1336",80.012494,182.987755,76.607027,18.952766,0.577179,0.457560,3.405467,79.685292,96.136973,95.559794,76.607027,0.000000,18.952766,0.000000,4,9
"1337",73.735077,186.174694,68.419007,22.840952,3.103277,0.320695,5.316070,72.505999,94.363236,91.259958,68.419007,0.000000,22.840952,0.000000,8,8
"1339",87.571336,243.304626,86.329693,9.552972,2.827330,0.046461,1.243544,87.457904,98.709995,95.882665,86.329693,0.000000,9.552972,0.000000,10,12
"1340",76.481054,261.520136,74.653201,20.979970,2.531276,0.000000,1.835553,76.049123,98.164447,95.633171,74.653201,0.000000,20.979970,0.000000,5,6
