MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",78.469111,172.863864,78.232363,17.168809,0.000000,4.362080,0.236748,81.859019,92.562201,-nan,0.000000,86.716385,2.838971,-nan,0.000000,-nan,0.000000,78.232363,8.467210,2.682029,1.586842,0.000000,78.232363,11.896001,1.704414,3.568394,4,11
"1302",34.943685,152.328747,34.560696,62.516829,0.000000,2.539486,0.382988,-nan,0.000000,-nan,0.000000,50.686895,53.418009,-nan,0.000000,17.143494,43.659517,34.560696,42.673902,5.544688,5.826282,0.469428,34.560696,46.443080,0.880075,15.193674,6,17
"1305",64.914132,280.118277,64.755364,35.048315,0.029264,0.008289,0.158768,3.489855,4.221087,-nan,0.000000,68.748644,92.088918,-nan,0.000000,36.849144,3.522937,64.755364,6.167386,1.934943,14.916189,1.067485,64.755364,9.075446,0.056552,25.916316,3,20
"1306",52.983277,144.247435,52.431944,45.660713,0.740476,0.615533,0.551333,51.732087,96.028979,-nan,0.000000,-nan,0.000000,98.216738,2.804154,-nan,0.000000,52.431944,16.897226,6.592154,10.812738,1.481489,52.431944,22.941600,6.819348,15.899765,9,22
"1309",50.757151,211.202647,49.596479,46.075945,0.341405,2.825499,1.160672,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.655558,96.013829,49.596479,4.978977,17.028282,10.405963,1.591163,49.596479,3.937855,15.564110,26.573980,3,22
"1310",41.577921,113.025541,41.184997,54.432117,0.000000,3.989961,0.392924,25.541097,51.256845,-nan,0.000000,71.787766,24.056760,74.195916,11.478976,26.139566,8.824533,41.184997,18.635726,7.886411,4.287398,0.285445,41.184997,36.005150,4.340438,14.086529,10,22
"1311",12.366503,323.683265,12.238273,87.090821,0.000000,0.542677,0.128229,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,49.936586,24.777590,49.392508,12.238273,49.303013,32.744721,1.319954,0.000000,12.238273,78.268109,0.717367,8.105345,3,11
"1312",56.474841,147.644082,45.080644,38.209271,0.000000,5.315888,11.394197,61.491668,71.350811,-nan,0.000000,16.255184,7.418188,-nan,0.000000,0.000000,4.520916,45.080644,22.348752,9.331205,3.999266,0.202455,45.080644,14.918461,8.861817,14.428992,7,16
"1313",65.373574,167.444898,64.940224,16.224102,0.000000,18.402324,0.433351,80.558320,57.710728,-nan,0.000000,-nan,0.000000,78.663541,23.453598,-nan,0.000000,64.940224,3.635007,1.564917,7.397646,0.853266,64.940224,6.428818,5.188176,4.607108,4,16
"1318",31.136631,189.092744,30.698161,59.650401,0.000000,9.212968,0.438470,24.440719,67.982159,-nan,0.000000,64.890172,14.028995,-nan,0.000000,59.723518,8.337407,30.698161,28.232645,3.406061,11.976225,0.790021,30.698161,34.876899,2.251904,22.521598,7,28
"1319",61.578125,64.550385,60.525949,37.872321,0.000000,0.549554,1.052176,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.511192,98.398270,60.525949,14.292918,11.312411,5.112285,0.000000,60.525949,11.238997,5.049488,21.583835,3,14
"1321",65.333268,136.437412,64.865252,30.799725,0.000000,3.867007,0.468016,0.000000,7.307322,82.214330,53.609508,35.796278,7.206722,-nan,0.000000,66.121545,27.541426,64.865252,19.018880,7.167909,2.804883,0.000000,64.865252,18.668503,4.533174,7.598048,10,18
"1322",1.108644,190.856372,0.778636,95.338910,2.323660,1.228785,0.330008,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.790966,98.441207,-nan,0.000000,0.778636,6.985833,7.956326,4.536888,0.873888,0.778636,61.472077,0.000000,33.866833,2,14
"1324",85.217994,237.533605,84.966582,13.060900,0.000000,1.721105,0.251412,92.811240,88.746991,-nan,0.000000,-nan,0.000000,28.009287,9.280491,-nan,0.000000,84.966582,3.107935,1.823263,2.701336,0.501546,84.966582,4.946809,1.574873,6.539218,5,18
"1327",12.939623,171.937959,12.119204,82.005351,0.000000,5.055026,0.820419,-nan,0.000000,-nan,0.000000,27.511339,34.724893,-nan,0.000000,4.319756,59.399662,12.119204,8.683338,14.827067,33.663157,0.933410,12.119204,13.135466,8.058845,60.811040,5,35
"1329",57.387314,216.737959,57.150281,38.151155,0.000000,4.461531,0.237033,59.480972,68.896470,-nan,0.000000,61.238445,26.404966,-nan,0.000000,-nan,0.000000,57.150281,23.049153,4.342813,5.460834,0.000000,57.150281,24.733725,6.252439,7.164991,7,15
"1330",35.921078,198.542154,35.704751,60.034910,0.000000,4.044012,0.216327,46.333685,77.060028,-nan,0.000000,-nan,0.000000,0.000000,18.679632,-nan,0.000000,35.704751,28.854931,13.218670,1.354088,0.000000,35.704751,35.325380,7.474903,17.234627,4,23
"1331",63.344833,128.040249,63.014172,34.854022,0.000000,1.801145,0.330661,-nan,0.000000,-nan,0.000000,64.386773,97.868194,-nan,0.000000,-nan,0.000000,63.014172,8.402222,3.264280,8.425723,0.000000,63.014172,19.472280,4.786379,10.595363,4,24
"1332",78.647737,253.866667,78.420217,20.723699,0.091465,0.537099,0.227520,79.024453,99.235382,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.420217,4.761262,9.392643,2.579866,0.569131,78.420217,6.904158,7.615599,6.203942,6,21
"1333",80.319186,142.106122,80.025068,17.605651,0.000000,2.075163,0.294118,76.429939,65.924216,-nan,0.000000,-nan,0.000000,93.479973,31.706503,-nan,0.000000,80.025068,12.004498,2.667555,0.991331,0.373639,80.025068,11.193816,3.035514,3.376321,7,12
"1334",57.764535,160.792092,56.141395,39.765931,0.245497,2.224038,1.623140,54.746545,84.746467,-nan,0.000000,93.365980,3.700572,95.444170,4.146554,65.545452,3.559229,56.141395,31.631095,5.263989,0.699052,0.005648,56.141395,30.905594,4.732699,4.127638,9,19
"1335",57.697084,159.743979,57.353677,37.693786,0.000000,4.609130,0.343407,61.913328,44.176490,0.000000,4.438686,10.940336,2.779951,-nan,0.000000,68.033944,43.652337,57.353677,10.436751,12.040770,8.493597,0.207562,57.353677,11.854700,6.443180,19.395906,10,14
"1336",52.266143,180.680405,51.821163,44.266478,0.000000,3.467379,0.444980,54.630667,76.841616,13.058422,5.942828,-nan,0.000000,68.149301,13.303197,-nan,0.000000,51.821163,16.812524,12.733813,1.679355,0.103535,51.821163,25.633382,2.831042,15.802055,4,17
"1337",54.789979,163.023596,54.421433,39.141321,0.000000,6.068700,0.368546,73.054285,13.763743,93.256570,7.874043,32.901761,6.845342,24.208620,7.874043,57.450566,57.205584,54.421433,15.043530,8.679122,6.618978,0.618351,54.421433,5.726464,7.403718,26.011139,12,28
"1339",70.985240,243.304626,70.811013,27.898981,0.000000,1.115779,0.174226,70.309562,60.083804,-nan,0.000000,-nan,0.000000,75.163580,31.929906,68.197416,6.696284,70.811013,10.128895,5.319257,6.559155,0.031921,70.811013,12.750459,4.066035,11.082487,13,29
"1340",49.657200,215.652019,48.551047,49.222987,0.000000,1.119812,1.106153,44.153033,71.556262,-nan,0.000000,-nan,0.000000,36.957306,4.985303,71.185096,21.232469,48.551047,16.630670,10.179407,12.678158,0.922217,48.551047,22.612883,10.147047,16.463057,6,24
"1342",62.508101,188.081633,62.285879,32.377105,0.000000,5.114794,0.222222,68.333525,89.746883,-nan,0.000000,-nan,0.000000,19.500634,4.916101,-nan,0.000000,62.285879,4.583300,8.688074,3.113127,0.584244,62.285879,16.684869,8.587270,7.104967,5,17
"1344",49.972080,156.792477,49.703660,47.317808,0.000000,2.710112,0.268420,-nan,0.000000,82.628727,25.978211,43.490326,25.742074,32.064248,12.803269,39.810589,32.497914,49.703660,29.925785,7.530729,2.632362,3.720525,49.703660,30.986541,3.186611,13.144656,9,26
"1345",69.393684,102.862939,68.744690,25.452035,0.000000,5.154281,0.648993,75.914532,78.899406,98.960689,2.554309,-nan,0.000000,92.692004,5.094350,20.902460,7.648660,68.744690,10.269687,7.634620,2.741578,0.000000,68.744690,12.535975,4.989550,7.926510,7,17
"1346",52.763679,210.827269,52.558549,44.204356,0.000000,3.031965,0.205131,79.533257,22.281260,53.274202,8.348585,50.888089,7.619094,33.805406,20.180570,51.366594,38.333395,52.558549,26.555606,8.747945,4.822912,0.399248,52.558549,26.998510,2.312598,14.893247,15,27
"1347",56.564692,120.125068,55.931678,40.597261,0.231958,2.606090,0.633014,88.347123,50.189137,0.000000,1.348871,10.730762,23.201390,49.176919,4.700095,39.199893,17.321404,55.931678,21.294949,6.821398,7.943380,0.130335,55.931678,19.483119,6.222995,14.891147,18,22
"1350",56.573834,239.194764,56.402738,37.736941,0.000000,5.689225,0.171096,62.240800,90.311891,-nan,0.000000,5.013202,3.827789,-nan,0.000000,-nan,0.000000,56.402738,8.247081,8.183228,8.012843,0.052690,56.402738,20.163537,8.180792,9.392612,4,14
"1353",0.321579,120.945113,0.000000,97.246282,0.000000,2.432139,0.321579,0.000000,84.138679,-nan,0.000000,0.000000,13.107602,-nan,0.000000,-nan,0.000000,0.000000,0.000000,1.156617,61.054911,32.078146,0.000000,0.000000,68.603400,28.642882,10,17
"1354",71.835311,193.558651,71.539561,27.523963,0.000000,0.640726,0.295750,66.809008,16.964416,29.829382,8.211103,-nan,0.000000,-nan,0.000000,78.167602,73.888006,71.539561,8.999512,7.318413,5.279134,0.264631,71.539561,10.362999,6.041301,11.119663,7,19
"1355",28.371096,112.550771,28.022954,71.175029,0.000000,0.453874,0.348142,31.708117,82.652203,-nan,0.000000,-nan,0.000000,10.972569,16.545781,-nan,0.000000,28.022954,46.118983,7.444390,4.638458,1.605710,28.022954,60.624152,1.177393,9.373485,4,14
"1357",75.419386,128.866105,75.108564,15.606494,0.000000,8.974120,0.310822,82.796138,90.715058,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.108564,1.212205,3.658925,2.374702,0.000000,75.108564,8.079939,5.335853,2.190701,4,10
"1358",15.639266,150.573304,14.651130,52.583236,0.000000,31.777499,0.988136,49.909791,14.917000,-nan,0.000000,13.773794,52.317365,-nan,0.000000,-nan,0.000000,14.651130,29.187599,5.519976,10.965713,0.309435,14.651130,35.754077,2.927828,13.901331,5,20
"1359",54.277027,160.357891,54.029056,42.477073,0.000000,3.245900,0.247971,94.826818,3.286711,71.364157,66.240263,12.782390,21.231098,-nan,0.000000,16.122411,5.748057,54.029056,18.898084,7.344968,10.994844,0.344909,54.029056,19.940650,3.510731,19.025691,8,18
"1360",51.556314,205.056729,51.360981,45.488207,0.000000,2.955479,0.195333,50.942968,54.073564,30.367226,20.401877,-nan,0.000000,-nan,0.000000,78.747733,22.373746,51.360981,29.975580,2.306297,6.455873,3.489238,51.360981,19.135673,2.806109,23.546425,9,19
"1361",73.786544,166.983785,73.207727,19.416970,0.000000,6.796486,0.578817,71.936101,51.115453,-nan,0.000000,88.252382,38.310747,-nan,0.000000,82.135985,3.198497,73.207727,8.419459,3.241943,2.239225,0.000000,73.207727,10.001803,1.359691,8.055475,5,15
"1362",53.819847,190.145306,53.540504,41.554833,0.000000,4.625321,0.279342,60.725635,81.491487,-nan,0.000000,12.797946,10.686944,92.103461,2.916906,-nan,0.000000,53.540504,11.175924,10.429169,5.784180,0.000000,53.540504,22.541764,10.158992,8.854076,8,16
"1364",71.046321,328.919586,70.931605,28.480695,0.000000,0.472984,0.114716,80.899696,72.607606,-nan,0.000000,25.418207,16.020602,67.520238,5.770103,84.247008,5.013988,70.931605,13.929862,2.141499,4.562209,0.779465,70.931605,16.125967,2.850580,9.504148,14,26
"1366",60.509568,243.382770,59.966951,36.747312,0.000000,2.743120,0.542616,63.320189,92.027330,-nan,0.000000,-nan,0.000000,36.165902,4.686933,-nan,0.000000,59.966951,2.491710,30.969806,0.445548,0.016258,59.966951,2.527644,30.973458,3.246211,4,8
"1367",3.368696,230.910828,0.000000,82.980550,0.000000,13.650753,3.368696,0.000000,9.218303,0.000000,5.372498,0.000000,33.252654,0.000000,18.076060,0.000000,17.061035,0.000000,0.623460,1.026832,24.846013,39.565598,0.000000,0.016076,22.562422,60.402053,8,23
"1368",50.094433,236.936121,49.800162,46.263797,0.000000,3.641770,0.294271,-nan,0.000000,73.858523,16.900260,0.000000,0.282782,0.000000,0.848747,47.823711,78.032171,49.800162,12.202184,3.082117,12.742288,1.170793,49.800162,7.854599,2.599883,35.809316,9,22
"1369",50.057879,127.841769,49.737755,45.746458,0.000000,4.195663,0.320124,55.209591,75.350517,-nan,0.000000,-nan,0.000000,40.415046,20.133697,-nan,0.000000,49.737755,33.478097,2.230053,1.211071,0.000000,49.737755,40.323242,2.042835,3.380382,6,14
"1370",66.929884,193.112375,66.754819,32.704098,0.023332,0.342686,0.175065,78.986228,51.994516,-nan,0.000000,38.656728,31.099729,83.379128,16.388003,-nan,0.000000,66.754819,21.261376,3.946732,2.597236,0.851222,66.754819,17.243821,1.796984,13.663293,9,21
"1371",2.445902,178.594806,0.000000,93.443917,0.000000,4.110181,2.445902,0.000000,69.918325,-nan,0.000000,0.000000,21.630933,-nan,0.000000,0.000000,1.894659,0.000000,0.000000,1.898252,67.649586,21.980609,0.000000,0.849349,66.588021,26.006547,6,10
"1372",62.748261,202.588374,62.557711,32.243001,0.000000,5.008738,0.190550,72.559697,80.125258,-nan,0.000000,2.278665,7.781808,81.975595,5.174400,0.000000,1.719246,62.557711,5.361354,9.013731,7.312871,0.228105,62.557711,11.231546,10.733542,10.277914,6,16
"1373",40.974179,153.250021,40.169246,49.449138,0.000000,9.576683,0.804933,35.264672,61.368753,0.000000,1.211552,53.299073,1.213883,0.000000,2.431053,76.435937,23.393143,40.169246,13.570006,10.497702,7.094712,0.725694,40.169246,17.557338,4.516666,27.375134,8,22
"1376",70.794863,231.209796,70.620369,24.207198,0.000000,4.997939,0.174494,89.796452,74.787350,-nan,0.000000,17.285151,20.040217,-nan,0.000000,-nan,0.000000,70.620369,15.738460,1.834195,2.296050,0.000000,70.620369,19.179964,2.396074,2.631160,5,13
"1377",26.955273,141.440612,26.506457,72.305476,0.000000,0.739251,0.448815,25.275491,87.353970,-nan,0.000000,38.639612,11.457964,-nan,0.000000,-nan,0.000000,26.506457,60.144097,3.484307,5.262389,0.000000,26.506457,62.288611,1.315341,8.701524,3,9
"1378",45.748166,126.380408,44.962718,36.199059,0.000000,18.052774,0.785449,-nan,0.000000,-nan,0.000000,0.000000,8.307430,-nan,0.000000,61.715902,72.854347,44.962718,26.125695,4.434375,2.971409,1.330007,44.962718,25.019381,3.225525,7.954153,4,14
"1380",88.487426,245.420408,88.001352,10.601857,0.000000,0.910717,0.486074,90.252098,96.919097,-nan,0.000000,-nan,0.000000,31.460674,1.684111,-nan,0.000000,88.001352,2.516705,3.394240,2.079593,0.000000,88.001352,3.699367,5.303530,1.598959,5,12
"1382",59.091097,221.648980,57.921713,39.863543,0.000000,1.045360,1.169384,62.567018,89.056167,-nan,0.000000,-nan,0.000000,-nan,0.000000,25.225141,8.729089,57.921713,7.763128,6.906037,2.353819,0.526672,57.921713,27.615318,4.959209,7.289017,4,19
"1383",40.885859,216.560839,40.176858,58.220406,0.000000,0.893735,0.709001,39.333642,94.782447,94.152558,0.898021,28.171494,0.898021,-nan,0.000000,98.801375,1.818774,40.176858,8.875184,30.424263,8.604374,0.495105,40.176858,11.327005,23.692615,23.200786,7,17
"1384",59.575224,175.438367,59.343605,33.011971,0.000000,7.412805,0.231619,66.141956,72.729060,-nan,0.000000,-nan,0.000000,82.837021,13.567824,0.000000,6.058691,59.343605,24.131797,4.026489,3.503676,0.000000,59.343605,15.919565,5.446300,11.646106,5,14
"1385",81.014446,164.529402,80.442872,17.637850,0.070565,1.277139,0.571575,86.704163,68.609877,-nan,0.000000,70.935181,29.541409,-nan,0.000000,-nan,0.000000,80.442872,11.073370,1.926232,3.646999,0.539634,80.442872,8.778575,1.920550,6.938724,7,13
"1386",67.528995,196.675918,67.244170,30.490002,0.000000,1.981003,0.284825,82.092233,51.625705,-nan,0.000000,-nan,0.000000,53.923884,46.108467,-nan,0.000000,67.244170,15.872319,2.143431,7.549336,0.202435,67.244170,11.996942,0.803335,17.689725,7,19
