MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",93.029094,172.863864,88.840828,6.560345,0.000000,0.409616,4.189211,95.979597,92.562201,-nan,0.000000,0.000000,2.838971,-nan,0.000000,-nan,0.000000,88.840828,2.422605,3.924150,0.213589,0.000000,88.840828,2.422605,3.040693,1.097046,4,4
"1302",2.889249,152.328747,0.000000,96.119831,0.957694,0.000000,2.922474,-nan,0.000000,-nan,0.000000,0.000000,53.418009,-nan,0.000000,0.000000,43.659517,0.000000,77.012597,9.663303,7.032091,2.411840,0.000000,82.180169,0.000000,13.939662,6,9
"1305",3.512397,280.118277,3.345339,95.724101,0.763502,0.000000,0.167058,79.253030,4.221087,-nan,0.000000,0.000000,92.088918,-nan,0.000000,0.000000,3.522937,3.345339,79.793657,0.915689,14.657341,0.357415,3.345339,79.775226,0.700822,15.248054,3,9
"1306",82.920583,144.247435,81.753716,14.407641,2.671776,0.000000,1.166866,82.214309,96.028979,-nan,0.000000,-nan,0.000000,100.000000,2.804154,-nan,0.000000,81.753716,0.814030,5.939659,7.653952,0.000000,81.753716,0.000000,13.551419,0.856223,9,11
"1309",2.937330,211.202647,0.000000,94.164287,1.849542,1.030675,2.955496,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,96.013829,0.000000,73.293396,11.564947,7.710163,1.595781,0.000000,69.579045,0.000000,24.585242,3,8
"1310",37.783918,113.025541,33.914360,54.725382,6.977373,0.464837,3.918049,53.731928,51.256845,-nan,0.000000,0.000000,24.056760,55.519490,11.478976,0.000000,8.824533,33.914360,38.805929,5.330848,10.588606,0.000000,33.914360,23.455146,4.458740,26.811495,10,8
"1311",41.461594,323.683265,40.792362,58.519099,0.017633,0.001674,0.669232,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.688328,49.936586,0.000000,49.392508,40.792362,50.469952,6.244914,1.804233,0.000000,40.792362,50.833091,5.132716,2.553292,3,10
"1312",54.388438,147.644082,41.870592,41.400264,0.019060,4.162382,12.547703,58.682713,71.350811,-nan,0.000000,0.000000,7.418188,-nan,0.000000,0.000000,4.520916,41.870592,22.169456,11.611827,7.618980,0.000000,41.870592,10.924086,17.819370,12.656807,7,6
"1313",71.985336,167.444898,67.966061,9.698648,3.499617,14.789586,4.046088,82.761313,57.710728,-nan,0.000000,-nan,0.000000,86.144160,23.453598,-nan,0.000000,67.966061,1.247147,0.794291,7.657210,0.000000,67.966061,0.702692,6.194375,2.801581,4,6
"1318",55.154185,189.092744,53.915222,35.402423,1.030916,8.412475,1.238963,79.307899,67.982159,-nan,0.000000,0.000000,14.028995,-nan,0.000000,0.000000,8.337407,53.915222,20.591368,6.271765,8.539291,0.000000,53.915222,17.841039,11.420293,6.141091,7,11
"1319",1.601730,64.550385,0.000000,98.398270,0.000000,0.000000,1.601730,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,98.398270,0.000000,89.944864,0.745028,7.708378,0.000000,0.000000,87.974756,0.000000,10.423514,3,5
"1321",9.830120,136.437412,7.307322,88.357656,0.000000,1.812224,2.522798,100.000000,7.307322,0.000000,53.609508,0.000000,7.206722,-nan,0.000000,0.000000,27.541426,7.307322,76.261720,4.667322,5.573789,1.854825,7.307322,71.735252,0.000000,16.622404,10,9
"1322",9.245202,190.856372,7.686408,90.436707,0.318091,0.000000,1.558793,-nan,0.000000,-nan,0.000000,-nan,0.000000,7.808121,98.441207,-nan,0.000000,7.686408,49.951178,35.150710,5.334819,0.000000,7.686408,36.848164,4.076364,49.512179,2,14
"1324",87.454070,237.533605,85.575935,12.064741,0.386808,0.080234,1.892283,96.178911,88.746991,-nan,0.000000,-nan,0.000000,2.371045,9.280491,-nan,0.000000,85.575935,6.483931,1.692461,3.888349,0.000000,85.575935,1.923938,1.547766,8.593036,5,9
"1327",3.942106,171.937959,0.000000,90.832680,3.291875,1.933339,3.942106,-nan,0.000000,-nan,0.000000,0.000000,34.724893,-nan,0.000000,0.000000,59.399662,0.000000,57.147060,19.355621,10.006747,4.323252,0.000000,71.840067,0.000000,18.992612,5,9
"1329",51.258485,216.737959,49.980444,45.320991,0.000000,3.403009,1.295555,72.544275,68.896470,-nan,0.000000,0.000000,26.404966,-nan,0.000000,-nan,0.000000,49.980444,30.149266,6.965164,8.206562,0.000000,49.980444,30.573742,13.379385,1.367864,7,6
"1330",86.708319,198.542154,83.410722,11.849000,0.479938,0.941511,3.318829,87.159786,77.060028,-nan,0.000000,-nan,0.000000,86.968341,18.679632,-nan,0.000000,83.410722,5.213521,5.521737,1.113742,0.000000,83.410722,1.314582,5.896036,4.638382,4,7
"1331",2.100371,128.040249,0.000000,92.814565,5.053630,0.000000,2.131806,-nan,0.000000,-nan,0.000000,0.000000,97.868194,-nan,0.000000,-nan,0.000000,0.000000,88.473258,0.000000,4.324836,0.016470,0.000000,88.473258,0.000000,4.341306,4,5
