MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",83.967256,172.863864,79.410367,14.242153,1.748651,0.040995,4.557833,84.478910,92.562201,-nan,0.000000,42.791159,2.838971,-nan,0.000000,-nan,0.000000,79.410367,10.248302,3.591148,0.402703,0.000000,79.410367,10.248302,3.505585,0.488266,4,8
"1302",30.125036,152.328747,27.202562,65.739931,4.135033,0.000000,2.922474,-nan,0.000000,-nan,0.000000,35.807815,53.418009,-nan,0.000000,18.494799,43.659517,27.202562,44.785851,11.468972,8.236388,1.128173,27.202562,54.541744,1.298332,9.899856,6,17
"1305",9.963523,280.118277,9.796465,88.209139,1.827338,0.000000,0.167058,59.554023,4.221087,-nan,0.000000,5.776137,92.088918,-nan,0.000000,55.733509,3.522937,9.796465,73.493224,2.086275,12.154418,0.475222,9.796465,74.351406,0.428451,13.429282,3,16
"1306",67.589714,144.247435,66.422848,25.814697,6.595589,0.000000,1.166866,66.570671,96.028979,-nan,0.000000,-nan,0.000000,89.000510,2.804154,-nan,0.000000,66.422848,8.719636,9.998700,7.096361,0.000000,66.422848,8.149675,14.811911,2.853110,9,22
"1309",56.859607,211.202647,52.873437,34.277119,8.863274,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.068564,96.013829,52.873437,13.675306,13.467316,5.462666,1.671831,52.873437,17.683608,4.842419,11.751092,3,15
"1310",49.524752,113.025541,45.141867,40.972237,9.503011,0.000000,4.382885,54.388288,51.256845,-nan,0.000000,53.410937,24.056760,36.921888,11.478976,2.005218,8.824533,45.141867,23.553233,9.189631,5.765469,0.000000,45.141867,22.690083,6.403162,11.878992,10,20
"1311",35.904798,323.683265,35.233892,63.442819,0.652383,0.000000,0.670906,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.552195,49.936586,55.610978,49.392508,35.233892,45.933807,16.520391,0.988621,0.000000,35.233892,56.499691,1.409401,5.533726,3,12
"1312",63.765139,147.644082,51.474812,31.680902,0.134202,4.419757,12.290327,66.742867,71.350811,-nan,0.000000,51.943066,7.418188,-nan,0.000000,0.000000,4.520916,51.474812,9.835567,16.986775,4.858561,0.000000,51.474812,9.175254,20.919971,1.585677,7,13
"1313",69.631490,167.444898,64.666979,10.506075,5.991271,13.871164,4.964511,80.917855,57.710728,-nan,0.000000,-nan,0.000000,76.613814,23.453598,-nan,0.000000,64.666979,1.523137,0.588680,8.334537,0.059721,64.666979,0.966738,7.154098,2.385240,4,12
"1318",46.810251,189.092744,45.989073,43.921439,0.438051,8.830260,0.821179,64.497833,67.982159,-nan,0.000000,1.364636,14.028995,-nan,0.000000,23.395858,8.337407,45.989073,18.593123,15.895351,9.432965,0.000000,45.989073,21.775543,16.294370,5.851526,7,23
"1319",64.312160,64.550385,62.710430,35.687840,0.000000,0.000000,1.601730,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.731232,98.398270,62.710430,21.086579,9.170186,5.431074,0.000000,62.710430,20.421632,2.306992,12.959216,3,16
"1321",50.666738,136.437412,47.748153,47.695487,0.221337,1.416439,2.918584,3.611089,7.307322,54.693839,53.609508,15.255275,7.206722,-nan,0.000000,61.956765,27.541426,47.748153,33.097036,7.383725,7.141431,0.073294,47.748153,34.549795,2.397960,10.747732,10,23
"1322",6.693545,190.856372,5.134751,90.960661,2.345794,0.000000,1.558793,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.216059,98.441207,-nan,0.000000,5.134751,61.288212,14.891526,8.796131,5.984793,5.134751,57.635122,0.052395,33.273143,2,18
"1324",86.816565,237.533605,84.883701,11.245610,1.898173,0.025505,1.947012,95.336366,88.746991,-nan,0.000000,-nan,0.000000,2.969067,9.280491,-nan,0.000000,84.883701,5.543024,1.742274,3.960311,0.000000,84.883701,1.736368,1.762309,7.746933,5,14
"1327",28.703001,171.937959,23.312307,65.537492,5.274756,0.484750,5.390695,-nan,0.000000,-nan,0.000000,22.079632,34.724893,-nan,0.000000,26.338834,59.399662,23.312307,13.163587,24.298487,19.677720,7.641612,23.312307,19.454491,13.792439,32.290562,5,25
"1329",64.686012,216.737959,60.004961,33.841082,1.455392,0.000000,4.698564,80.129709,68.896470,-nan,0.000000,18.172419,26.404966,-nan,0.000000,-nan,0.000000,60.004961,20.579586,6.535807,6.725689,0.000000,60.004961,20.902557,11.655304,1.283222,7,10
