MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",83.022037,172.863864,78.465149,15.187372,1.748651,0.040995,4.557833,-nan,0.000000,0.000000,0.658188,0.000000,1.633335,85.576315,90.270678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.316959,-nan,0.000000,-nan,0.000000,48.169030,2.522012,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.410367,10.248302,3.591148,0.402703,0.000000,78.465149,11.193521,3.094496,0.899355,7,9
"1302",30.125036,152.328747,27.202562,65.739931,4.135033,0.000000,2.922474,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.432032,-nan,0.000000,-nan,0.000000,36.099781,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.494799,43.659517,27.202562,44.785851,11.468972,8.236388,1.128173,27.202562,54.541744,1.298332,9.899856,7,17
"1305",9.963523,280.118277,9.796465,88.209139,1.827338,0.000000,0.167058,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.554023,4.221087,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.776137,92.088918,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.733509,3.522937,9.796465,73.493224,2.086275,12.154418,0.475222,9.796465,74.351406,0.428451,13.429282,3,16
"1306",67.447722,144.247435,66.280856,25.956689,6.595589,0.000000,1.166866,-nan,0.000000,0.000000,0.413980,-nan,0.000000,66.710395,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.000510,2.804154,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.422848,8.719636,9.998700,7.096361,0.000000,66.280856,8.291667,14.609249,3.055773,10,22
"1309",56.859607,211.202647,52.873437,34.277119,8.863274,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.068564,96.013829,52.873437,13.675306,13.467316,5.462666,1.671831,52.873437,17.683608,4.842419,11.751092,3,15
"1310",48.837628,113.025541,44.454743,41.659361,9.503011,0.000000,4.382885,-nan,0.000000,0.000000,0.882716,0.000000,0.882716,55.610191,49.491413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.562456,-nan,0.000000,61.076813,20.494304,-nan,0.000000,-nan,0.000000,0.000000,0.879552,39.985707,10.599424,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,2.005218,8.824533,45.141867,23.553233,9.189631,5.765469,0.000000,44.454743,23.377207,4.534894,13.747260,13,22
"1311",35.904798,323.683265,35.233892,63.442819,0.652383,0.000000,0.670906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.552195,49.936586,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.610978,49.392508,35.233892,45.933807,16.520391,0.988621,0.000000,35.233892,56.499691,1.409401,5.533726,3,15
"1312",63.494217,147.644082,51.203890,31.951824,0.134202,4.419757,12.290327,-nan,0.000000,40.793399,4.476663,-nan,0.000000,68.074845,66.874149,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.943066,7.418188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.520916,51.474812,9.835567,16.986775,4.858561,0.000000,51.203890,9.446175,18.472683,4.032966,8,15
"1313",69.631490,167.444898,64.666979,10.506075,5.991271,13.871164,4.964511,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.917855,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.613814,23.453598,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.666979,1.523137,0.588680,8.334537,0.059721,64.666979,0.966738,7.154098,2.385240,4,12
"1318",46.455124,189.092744,45.633946,44.276565,0.438051,8.830260,0.821179,-nan,0.000000,0.000000,1.316442,-nan,0.000000,65.238768,66.665718,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,1.364636,14.028995,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.395858,8.337407,45.989073,18.593123,15.895351,9.432965,0.000000,45.633946,22.130670,15.333055,6.812841,9,23
