Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1301",174.001633,49,48,0.955382,0.960034,0.955382,0.964731
"1302",158.850612,68,67,0.877857,0.880328,0.882812,0.877857
"1305",289.986667,20,97,0.348911,0.515263,0.984788,0.348911
"1306",154.697143,66,68,0.879813,0.881478,0.879813,0.883149
"1309",258.638367,186,217,0.818789,0.851280,0.886455,0.818789
"1310",132.054807,97,74,0.743153,0.791989,0.743153,0.847695
"1311",323.683265,11,32,0.768749,0.835869,0.915831,0.768749
"1312",147.644082,102,57,0.658726,0.762350,0.658726,0.904662
"1313",167.444898,58,59,0.862040,0.874793,0.862040,0.887928
"1318",228.988390,149,148,0.817791,0.832447,0.817791,0.847638
"1319",223.869388,126,100,0.777062,0.828880,0.777062,0.888103
"1321",168.751020,88,77,0.801773,0.845109,0.801773,0.893397
"1322",208.796735,90,125,0.702127,0.752877,0.811535,0.702127
"1324",237.533605,85,45,0.887692,0.896098,0.887692,0.904665
"1327",171.937959,34,103,0.404102,0.565122,0.939462,0.404102
"1329",216.737959,88,44,0.737928,0.814765,0.737928,0.909464
"1330",198.542154,53,61,0.873637,0.888317,0.903499,0.873637
"1331",128.040249,41,44,0.929141,0.936948,0.944887,0.929141
"1332",256.600816,74,78,0.756274,0.835015,0.932059,0.756274
"1333",142.106122,50,45,0.800477,0.861096,0.800477,0.931648
"1334",260.702041,71,92,0.683622,0.776316,0.898092,0.683622
"1335",224.574694,173,115,0.722121,0.817272,0.722121,0.941304
"1336",182.987755,103,95,0.884977,0.912085,0.884977,0.940906
"1337",186.174694,108,114,0.867731,0.874050,0.880462,0.867731
"1339",243.304626,118,125,0.949137,0.957202,0.965406,0.949137
"1340",261.520136,168,186,0.903232,0.915582,0.928275,0.903232
"1342",188.081633,75,86,0.881981,0.897372,0.913310,0.881981
"1344",177.449796,74,80,0.897774,0.898023,0.898273,0.897774
"1345",150.204082,74,49,0.729713,0.812128,0.729713,0.915530
"1346",261.982041,128,118,0.883476,0.891636,0.883476,0.899948
"1347",121.736372,77,59,0.863641,0.906892,0.863641,0.954703
"1350",240.039184,117,90,0.850065,0.897615,0.850065,0.950800
