Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1301",174.001633,49,49,0.944313,0.945030,0.944313,0.945747
"1302",158.850612,68,55,0.891661,0.922301,0.891661,0.955122
"1305",289.986667,20,102,0.263443,0.415746,0.985470,0.263443
"1306",154.697143,66,56,0.800577,0.861900,0.800577,0.933397
"1309",258.638367,186,210,0.829710,0.854295,0.880381,0.829710
"1310",132.054807,97,62,0.713408,0.809954,0.713408,0.936721
"1311",323.683265,11,32,0.742909,0.821934,0.919773,0.742909
"1312",147.644082,102,77,0.732891,0.787928,0.732891,0.851901
"1313",167.444898,58,46,0.805411,0.859624,0.805411,0.921663
"1318",228.988390,149,122,0.757398,0.832004,0.757398,0.922913
"1319",223.869388,126,96,0.740516,0.790739,0.740516,0.848271
"1321",168.751020,88,74,0.836833,0.882222,0.836833,0.932818
"1322",208.796735,90,79,0.718412,0.765321,0.718412,0.818784
"1324",237.533605,85,56,0.902666,0.936577,0.902666,0.973136
"1327",171.937959,34,36,0.672136,0.758847,0.871246,0.672136
"1329",216.737959,88,42,0.738979,0.830604,0.738979,0.948167
"1330",198.542154,53,68,0.850797,0.885296,0.922711,0.850797
"1331",128.040249,41,45,0.939707,0.945010,0.950373,0.939707
"1332",256.600816,74,81,0.830716,0.878628,0.932404,0.830716
"1333",142.106122,50,48,0.930394,0.936070,0.930394,0.941816
"1334",260.702041,71,85,0.826458,0.868579,0.915223,0.826458
"1335",224.574694,173,137,0.755570,0.836055,0.755570,0.935732
"1336",182.987755,103,97,0.866920,0.883844,0.866920,0.901443
"1337",186.174694,108,102,0.809747,0.841378,0.809747,0.875580
"1339",243.304626,118,120,0.936646,0.943296,0.936646,0.950041
"1340",261.520136,168,166,0.884936,0.903083,0.884936,0.921991
"1342",188.081633,75,70,0.871467,0.884821,0.871467,0.898590
"1344",177.449796,74,84,0.884527,0.904576,0.925555,0.884527
"1345",150.204082,74,50,0.756312,0.836773,0.756312,0.936391
"1346",261.982041,128,115,0.878062,0.892115,0.878062,0.906624
"1347",121.736372,77,59,0.858509,0.902143,0.858509,0.950450
"1350",240.039184,117,85,0.819468,0.880157,0.819468,0.950555
"1353",163.160816,74,61,0.831241,0.894836,0.831241,0.968968
"1354",200.635578,130,115,0.873233,0.902449,0.873233,0.933687
"1355",241.136327,105,103,0.901763,0.902739,0.901763,0.903717
"1357",147.382857,103,55,0.704509,0.802032,0.704509,0.930892
"1358",154.321610,165,37,0.502900,0.650322,0.502900,0.920022
"1359",166.373878,55,54,0.918877,0.924698,0.918877,0.930592
"1360",209.240816,132,135,0.882616,0.892368,0.902337,0.882616
"1361",179.435102,65,65,0.912234,0.912470,0.912234,0.912707
"1362",190.145306,132,123,0.868986,0.887878,0.868986,0.907611
"1364",342.360816,123,105,0.846295,0.898204,0.846295,0.956897
"1366",255.764898,202,71,0.413253,0.578440,0.413253,0.963623
