MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",97.452988,218.800000,97.368088,2.419663,0.000000,0.127349,0.084899,98.399211,73.256714,95.299930,26.531037,97.368088,1.422082,0.631436,0.366146,97.368088,0.000000,0.785323,1.634340,5,5
"25",70.111451,251.400010,63.730167,28.918737,0.646538,0.323274,6.381284,73.103733,46.393725,63.568296,46.901717,63.730167,0.295559,26.277164,2.346014,63.730167,0.000000,28.290674,0.628062,7,6
"37",54.194897,164.600000,49.638366,45.706358,0.098745,0.000000,4.556531,52.008133,95.443469,-nan,0.000000,49.638366,33.299331,12.223637,0.183389,49.638366,28.277277,12.357650,5.071430,3,4
"43",83.786831,204.800000,83.344655,14.693893,1.439909,0.079366,0.442177,84.165829,82.165537,81.958152,17.312920,83.344655,3.911558,1.524956,9.257379,83.344655,0.107712,9.127007,5.459174,14,12
"74",58.120519,180.800000,54.896952,39.877191,1.148235,0.854055,3.223567,63.524455,86.418612,0.000000,9.503767,54.896952,2.003495,5.162843,32.710853,54.896952,0.122009,30.354162,9.401019,6,5
"78",58.279128,257.284000,54.087002,37.323004,4.397868,0.000000,4.192126,59.219252,58.696946,52.079295,37.110928,54.087002,9.340907,11.624228,16.357868,54.087002,0.000000,10.613428,26.709576,4,5
"92",78.360133,243.000000,77.672133,19.431233,2.208634,0.000000,0.688000,94.261172,26.225185,72.450777,73.086815,77.672133,5.953103,9.655896,3.822235,77.672133,0.000000,9.603345,9.827888,5,7
"99",80.476552,276.600000,76.060899,13.642903,0.512081,5.368464,4.415654,81.153879,48.018134,87.901185,42.197748,76.060899,4.744462,3.937143,4.961298,76.060899,2.266592,7.878480,3.497831,8,8
"114",67.554560,245.400010,66.135248,27.837436,1.121224,3.486779,1.419313,69.547302,95.093908,-nan,0.000000,66.135248,0.000000,19.018793,8.818643,66.135248,0.000000,27.837436,-0.000000,5,7
"147",87.771802,116.600000,87.473089,10.574463,1.584034,0.069700,0.298713,93.129636,93.926158,0.000000,5.705429,87.473089,3.236063,7.189047,0.149352,87.473089,0.000000,3.355555,7.218908,8,5
"159",61.857048,154.000000,61.841970,16.110730,2.762670,19.269552,0.015078,76.617340,80.715370,-nan,0.000000,61.841970,1.651030,12.047231,2.412469,61.841970,1.651030,13.351475,1.108224,4,5
"170",91.547080,273.874590,91.538601,8.198570,0.000000,0.254350,0.008478,95.475483,22.580240,90.698278,77.156932,91.538601,6.511364,1.216651,0.470556,91.538601,4.756335,1.157303,2.284933,6,8
"209",89.891162,256.000000,89.546491,4.403617,1.333333,4.371887,0.344671,93.979069,95.283441,-nan,0.000000,89.546491,0.000000,3.614495,0.789122,89.546491,0.000000,4.403617,0.000000,4,4
"236",56.504087,509.137790,54.520207,42.765134,0.726219,0.004561,1.983880,90.862085,37.481635,33.807430,60.529925,54.520207,30.011315,11.625070,1.128749,54.520207,11.267068,1.457108,30.040958,9,8
"322",92.757587,133.000000,92.198911,4.443237,2.738070,0.061106,0.558676,92.773907,99.380218,-nan,0.000000,92.198911,0.000000,4.198806,0.244431,92.198911,0.000000,4.443237,0.000000,4,4
"329",97.898752,251.400010,95.350514,1.782598,0.286323,0.032327,2.548238,-nan,0.000000,97.876275,97.419435,95.350514,0.000000,1.440856,0.341742,95.350514,0.000000,1.440856,0.341742,2,3
"332",75.894849,266.797000,75.894849,21.108491,0.000000,0.864369,2.132291,96.856489,75.211865,13.983803,21.791474,75.894849,13.249791,2.155254,5.703445,75.894849,0.000000,3.042657,18.065834,6,4
"377",86.715705,155.628480,79.554047,3.909101,4.585838,4.789356,7.161657,89.976524,84.229429,98.632753,3.819558,79.554047,0.000000,3.670379,0.238722,79.554047,0.000000,3.804663,0.104438,6,6
"382",78.819950,261.232010,77.548875,17.386166,0.789526,3.004359,1.271075,85.785149,76.245139,62.331753,19.479428,77.548875,7.102014,8.764191,1.519960,77.548875,2.137719,9.217514,6.030932,10,12
"414",92.769595,185.621420,91.881435,7.180366,0.000000,0.050039,0.888161,92.437442,94.201935,98.841754,4.859865,91.881435,0.106329,5.891903,1.182134,91.881435,0.000000,6.998985,0.181381,9,9
"430",78.586414,286.000000,76.747551,19.972485,0.840300,0.600802,1.838863,78.165394,95.282997,99.643558,2.277339,76.747551,0.925548,17.082125,1.964812,76.747551,0.373466,16.785830,2.813189,6,8
"444",89.176886,158.584950,88.488713,9.341579,0.998348,0.483187,0.688172,89.537520,98.828640,-nan,0.000000,88.488713,3.777627,3.140708,2.423243,88.488713,3.748339,5.549308,0.043932,6,8
"481",84.270011,223.988290,83.751681,15.036763,0.682859,0.010368,0.518330,87.463601,62.308391,78.719662,37.162912,83.751681,3.830464,7.857889,3.348410,83.751681,0.352464,7.723116,6.961183,12,13
"503",75.938999,271.800020,70.518448,17.837832,1.635991,4.587178,5.420551,81.649703,70.065653,66.795332,19.926617,70.518448,8.021893,1.947814,7.868125,70.518448,1.729960,6.945491,9.162382,4,5
"517",93.827967,189.131680,93.287773,4.843365,0.000000,1.328668,0.540194,92.476662,59.237183,99.005625,38.893955,93.287773,4.106700,0.405153,0.331512,93.287773,3.928682,0.313104,0.601579,5,7
"591",80.130804,222.200000,79.158952,18.073303,1.174117,0.621775,0.971852,78.599815,89.696278,99.400104,8.710095,79.158952,0.517281,16.458772,1.097250,79.158952,0.000000,17.493323,0.579980,5,6
"709",57.398553,311.717470,56.016760,41.874783,0.152709,0.573955,1.381793,59.554657,64.903475,52.393818,33.140776,56.016760,14.190433,7.322393,20.361957,56.016760,5.966692,6.231125,29.676966,11,14
"723",80.531855,185.628480,77.742385,13.853536,5.570828,0.043781,2.789470,79.746755,56.719443,80.377341,40.447306,77.742385,7.705435,6.116828,0.031274,77.742385,0.000000,6.116828,7.736709,7,7
"736",55.039425,570.000000,54.843888,39.648501,5.202085,0.109990,0.195536,64.888411,71.565740,29.884094,28.128733,54.843888,8.754329,17.962268,12.931903,54.843888,0.158872,19.005128,20.484500,12,17
"765",56.090356,130.857250,55.646744,36.810942,1.695500,5.403202,0.443612,96.792873,52.036635,12.534240,42.116551,55.646744,35.923707,0.532332,0.354902,55.646744,0.000000,0.638792,36.172150,5,4
"769",93.962761,275.000000,91.233266,5.074662,0.962577,0.000000,2.729495,92.651751,62.854298,95.878254,34.416207,91.233266,2.457107,2.144715,0.472840,91.233266,0.000000,2.313575,2.761087,6,6
"770",79.367533,213.000000,79.084097,15.343718,4.950805,0.337944,0.283436,75.369853,58.578582,85.621258,40.800038,79.084097,8.464926,4.529546,2.349246,79.084097,0.000000,5.963079,9.380639,8,8
"783",82.508482,185.768700,79.758616,15.499223,0.000000,1.974913,2.767248,83.337841,92.945448,99.459202,2.312392,79.758616,2.412384,9.618261,3.468579,79.758616,0.000000,13.074334,2.424889,4,4
"812",71.320149,216.815610,71.234472,27.994439,0.000000,0.685412,0.085676,70.541108,28.101819,72.280668,71.127093,71.234472,3.266083,16.546243,8.182114,71.234472,0.000000,12.026818,15.967622,3,7
"849",85.062090,174.200000,82.889385,6.471450,1.548459,6.918001,2.172705,91.700362,87.876843,76.044172,3.032451,82.889385,0.706457,4.638631,1.126362,82.889385,0.706457,5.651697,0.113296,5,5
"886",89.913446,228.665570,89.598655,9.464032,0.556517,0.066005,0.314791,91.342050,97.324271,30.531208,2.294932,89.598655,2.584337,5.234661,1.645034,89.598655,0.066007,6.245049,3.152976,6,9
"905",94.839364,170.528620,93.899828,5.099360,0.000000,0.061276,0.939535,98.145435,92.143295,50.546158,6.855893,93.899828,3.397308,1.627159,0.074893,93.899828,0.000000,1.702052,3.397308,6,4
"958",93.496338,290.000000,92.783725,6.305431,0.002064,0.196167,0.712612,90.507697,2.446090,93.713801,96.645131,92.783725,0.792675,3.583090,1.929666,92.783725,0.000000,4.003459,2.301972,6,7
"969",71.743957,150.918120,71.467013,28.186806,0.000000,0.069237,0.276944,83.338012,81.906295,18.075399,17.747524,71.467013,9.146844,4.177274,14.862688,71.467013,7.554419,10.070017,10.562369,9,9
"978",74.298596,654.483830,74.263118,24.843689,0.839976,0.017739,0.035478,66.441664,44.955496,80.729041,54.991287,74.263118,9.784916,9.025687,6.033086,74.263118,2.096790,10.700240,12.046659,8,9
"987",72.508240,161.000000,72.248638,23.868993,3.586710,0.036056,0.259602,72.462881,99.704342,-nan,0.000000,72.248638,0.000000,23.393054,0.475939,72.248638,0.000000,23.868993,-0.000000,6,6
"995",64.047672,228.600000,63.773421,35.916776,0.000000,0.035552,0.274251,63.131449,97.308281,98.294541,2.381916,63.773421,0.040623,34.799471,1.076682,63.773421,0.000000,35.312413,0.604363,6,6
"1012",79.548414,234.641360,78.687468,20.387261,0.000000,0.064325,0.860946,84.725634,67.638698,68.011616,31.436031,78.687468,9.862905,8.045430,2.478926,78.687468,0.376046,8.693592,11.317623,8,9
"1114",79.504453,170.547550,78.061269,19.739919,0.000000,0.755628,1.443184,92.084038,79.375119,26.969694,18.426069,78.061269,11.756504,1.087438,6.895977,78.061269,0.054459,6.187994,13.497466,8,7
"1212",97.397520,191.200000,94.215706,1.967369,0.610822,0.024290,3.181814,98.954710,55.766757,95.136716,41.027139,94.215706,0.000000,0.922969,1.044400,94.215706,0.000000,0.922969,1.044400,2,4
"1218",86.719040,186.000000,86.363250,7.977179,5.303781,0.000000,0.355790,87.662706,88.271419,78.979165,11.372790,86.363250,2.022386,3.458029,2.496764,86.363250,0.000000,5.080929,2.896249,12,12
