MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",91.392971,218.800000,91.210155,6.155293,2.422303,0.029433,0.182815,91.091806,73.256714,92.266620,26.531037,91.210155,1.244022,3.642331,1.268940,91.210155,0.307345,4.105411,1.742537,5,9
"25",62.370447,251.400010,55.711116,34.299342,3.284984,0.045227,6.659331,60.875014,46.393725,58.567001,46.901717,55.711116,1.831607,28.417012,4.050724,55.711116,1.227192,31.018161,2.053990,7,12
"37",52.032023,164.600000,47.475492,46.388420,1.579557,0.000000,4.556531,49.742002,95.443469,-nan,0.000000,47.475492,30.376671,10.371804,5.639945,47.475492,28.128493,14.796683,3.463244,3,9
"43",82.432759,204.800000,81.911216,15.403237,2.164004,0.000000,0.521543,83.379399,82.165537,77.410887,17.312920,81.911216,4.855986,3.177974,7.369277,81.911216,2.922134,7.137036,5.344067,14,17
"74",51.588180,180.800000,47.510559,42.257140,6.154679,0.000000,4.077622,54.977230,86.418612,0.000000,9.503767,47.510559,0.715597,3.548673,37.716322,47.510559,0.612550,31.321244,10.323346,6,11
"78",34.317319,257.284000,30.125192,49.193086,16.489595,0.000000,4.192126,46.097948,58.696946,8.264695,37.110928,30.125192,10.476858,19.116649,19.599579,30.125192,3.930089,24.276306,20.986692,4,12
"92",55.693033,243.000000,55.005033,35.859165,8.447802,0.000000,0.688000,93.999532,26.225185,41.530721,73.086815,55.005033,20.391675,12.107905,3.359584,55.005033,17.845148,7.814008,10.200008,5,16
"99",70.483337,276.600000,65.841482,22.797889,1.576511,5.142263,4.641855,79.567071,48.018134,65.488943,42.197748,65.841482,10.286439,6.999910,5.511540,65.841482,7.197122,9.675047,5.925719,8,15
"114",50.886648,245.400010,48.971408,38.706033,7.416467,2.990852,1.915240,51.497944,95.093908,-nan,0.000000,48.971408,1.607645,23.926906,13.171483,48.971408,1.131198,34.834803,2.740032,5,19
"147",81.458988,116.600000,81.090575,15.393130,3.147882,0.000000,0.368413,86.334389,93.926158,0.000000,5.705429,81.090575,5.563379,8.687607,1.142144,81.090575,1.543739,6.685986,7.163405,8,11
"159",59.855370,154.000000,55.816825,18.287740,6.610805,15.246084,4.038545,69.152659,80.715370,-nan,0.000000,55.816825,4.882974,12.201786,1.202981,55.816825,4.882974,12.005558,1.399208,4,9
"170",75.807602,273.874590,75.544774,23.177269,1.015129,0.000000,0.262828,94.445319,22.580240,70.270801,77.156932,75.544774,20.089808,2.540279,0.547181,75.544774,18.509899,1.404417,3.262953,6,10
"209",82.904555,256.000000,81.792734,11.711902,1.778805,3.604738,1.111820,85.841499,95.283441,-nan,0.000000,81.792734,1.445496,7.906445,2.359961,81.792734,0.677492,9.563465,1.470945,4,12
"236",45.245962,509.137790,43.257522,51.812567,2.941471,0.000000,1.988440,83.083082,37.481635,20.017576,60.529925,43.257522,27.699600,21.484210,2.628758,43.257522,16.425984,9.041951,26.344633,9,13
"322",85.344105,133.000000,84.724323,10.689211,3.966684,0.000000,0.619782,85.252704,99.380218,-nan,0.000000,84.724323,1.879699,6.522203,2.287308,84.724323,1.879699,8.809511,-0.000000,4,7
"329",84.566814,251.400010,81.986250,13.956467,1.476718,0.000000,2.580565,-nan,0.000000,84.158001,97.419435,81.986250,12.261901,1.376348,0.318218,81.986250,12.142569,0.591313,1.222585,2,8
"332",74.101433,266.797000,74.016574,22.688036,0.298729,0.710278,2.286383,94.476809,75.211865,13.577805,21.791474,74.016574,11.750132,3.877480,7.060424,74.016574,0.270993,4.318639,18.098404,6,9
"377",87.781825,155.628480,76.537097,4.957820,6.554070,0.706285,11.244728,86.403248,84.229429,98.444229,3.819558,76.537097,1.687050,2.535731,0.735039,76.537097,1.617988,3.079835,0.259997,6,9
"382",77.326971,261.232010,73.051538,16.804223,5.868806,0.000000,4.275433,82.447737,76.245139,52.307213,19.479428,73.051538,6.191864,8.640572,1.971787,73.051538,2.210671,9.320102,5.273450,9,13
"414",85.337150,185.621420,84.398950,10.321487,4.341363,0.000000,0.938200,85.549372,94.201935,78.392852,4.859865,84.398950,1.269164,7.139823,1.481515,84.398950,1.515897,8.501982,0.303607,9,11
"430",56.538829,286.000000,54.643402,39.287885,3.629049,0.544238,1.895427,56.344378,95.282997,42.013514,2.277339,54.643402,5.838273,20.870636,12.578976,54.643402,5.589633,31.756294,1.941958,6,11
"444",82.376751,158.584950,81.241713,13.109825,4.477102,0.036321,1.135038,82.204625,98.828640,-nan,0.000000,81.241713,7.182176,4.137499,1.386493,81.241713,7.094551,5.265361,0.749914,6,16
"481",77.750457,223.988290,77.221760,20.858497,1.391046,0.000000,0.528697,80.302880,62.308391,73.154461,37.162912,77.221760,7.241173,9.488791,4.128533,77.221760,3.364582,10.297945,7.195970,12,20
"503",64.922486,271.800020,55.971103,21.670116,12.351051,1.056347,8.951383,68.011966,70.065653,41.743538,19.926617,55.971103,8.665036,7.055691,5.949389,55.971103,6.470150,11.164348,4.035618,4,15
"517",87.012779,189.131680,85.143917,12.261891,0.725331,0.000000,1.868862,88.179151,59.237183,84.612305,38.893955,85.143917,6.422911,3.902768,1.090240,85.143917,6.351506,3.348789,2.561596,5,12
"591",78.864527,222.200000,77.819523,17.761467,2.825383,0.548623,1.045005,77.155565,89.696278,98.895051,8.710095,77.819523,0.448830,15.270090,2.042547,77.819523,0.289275,17.305572,0.166620,5,8
"709",42.994972,311.717470,41.296566,56.200469,0.547217,0.257342,1.698407,40.116641,64.903475,46.044401,33.140776,41.296566,10.283328,14.344012,30.386157,41.296566,5.753938,20.276692,30.169839,11,21
"723",73.248243,185.628480,70.414992,17.679507,9.072250,0.000000,2.833251,71.118302,56.719443,74.361163,40.447306,70.414992,7.120955,9.975398,0.583154,70.414992,2.449479,10.087978,5.142050,7,15
"736",50.080205,570.000000,49.781960,42.386198,7.526316,0.007281,0.298246,61.929007,71.565740,19.417892,28.128733,49.781960,7.725428,21.240639,13.420132,49.781960,4.066486,19.673860,18.645853,12,22
"765",45.583015,130.857250,39.891393,51.241632,3.020161,0.155192,5.691622,66.794172,52.036635,12.189871,42.116551,39.891393,39.758844,10.952416,0.530372,39.891393,0.369395,10.614681,40.257555,5,7
"769",85.890549,275.000000,83.161055,9.893491,4.215960,0.000000,2.729495,88.077888,62.854298,80.776816,34.416207,83.161055,5.911222,3.633167,0.349102,83.161055,3.733484,3.438556,2.721451,6,12
