MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",87.366660,218.800000,87.345435,12.326326,0.115990,0.191024,0.021225,84.201045,75.899205,98.111918,23.888547,87.345435,2.875961,5.194792,4.255574,87.345435,0.000000,7.805436,4.520890,5,6
"25",66.990597,251.400010,62.132325,32.890300,0.119101,0.000002,4.858272,68.637283,43.511995,62.496691,51.629731,62.132325,3.486685,20.943202,8.460413,62.132325,0.637302,24.531473,7.721525,8,8
"37",39.258464,88.275980,31.209495,59.959506,0.334860,0.447170,8.048969,34.107299,91.503861,-nan,0.000000,31.209495,2.577775,5.037166,52.344565,31.209495,0.407710,18.715128,40.836667,3,5
"43",60.555543,204.800000,60.056677,39.263050,0.158730,0.022677,0.498866,59.033516,80.827661,66.170191,18.650796,60.056677,8.815176,18.446728,10.164411,60.056677,3.112247,24.671219,11.479583,13,17
"74",34.894119,180.800000,34.868433,58.287505,0.133646,6.684729,0.025686,45.541380,73.222539,7.583969,20.067046,34.868433,26.437098,21.961354,6.986559,34.868433,26.083919,15.289458,16.914128,4,10
"78",42.783626,268.000000,38.763455,53.557525,0.084882,3.573967,4.020171,32.418751,54.787817,55.829400,37.618045,38.763455,23.397568,11.679294,16.765160,38.763455,1.754493,9.578226,42.224807,4,15
"92",71.112298,243.000000,71.093187,27.386175,0.832638,0.668889,0.019111,71.283892,32.077947,71.729690,67.234053,71.093187,14.400205,3.975097,8.380207,71.093187,8.900993,5.183865,13.301316,4,11
"99",27.996605,276.600000,27.979815,71.305218,0.118937,0.579241,0.016790,31.756889,85.674313,5.625186,13.729657,27.979815,50.477787,13.742249,7.085181,27.979815,28.399534,11.840815,31.064868,5,13
"114",39.485266,245.400010,39.466341,59.005566,0.061471,1.447698,0.018924,41.502492,95.093908,0.000000,3.439470,39.466341,8.724047,26.834479,18.715998,39.466341,9.764874,39.859037,9.381655,6,23
"147",81.668140,116.600000,81.429169,18.012377,0.190041,0.129443,0.238970,81.730275,99.631587,-nan,0.000000,81.429169,1.115195,16.747821,0.149360,81.429169,0.000000,13.432111,4.580265,5,7
"159",49.669998,154.000000,49.425335,45.392002,0.000000,4.938000,0.244662,52.126896,94.817338,-nan,0.000000,49.425335,23.438590,17.535580,1.907360,49.425335,23.106876,12.032161,10.252965,4,12
"170",56.690445,266.664740,56.673030,43.193806,0.067858,0.047892,0.017415,72.601650,28.364826,50.411855,71.569867,56.673030,27.929449,11.859692,2.603571,56.673030,13.662137,7.418853,22.112816,6,13
"209",81.120179,256.000000,81.102038,17.941044,0.117914,0.820863,0.018141,81.788245,99.160996,-nan,0.000000,81.102038,2.970520,12.040819,2.621315,81.102038,0.743767,13.750568,3.446710,5,10
"236",63.855964,494.427980,62.644312,35.269410,0.038679,0.835946,1.211652,88.638212,50.975048,37.168847,46.977354,62.644312,8.399402,19.461569,4.853638,62.644312,2.564201,7.058572,25.646637,8,12
"322",64.588093,133.000000,63.994500,35.179147,0.206571,0.026189,0.593593,64.393600,99.380218,-nan,0.000000,63.994500,9.881573,21.002753,3.805979,63.994500,9.881573,21.701098,3.596476,3,8
"329",80.216900,251.400010,78.221868,18.878915,0.119101,0.785083,1.995032,35.453121,3.412812,82.096070,93.807073,78.221868,6.294500,9.277818,3.306597,78.221868,3.837656,8.326488,6.714771,5,8
"332",67.652771,238.189000,67.652771,29.175798,0.000000,0.792787,2.378644,71.125555,90.817796,50.877135,6.010773,67.652771,5.527144,14.231865,8.695397,67.652771,0.000000,20.476198,8.699600,4,13
