MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",87.243652,218.800000,87.243652,8.394872,2.605119,1.756357,0.000000,-nan,0.000000,0.000000,0.891440,-nan,0.000000,90.216554,70.163199,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.068070,27.189004,88.765311,0.988414,4.603053,1.281746,87.243652,1.829004,3.402367,3.163501,6,11
"25",63.854250,251.400010,59.041203,30.082572,5.131269,0.931909,4.813047,-nan,0.000000,0.429805,9.254721,-nan,0.000000,83.676316,37.282166,-nan,0.000000,0.282540,14.219236,-nan,0.000000,82.882991,33.498921,60.440992,1.831607,24.237358,2.613819,59.041203,2.626981,3.666197,23.789394,8,17
"37",82.816968,164.600000,78.429721,15.434192,1.748840,0.000000,4.387248,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.992235,62.264040,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.830371,33.348712,78.429721,5.537928,4.699386,5.196877,78.429721,1.105164,9.253742,5.075286,3,9
"43",69.174910,200.167620,68.641297,28.611006,2.214084,0.000000,0.533613,-nan,0.000000,-nan,0.000000,81.442862,0.765613,91.645092,58.784298,-nan,0.000000,-nan,0.000000,0.000000,22.092679,79.359271,17.823797,69.440627,17.758272,7.429698,2.623706,68.641297,1.421688,4.056850,23.132468,15,20
"74",56.223866,180.800000,49.808534,39.748761,3.816969,0.210404,6.415332,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.165021,76.434463,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,16.939801,49.808534,0.494679,36.100830,2.876704,49.808534,0.439369,22.027694,17.281698,5,11
"78",36.218194,260.825040,27.476702,48.308525,12.748350,2.724930,8.741492,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.181911,62.903266,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.133109,25.630311,27.476702,12.125197,16.791057,19.392272,27.476702,3.962031,24.392846,19.953648,3,12
"92",59.391690,239.725980,58.694293,32.045133,8.563177,0.000000,0.697396,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.903975,25.730970,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.034860,73.571634,58.944579,24.234974,3.911349,3.648524,58.694293,21.257750,2.807109,7.980274,4,20
"99",5.611222,276.600000,0.860907,87.461580,1.468051,5.459147,4.750315,-nan,0.000000,-nan,0.000000,0.000000,3.097668,1.495673,54.226077,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.153580,32.466793,0.860907,0.386591,4.281902,82.793087,0.860907,0.350437,65.614826,21.496316,8,17
"114",51.699778,245.400010,50.233156,40.435137,7.865085,0.000000,1.466622,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.980852,98.533378,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.233156,1.607645,25.312399,13.515093,50.233156,1.131198,36.563906,2.740032,5,19
"147",84.906244,116.600000,84.537830,11.945875,3.147882,0.000000,0.368413,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.850431,99.631587,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.937127,2.058319,8.504648,0.983611,84.537830,1.943036,8.343816,1.659022,4,13
"159",65.141234,154.000000,60.920455,8.963604,6.428571,19.466591,4.220779,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.830108,76.312630,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.920455,5.872104,1.888519,1.202981,60.920455,5.872104,2.989578,0.101922,4,9
"170",74.369216,283.000000,74.190406,24.572845,1.057940,0.000000,0.178809,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.521992,25.115283,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.886053,74.705908,74.190406,19.961915,2.617318,1.993611,74.190406,18.095830,2.200551,4.276463,6,10
"209",80.218809,256.000000,79.593809,17.301562,2.265625,0.214004,0.625000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.267254,99.160996,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.135688,1.450027,8.476492,1.833164,79.593809,6.219371,9.567187,1.515004,4,15
"236",40.759898,518.901810,38.616159,35.539920,2.693407,21.006774,2.143739,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.575497,62.225778,-nan,0.000000,0.000000,7.779487,0.000000,1.895079,56.360433,4.949142,39.359816,15.189082,5.947769,13.659413,38.616159,7.780141,14.097746,13.662034,10,20
"322",85.344105,133.000000,84.724323,10.689211,3.966684,0.000000,0.619782,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.252704,99.380218,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.724323,1.879699,6.522203,2.287308,84.724323,1.879699,8.809511,-0.000000,4,7
