MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",86.331943,218.800000,86.310718,13.361043,0.115990,0.191024,0.021225,-nan,0.000000,-nan,0.000000,0.000000,4.855174,90.546439,73.240795,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.172166,21.691782,86.310718,5.948249,3.194363,4.218431,86.310718,0.000000,5.635205,7.725838,6,6
"25",84.585656,251.400010,79.727384,15.295242,0.119101,0.000002,4.858272,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.007534,47.094716,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.514421,48.047011,79.727384,0.655780,5.985099,8.654363,79.727384,0.350978,8.534295,6.409968,6,11
"37",55.263785,164.600000,50.947074,43.717269,0.179587,0.839358,4.316711,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.716747,94.843931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.947074,33.003088,10.714181,0.000000,50.947074,28.171494,10.114637,5.431138,3,5
"43",75.549875,204.800000,75.051009,24.268718,0.158730,0.022677,0.498866,-nan,0.000000,-nan,0.000000,31.756633,1.678003,73.865962,82.732427,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.976669,15.068027,76.921752,10.357144,3.180283,7.023813,75.051009,2.250563,8.446720,13.571434,16,19
"74",37.424217,180.800000,37.398531,58.390201,0.133646,4.051936,0.025686,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.770007,76.492257,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.227087,19.430122,38.965369,19.546896,28.979961,3.698750,37.398531,22.192534,14.024449,22.173218,5,13
"78",46.012624,259.664030,41.863393,53.895298,0.087607,0.004472,4.149230,-nan,0.000000,0.000000,0.693030,0.000000,5.995805,42.417969,49.889147,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.717898,39.268315,42.726325,16.033544,14.848712,20.705926,41.863393,2.535138,12.836674,38.523486,7,17
"92",59.747305,243.000000,59.659999,36.865254,0.764443,2.622998,0.087306,-nan,0.000000,-nan,0.000000,0.000000,2.011436,52.920252,48.346247,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.605119,46.932012,59.659999,24.309290,2.364988,9.560310,59.659999,6.856104,2.637324,27.371826,5,13
"99",49.492843,276.600000,49.357116,40.433422,0.000000,10.073735,0.135727,-nan,0.000000,-nan,0.000000,0.000000,1.548836,57.373675,36.374584,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.924355,51.867119,50.901756,26.733164,8.419952,3.735666,49.357116,16.374013,7.030617,17.028792,9,10
"114",31.513459,245.400010,31.494535,63.537902,0.061471,4.887168,0.018924,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.047767,74.901802,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,20.192106,31.754742,5.937460,24.327038,28.282155,31.494535,5.653593,32.847619,25.036690,6,26
"147",85.731484,116.600000,85.302473,11.719500,0.000000,2.549017,0.429011,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.920778,97.021973,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.165827,1.115195,5.914504,0.826447,85.302473,3.863354,2.877596,4.978549,4,9
