MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",96.688891,218.800000,96.603992,3.183760,0.000000,0.127349,0.084899,-nan,0.000000,0.000000,0.891440,-nan,0.000000,98.856095,72.365274,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.479938,26.531037,97.049709,1.634319,0.514722,0.589001,96.603992,0.445718,0.870246,1.867797,6,5
"25",70.213043,251.400010,63.804048,29.482159,0.009235,0.295563,6.408995,-nan,0.000000,5.189286,10.857211,-nan,0.000000,92.852506,35.536514,-nan,0.000000,11.813964,17.082469,-nan,0.000000,94.656902,29.819247,63.813287,0.092372,26.803626,2.576921,63.804048,0.009239,2.424503,27.048416,9,7
"37",53.574193,164.600000,49.017662,46.383489,0.042318,0.000000,4.556531,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.357796,95.443469,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.017662,33.038356,13.119428,0.225705,49.017662,28.051572,11.299633,7.032285,3,4
"43",83.565743,204.800000,83.236944,14.824279,1.417234,0.192745,0.328798,-nan,0.000000,-nan,0.000000,81.818015,1.122446,85.030749,81.043091,-nan,0.000000,-nan,0.000000,0.000000,1.133784,82.866195,16.179136,84.370729,3.962576,0.890042,8.837877,83.236944,1.332199,7.964872,5.527208,16,14
"74",58.582849,180.800000,55.282225,39.427704,1.212450,0.776998,3.300624,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.970277,86.418612,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.503767,55.282225,1.027435,4.739027,33.661242,55.282225,0.019266,29.378115,10.030322,6,5
"78",58.951505,257.284000,54.759379,36.695753,4.352743,0.000000,4.192126,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.765102,58.696946,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.027748,37.110928,55.458821,9.232599,10.744277,16.019434,54.759379,0.699442,9.390539,26.605771,4,9
"92",78.556029,243.000000,77.868029,19.158892,2.285078,0.000000,0.688000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.951471,26.225185,-nan,0.000000,10.785785,6.201527,-nan,0.000000,78.582601,66.885288,77.868029,6.019996,9.550780,3.588116,77.868029,0.000000,5.867132,13.291760,6,8
"99",81.156521,276.600000,76.698894,13.097250,0.419738,5.326490,4.457627,-nan,0.000000,-nan,0.000000,98.780703,3.097668,80.265378,44.920466,-nan,0.000000,40.990930,4.659100,0.000000,0.425343,96.120799,37.113304,76.698894,4.656314,4.134426,4.306511,76.698894,2.291776,5.083032,5.722442,11,10
"114",68.150645,245.400010,66.731332,27.241352,1.121224,3.486779,1.419313,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.174140,95.093908,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.003980,0.000000,17.694125,8.274580,66.731332,1.272647,23.447056,2.521648,5,11
"147",87.005123,116.600000,86.706410,11.341142,1.584034,0.069700,0.298713,-nan,0.000000,0.000000,2.439485,-nan,0.000000,94.774909,91.486672,-nan,0.000000,-nan,0.000000,0.000000,3.236063,0.000000,2.469365,87.463150,3.236063,7.069543,0.278796,86.706410,0.756740,0.786610,9.797793,10,6
"159",62.120910,154.000000,62.105832,15.846868,2.762670,19.269552,0.015078,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.944244,80.715370,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.105832,1.666104,11.919076,2.261688,62.105832,1.666104,13.087614,1.093150,4,5
"170",90.699278,273.874590,90.690800,9.046372,0.000000,0.254350,0.008478,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.400436,22.580240,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.621439,77.156932,91.593739,6.524070,1.123388,0.495975,90.690800,5.680472,1.182730,2.183170,6,10
"209",90.263022,256.000000,89.927421,3.977335,1.378685,4.380958,0.335601,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.378855,95.283441,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.927421,0.000000,3.433114,0.544222,89.927421,0.000000,3.977335,-0.000000,4,4
"236",55.892948,509.137790,53.904508,43.376272,0.730780,0.000000,1.988440,-nan,0.000000,74.347045,0.960015,0.000000,1.922313,96.981457,34.599308,-nan,0.000000,36.429018,8.888680,0.000000,16.323614,46.429484,35.317630,54.855400,29.952027,11.371953,1.101400,53.904508,12.231643,0.535874,30.608755,12,13
"322",92.809951,133.000000,92.251276,4.390873,2.738070,0.061106,0.558676,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.826598,99.380218,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.251276,0.000000,4.303567,0.087306,92.251276,0.000000,4.390873,-0.000000,4,4
"329",97.991103,251.400010,95.415157,1.717955,0.286323,0.004618,2.575947,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.942630,97.419435,95.415157,0.000000,0.979055,0.738901,95.415157,0.000000,0.979055,0.738901,2,3
"332",76.426060,266.797000,76.426060,20.577280,0.000000,0.864369,2.132291,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.574347,75.211865,-nan,0.000000,-nan,0.000000,0.000000,18.732220,99.323979,3.059255,76.426060,11.183444,1.846645,7.547191,76.426060,0.000000,1.807301,18.769978,6,4
"377",87.014103,155.628480,79.837526,3.625623,4.585838,4.774436,7.176577,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.259942,84.229429,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.804535,3.819558,79.837526,0.000000,3.565935,0.059688,79.837526,0.000000,3.610699,0.014924,6,6
"382",79.308825,261.232010,78.019973,16.915068,0.789526,2.986581,1.288852,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.274784,76.245139,-nan,0.000000,-nan,0.000000,0.000000,3.759880,77.862569,15.719548,78.019973,7.022019,8.506419,1.386631,78.019973,2.119942,8.697532,6.097594,12,12
"414",89.135610,185.621420,88.197412,10.864388,0.000000,0.000002,0.938198,-nan,0.000000,0.000000,1.626219,68.638976,13.741474,93.771816,78.834242,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.613955,4.859865,93.132349,0.018763,5.228906,0.681782,88.197412,4.934937,2.852155,3.077296,13,13
"430",63.046975,286.000000,61.179695,35.625590,0.755050,0.572385,1.867280,-nan,0.000000,0.000000,2.289521,5.782956,21.620507,80.792812,71.372969,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.465315,2.277339,76.301070,0.381584,18.096939,2.025692,61.179695,15.299988,8.809013,11.516589,9,11
