MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",85.766120,218.800000,85.553871,12.663679,1.570201,0.000000,0.212249,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.262872,75.899205,-nan,0.000000,-nan,0.000000,0.000000,3.528629,98.630249,20.359918,89.030672,1.331833,3.432738,4.422308,85.553871,3.476801,6.432436,2.754442,7,5
"25",64.266947,251.400010,59.408673,31.840329,3.892725,0.000000,4.858273,-nan,0.000000,0.000000,4.655063,-nan,0.000000,76.731770,38.856932,-nan,0.000000,0.000000,14.510178,-nan,0.000000,79.723648,37.119553,60.555566,1.800032,21.535592,7.357812,59.408673,1.146893,7.025847,23.667589,8,7
"37",40.688464,88.275980,32.509568,57.838825,1.155467,0.317244,8.178895,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.528084,91.503861,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,32.509568,1.441910,4.473289,51.923626,32.509568,0.000000,16.534385,41.304441,3,3
"43",52.862085,204.800000,52.344507,45.722817,1.411133,0.003965,0.517578,-nan,0.000000,0.000000,22.528350,0.000000,1.502266,73.977520,56.797046,-nan,0.000000,-nan,0.000000,0.000000,2.256235,62.993216,16.394561,61.122412,7.735977,21.051201,8.157734,52.344507,10.283208,13.380679,22.058931,16,14
"74",68.997168,180.800000,65.180796,26.897506,1.211283,2.894043,3.816372,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.017395,73.222539,-nan,0.000000,-nan,0.000000,0.000000,10.030310,0.000000,10.036737,65.180796,0.274668,23.278346,3.344491,65.180796,0.021482,7.047450,19.828573,5,7
"78",48.813769,268.000000,41.884664,45.465228,5.055970,0.665034,6.929104,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.470159,54.787817,-nan,0.000000,-nan,0.000000,0.000000,10.678590,4.024170,26.939455,44.129168,22.710101,10.315201,10.195422,41.884664,3.563541,7.522933,34.378754,5,10
"92",31.936387,243.000000,31.248387,63.722807,4.340807,0.000000,0.688000,-nan,0.000000,0.000000,5.351103,0.000000,4.013325,59.176557,22.713519,-nan,0.000000,0.000000,41.389807,-nan,0.000000,68.902409,25.844247,75.676288,5.450630,4.143337,9.700938,31.248387,47.415786,5.153786,11.153235,7,12
"99",28.489924,276.600000,27.893894,66.556576,4.953500,0.000000,0.596030,-nan,0.000000,0.000000,10.837657,-nan,0.000000,36.252312,74.836656,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.563691,13.729657,27.893894,49.664732,7.268557,9.623286,27.893894,31.528782,9.805217,25.222578,6,13
"114",65.843412,245.400010,64.384570,31.398194,2.750615,0.007779,1.458843,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.706303,95.093908,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.439470,64.384570,2.159927,18.659196,10.579070,64.384570,2.159927,27.958723,1.279544,6,5
"147",83.069331,116.600000,82.700918,13.980043,2.950626,0.000000,0.368413,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.006726,99.631587,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.700918,0.000000,13.777959,0.202084,82.700918,0.000000,12.787933,1.192110,5,6
