MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",95.341010,218.800000,95.128761,3.088789,1.570201,0.000000,0.212249,95.331100,99.787751,98.217550,95.128761,0.000000,3.088789,0.000000,5,5
"25",68.684417,251.400010,61.979858,29.269144,2.046440,0.000000,6.704558,66.433962,93.295442,91.249002,61.979858,0.000000,29.269144,0.000000,6,6
"37",83.418663,164.600000,79.032272,15.791513,0.619684,0.170140,4.386391,82.805322,95.443469,94.823785,79.032272,0.000000,15.791513,-0.000000,3,3
"43",84.251162,204.800000,83.733584,14.333740,1.411133,0.003965,0.517578,84.172580,99.478457,98.067324,83.733584,0.000000,14.333740,-0.000000,11,10
"74",57.621195,180.800000,53.804823,40.906272,1.211283,0.261250,3.816372,56.092044,95.922378,94.711095,53.804823,0.000000,40.906272,0.000000,5,7
"78",50.968687,268.000000,46.944183,41.070743,7.960571,0.000000,4.024504,48.912675,95.975496,88.014925,46.944183,0.000000,41.070743,0.000000,5,7
"92",77.760062,243.000000,77.072062,17.899132,4.340807,0.000000,0.688000,77.605991,99.312000,94.971193,77.072062,0.000000,17.899132,-0.000000,5,8
"99",83.000159,276.600000,78.390842,10.884826,0.940213,5.174801,4.609317,86.892508,90.215882,89.275669,78.390842,0.000000,10.884826,0.000000,6,6
"114",65.667609,245.400010,64.208767,28.134526,2.750615,3.447249,1.458843,67.521430,95.093908,92.343293,64.208767,0.000000,28.134526,0.000000,5,5
"147",86.336226,116.600000,85.967813,10.713148,2.950626,0.000000,0.368413,86.285701,99.631587,96.680961,85.967813,0.000000,10.713148,0.000000,7,6
"159",63.330045,154.000000,60.747143,15.310870,4.657357,16.701727,2.582903,75.260936,80.715370,76.058013,60.747143,0.000000,15.310870,-0.000000,4,6
"170",95.025067,283.000000,94.968530,4.402558,0.374558,0.197816,0.056537,95.210702,99.745647,99.371088,94.968530,0.000000,4.402558,0.000000,5,5
"209",89.128207,256.000000,88.620395,5.452109,1.210937,4.208746,0.507812,93.007130,95.283441,94.072504,88.620395,0.000000,5.452109,0.000000,4,5
"236",75.495699,533.600040,73.598417,22.960797,1.543504,0.000000,1.897282,75.021792,98.102718,96.559213,73.598417,0.000000,22.960797,0.000000,7,7
"322",89.472722,133.000000,88.871218,7.336068,3.172932,0.018278,0.601504,89.425461,99.380218,96.207286,88.871218,0.000000,7.336068,-0.000000,4,4
"329",97.182804,251.400010,94.606217,2.040557,0.772661,0.003978,2.576587,97.112262,97.419435,96.646774,94.606217,0.000000,2.040557,-0.000000,2,5
"332",75.527086,266.797000,75.527086,21.473630,0.002624,0.822723,2.173937,77.860295,97.003340,97.000716,75.527086,0.000000,21.473630,0.000000,6,4
"377",90.015577,156.000000,80.451474,2.568282,5.057692,2.358449,9.564103,91.341740,88.077449,83.019756,80.451474,0.000000,2.568282,0.000000,6,6
