MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",91.170439,218.800000,91.085539,8.702212,0.000000,0.127349,0.084899,91.279278,99.787751,99.787751,91.085539,0.000000,8.702212,0.000000,5,5
"25",67.332302,251.400010,62.501738,30.442729,2.197259,0.027710,4.830563,65.693299,95.141727,92.944467,62.501738,0.000000,30.442729,0.000000,6,5
"37",53.313216,164.600000,48.756685,46.588038,0.098745,0.000000,4.556531,51.084360,95.443469,95.344724,48.756685,0.000000,46.588038,0.000000,3,4
"43",61.213133,204.800000,60.770956,37.267592,1.439909,0.079366,0.442177,61.089564,99.478457,98.038548,60.770956,0.000000,37.267592,0.000000,9,9
"74",69.165400,180.800000,65.941833,26.199517,1.148235,3.486848,3.223567,70.685096,93.289585,92.141350,65.941833,0.000000,26.199517,0.000000,3,4
"78",49.714962,268.000000,42.783633,48.307037,1.315193,0.662808,6.931330,46.299695,92.405862,91.090669,42.783633,0.000000,48.307037,0.000000,4,7
"92",79.602387,243.000000,78.914387,18.188979,2.208634,0.000000,0.688000,79.461079,99.312000,97.103366,78.914387,0.000000,18.188979,-0.000000,4,6
"99",59.195798,276.600000,58.616559,36.438916,4.348495,0.016791,0.579240,58.968026,99.403970,95.055475,58.616559,0.000000,36.438916,-0.000000,5,9
"114",68.770443,245.400010,67.351131,30.061023,1.121224,0.047309,1.419313,68.353620,98.533378,97.412154,67.351131,0.000000,30.061023,-0.000000,5,7
"147",83.311041,116.600000,83.012328,15.035224,1.584034,0.069700,0.298713,83.319288,99.631587,98.047552,83.012328,0.000000,15.035224,-0.000000,5,5
"159",88.269409,154.000000,85.491661,9.325677,0.000000,2.404914,2.777748,90.164587,94.817338,94.817338,85.491661,0.000000,9.325677,-0.000000,4,4
"170",81.971340,283.000000,81.963136,17.975327,0.000000,0.053332,0.008205,82.013604,99.938463,99.938463,81.963136,0.000000,17.975327,0.000000,5,5
"209",93.161002,256.000000,92.816330,5.011332,1.333333,0.494333,0.344671,93.601652,99.160996,97.827663,92.816330,0.000000,5.011332,0.000000,5,4
"236",67.040222,533.600040,65.147291,32.262500,0.692926,0.004352,1.892931,66.407224,98.102718,97.409791,65.147291,0.000000,32.262500,-0.000000,6,6
"322",80.396883,133.000000,79.838207,16.803941,2.738070,0.061106,0.558676,80.336116,99.380218,96.642148,79.838207,0.000000,16.803941,0.000000,3,4
"329",87.347292,251.400010,85.343024,11.046568,0.830293,0.775847,2.004268,87.783506,97.219885,96.389592,85.343024,0.000000,11.046568,0.000000,4,3
"332",80.043803,266.797000,80.043803,17.124831,0.000000,0.699075,2.132291,82.376174,97.168634,97.168634,80.043803,0.000000,17.124831,0.000000,4,4
"377",59.047119,156.000000,57.618196,30.662285,10.290595,0.000000,1.428923,58.453451,98.571077,88.280481,57.618196,0.000000,30.662285,0.000000,6,6
"382",37.332170,265.400000,36.081057,58.933527,0.777127,2.957177,1.251113,37.666158,95.791711,95.014584,36.081057,0.000000,58.933527,0.000000,7,9
"414",66.211728,229.600000,65.493689,33.747818,0.000000,0.040454,0.718039,65.994251,99.241507,99.241507,65.493689,0.000000,33.747818,-0.000000,6,7
"430",75.651509,286.000000,75.075070,22.217351,2.102723,0.028417,0.576439,75.531930,99.395143,97.292421,75.075070,0.000000,22.217351,-0.000000,6,7
"444",66.213352,165.400010,65.553535,32.366157,0.957213,0.463278,0.659817,66.298126,98.876905,97.919692,65.553535,0.000000,32.366157,-0.000000,6,8
"481",60.935373,239.000000,60.449600,38.414942,0.639968,0.009716,0.485773,60.750613,99.504510,98.864542,60.449600,0.000000,38.414942,-0.000000,7,10
"503",76.660877,271.800020,71.240325,20.609623,1.635991,1.093510,5.420551,76.204322,93.485939,91.849948,71.240325,0.000000,20.609623,0.000000,3,4
"517",85.719774,220.200000,85.255797,14.232773,0.000000,0.047453,0.463977,85.694062,99.488569,99.488569,85.255797,0.000000,14.232773,0.000000,7,6
"591",79.812068,222.200000,78.840216,16.782728,1.174117,2.231087,0.971852,81.448976,96.797061,95.622944,78.840216,0.000000,16.782728,0.000000,3,6
"709",24.150215,317.000000,24.011042,74.113781,1.369758,0.366246,0.139173,24.133015,99.494580,98.124823,24.011042,0.000000,74.113781,0.000000,7,9
"723",73.717090,186.000000,70.933192,20.679516,5.559701,0.043694,2.783898,72.997256,97.172409,91.612708,70.933192,0.000000,20.679516,0.000000,6,7
"736",26.334276,570.000000,20.936655,35.913543,0.000000,37.752181,5.397621,36.827761,56.850198,56.850198,20.936655,0.000000,35.913543,-0.000000,10,10
"765",86.897892,137.800000,86.476631,11.020217,1.610076,0.471815,0.421262,87.255893,99.106923,97.496847,86.476631,0.000000,11.020217,-0.000000,5,4
"769",41.914128,275.000000,41.466615,54.841313,3.244559,0.000000,0.447513,41.653018,99.552487,96.307928,41.466615,0.000000,54.841313,-0.000000,6,6
"770",61.069565,213.000000,60.786129,30.027877,4.950805,3.951752,0.283436,63.474389,95.764812,90.814007,60.786129,0.000000,30.027877,-0.000000,6,6
"783",68.802607,189.600000,67.957577,29.306598,1.866299,0.024495,0.845030,68.553669,99.130475,97.264175,67.957577,0.000000,29.306598,-0.000000,3,4
"812",77.318016,222.400010,77.234491,20.980163,0.000000,1.701821,0.083525,78.638460,98.214654,98.214654,77.234491,0.000000,20.980163,-0.000000,3,6
"849",82.322874,174.200000,81.776366,14.495805,3.174655,0.006666,0.546509,82.231248,99.446825,96.272170,81.776366,0.000000,14.495805,0.000000,4,4
"886",80.855210,238.000000,80.552765,18.546683,0.534690,0.063417,0.302445,80.848559,99.634139,99.099449,80.552765,0.000000,18.546683,-0.000000,4,8
"905",90.711277,174.000000,89.790486,9.228670,0.000000,0.060054,0.920791,90.679915,99.019155,99.019155,89.790486,0.000000,9.228670,0.000000,4,4
"958",80.581234,290.000000,79.868622,19.412697,0.002064,0.004005,0.712612,80.445105,99.283383,99.281318,79.868622,0.000000,19.412697,0.000000,4,6
"969",74.525442,179.200000,74.292206,24.114014,1.302235,0.058310,0.233236,74.509435,99.708454,98.406219,74.292206,0.000000,24.114014,0.000000,5,6
"978",63.927204,674.000000,63.892753,35.239917,0.815654,0.017226,0.034451,63.925788,99.948323,99.132670,63.892753,0.000000,35.239917,-0.000000,6,6
"987",48.870119,161.000000,48.610517,47.507114,3.586710,0.036056,0.259602,48.754665,99.704342,96.117632,48.610517,0.000000,47.507114,0.000000,5,6
"995",55.759170,228.600000,55.484918,44.205279,0.000000,0.035552,0.274251,55.657346,99.690197,99.690197,55.484918,0.000000,44.205279,-0.000000,6,6
"1012",54.367006,291.600000,53.674229,45.581234,0.000000,0.051761,0.692776,54.076851,99.255463,99.255463,53.674229,0.000000,45.581234,0.000000,7,7
"1114",77.558981,187.800000,76.248376,21.754808,0.000000,0.686211,1.310604,77.801938,98.003184,98.003184,76.248376,0.000000,21.754808,-0.000000,6,6
"1212",81.840622,191.200000,78.658809,15.453659,0.610822,2.094896,3.181814,83.040622,94.723290,94.112468,78.658809,0.000000,15.453659,-0.000000,2,4
"1218",64.791193,186.000000,64.354258,24.018890,5.222637,5.967280,0.436935,68.757646,93.595785,88.373148,64.354258,0.000000,24.018890,0.000000,10,9
"1225",84.424347,129.400010,82.414583,15.270602,0.000000,0.305050,2.009764,84.367535,97.685186,97.685186,82.414583,0.000000,15.270602,0.000000,3,3
"1235",61.614447,219.200000,61.444958,33.834183,1.389344,3.162026,0.169489,63.562554,96.668485,95.279141,61.444958,0.000000,33.834183,-0.000000,6,5
"1239",84.604738,158.400010,83.637240,14.336594,1.007359,0.051309,0.967498,84.498113,98.981193,97.973835,83.637240,0.000000,14.336594,-0.000000,6,6
"1282",43.718992,239.800000,42.847517,54.709213,1.571794,0.000002,0.871475,43.224206,99.128524,97.556730,42.847517,0.000000,54.709213,-0.000000,5,6
