MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",85.860197,218.800000,85.677381,11.688067,2.422303,0.029433,0.182815,85.859617,99.787751,97.365448,85.677381,0.000000,11.688067,-0.000000,5,5
"25",62.015622,251.400010,57.202575,32.807883,5.131269,0.045227,4.813047,60.123541,95.141727,90.010458,57.202575,0.000000,32.807883,0.000000,6,6
"37",55.731543,164.600000,51.175012,42.688900,1.579557,0.000000,4.556531,53.618139,95.443469,93.863913,51.175012,0.000000,42.688900,0.000000,3,5
"43",64.907749,204.800000,64.386206,32.928247,2.164004,0.000000,0.521543,64.723768,99.478457,97.314453,64.386206,0.000000,32.928247,0.000000,9,10
"74",66.552716,180.800000,60.579264,28.451471,4.258850,0.736963,5.973451,64.936793,93.289585,89.030736,60.579264,0.000000,28.451471,0.000000,3,7
"78",47.973966,268.000000,40.697847,37.267716,14.440299,0.318019,7.276119,44.042495,92.405862,77.965563,40.697847,0.000000,37.267716,-0.000000,4,7
"92",74.626856,243.000000,73.938856,16.925342,8.447802,0.000000,0.688000,74.451079,99.312000,90.864198,73.938856,0.000000,16.925342,0.000000,4,10
"99",57.491298,276.600000,56.895268,36.886367,5.622336,0.000000,0.596030,57.236414,99.403970,93.781634,56.895268,0.000000,36.886367,0.000000,5,11
"114",53.626518,245.400010,52.159896,38.508397,7.865085,0.000000,1.466622,52.936271,98.533378,90.668293,52.159896,0.000000,38.508397,0.000000,5,11
"147",80.176947,116.600000,79.808533,16.675172,3.147882,0.000000,0.368413,80.103646,99.631587,96.483705,79.808533,0.000000,16.675172,0.000000,5,7
"159",81.080662,154.000000,77.598623,10.051403,7.167312,1.700623,3.482039,81.840120,94.817338,87.650026,77.598623,0.000000,10.051403,0.000000,4,7
"170",80.519848,283.000000,80.458311,18.304940,1.175212,0.000000,0.061537,80.507853,99.938463,98.763251,80.458311,0.000000,18.304940,0.000000,5,6
"209",85.551395,256.000000,84.926395,11.968977,2.265625,0.214004,0.625000,85.644959,99.160996,96.895371,84.926395,0.000000,11.968977,-0.000000,5,6
"236",61.854150,533.600040,59.956868,35.339227,2.806623,0.000000,1.897282,61.116419,98.102718,95.296095,59.956868,0.000000,35.339227,0.000000,6,7
"322",76.269398,133.000000,75.649617,19.763917,3.966684,0.000000,0.619782,76.121403,99.380218,95.413534,75.649617,0.000000,19.763917,0.000000,3,4
"329",86.759360,251.400010,84.651166,10.619630,1.949089,0.671921,2.108194,87.071864,97.219885,95.270796,84.651166,0.000000,10.619630,0.000000,4,5
"332",79.098491,266.797000,79.013632,17.856273,0.298729,0.544984,2.286383,81.315985,97.168634,96.869905,79.013632,0.000000,17.856273,-0.000000,4,5
"377",57.228449,156.000000,55.799526,26.444064,16.327487,0.000000,1.428923,56.608416,98.571077,82.243590,55.799526,0.000000,26.444064,-0.000000,6,6
"382",38.482344,265.400000,34.274054,55.741017,5.776639,0.000000,4.208289,35.779771,95.791711,90.015072,34.274054,0.000000,55.741017,0.000000,7,8
"414",62.623715,229.600000,61.865222,33.866485,3.509800,0.000000,0.758493,62.338052,99.241507,95.731707,61.865222,0.000000,33.866485,0.000000,6,7
"430",58.774923,286.000000,58.170066,36.305458,4.919619,0.000000,0.604857,58.524053,99.395143,94.475524,58.170066,0.000000,36.305458,0.000000,6,7
"444",66.816550,165.400010,65.728279,28.855996,4.292630,0.034825,1.088271,66.474855,98.876905,94.584275,65.728279,0.000000,28.855996,-0.000000,6,8
