MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",86.480498,218.800000,86.395598,13.392153,0.000000,0.127349,0.084899,87.159396,78.095969,-nan,0.000000,-nan,0.000000,84.491089,21.691782,-nan,0.000000,86.395598,8.405049,1.575195,3.411907,0.000002,86.395598,3.045762,2.593994,7.752397,5,8
"25",63.642429,251.400010,58.811866,34.132602,2.197259,0.027710,4.830563,80.611601,40.296848,-nan,0.000000,0.000000,6.797868,91.450105,28.789394,0.000000,19.257617,58.811866,23.580185,2.955609,7.490596,0.106212,58.811866,23.367743,7.827735,2.937124,10,7
"37",54.727713,164.600000,50.072437,44.771494,0.000000,0.500793,4.655276,52.794561,94.843931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.072437,33.348708,11.070116,0.352670,0.000000,50.072437,30.216982,11.422787,3.131726,3,4
"43",63.645110,204.800000,63.202933,34.835615,1.439909,0.079366,0.442177,73.834771,84.410430,-nan,0.000000,-nan,0.000000,4.685728,14.880952,96.968886,0.187075,63.202933,24.688204,1.473941,8.537420,0.136051,63.202933,22.534013,9.280058,3.021544,15,17
"74",59.706609,180.800000,56.483042,38.291101,1.148235,0.854055,3.223567,72.079560,64.259403,-nan,0.000000,83.097104,12.232854,-nan,0.000000,0.000000,19.430122,56.483042,2.131926,16.182037,19.977138,0.000000,56.483042,2.131926,15.706850,20.452325,5,7
"78",42.945433,259.664030,38.791731,52.697009,4.357558,0.000000,4.153702,51.414577,56.577983,-nan,0.000000,-nan,0.000000,3.916182,8.448671,30.407668,30.819644,38.791731,11.227066,23.200803,17.880150,0.120721,38.791731,6.331167,14.848695,31.517147,6,12
"92",67.544593,243.000000,64.905957,32.125740,0.257998,0.071669,2.638636,55.967717,50.357683,-nan,0.000000,-nan,0.000000,78.244911,46.932012,-nan,0.000000,64.905957,22.622741,0.993777,8.509222,0.000000,64.905957,5.021433,0.797894,26.306414,4,8
"99",45.151334,276.600000,40.735681,48.542777,0.512081,5.793808,4.415654,58.915377,37.923420,-nan,0.000000,-nan,0.000000,35.461686,51.867119,-nan,0.000000,40.735681,39.451259,4.919333,4.071452,0.100734,40.735681,29.822443,6.493351,12.226984,8,13
"114",48.914238,245.400010,47.494925,46.477759,1.121224,3.486779,1.419313,63.409589,74.901802,-nan,0.000000,-nan,0.000000,0.000000,20.192106,-nan,0.000000,47.494925,1.447695,19.525034,25.117085,0.000000,47.494925,1.211143,25.708466,19.558150,6,8
"147",96.256113,116.600000,94.373366,2.648607,0.000000,1.095280,1.882747,97.270096,97.021973,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.373366,0.000000,2.618733,0.029874,0.000000,94.373366,0.000000,1.135128,1.513479,4,5
"159",2.231534,154.000000,2.216456,94.349906,2.762670,0.655890,0.015078,-nan,0.000000,-nan,0.000000,2.231429,99.329032,-nan,0.000000,-nan,0.000000,2.216456,89.351585,2.759254,1.259004,0.980063,2.216456,91.552959,0.030150,2.766797,3,6
"170",76.037455,283.000000,76.029250,23.909213,0.000000,0.053332,0.008205,92.042625,16.600965,-nan,0.000000,-nan,0.000000,72.895500,83.337498,-nan,0.000000,76.029250,22.100002,1.349721,0.459490,0.000000,76.029250,20.089773,1.103577,2.715863,5,11
"209",79.628137,256.000000,79.283466,18.544197,1.333333,0.494333,0.344671,79.954285,99.160996,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.283466,0.000000,9.006781,9.537416,0.000000,79.283466,0.000000,18.544197,0.000000,5,4
"236",53.281186,455.302340,51.062730,45.901626,0.812088,0.005100,2.218456,72.691676,59.111585,-nan,0.000000,-nan,0.000000,20.932517,38.664859,-nan,0.000000,51.062730,17.010703,14.305217,4.814306,0.000000,51.062730,28.819513,7.807951,9.274163,8,13
"322",79.084572,133.000000,75.787827,20.391670,0.000000,0.523758,3.296745,78.798319,96.179496,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.787827,14.525558,4.879682,0.899132,0.087298,75.787827,14.525558,5.342346,0.523766,4,7
"329",52.903349,207.583960,50.476028,46.281267,0.776234,0.039150,2.427322,0.000000,4.797543,-nan,0.000000,-nan,0.000000,19.810749,42.545214,83.775366,50.190771,50.476028,41.398658,0.050333,2.483255,2.349022,50.476028,41.398658,0.044738,4.837871,5,5
"332",72.179962,221.743990,72.179962,24.413407,0.000000,0.841110,2.565521,84.490907,80.025163,-nan,0.000000,-nan,0.000000,98.759050,4.623350,0.000000,11.944856,72.179962,11.660598,9.550278,3.202531,0.000000,72.179962,2.632949,9.688979,12.091479,5,5
"377",47.792300,156.000000,36.273725,47.228807,0.200943,4.777950,11.518576,40.698630,79.893013,-nan,0.000000,-nan,0.000000,98.632753,3.810462,-nan,0.000000,36.273725,43.693688,0.855875,2.679244,0.000000,36.273725,43.693688,0.982398,2.552721,6,10
"382",82.380971,265.400000,81.129859,13.884725,0.777127,2.957177,1.251113,93.434329,75.931375,-nan,0.000000,-nan,0.000000,51.277522,19.860335,-nan,0.000000,81.129859,10.197012,0.953644,2.707821,0.026247,81.129859,8.670298,3.044662,2.169766,12,17
"414",76.581898,194.688810,75.735102,23.370394,0.000000,0.047709,0.846796,90.250254,80.553520,0.000000,4.561952,0.000000,7.800073,49.036667,6.189950,-nan,0.000000,75.735102,11.849181,6.291349,4.925738,0.304125,75.735102,10.537247,5.879890,6.953257,14,12
"430",78.862515,286.000000,78.286076,19.006345,2.102723,0.028417,0.576439,80.703431,91.406185,-nan,0.000000,-nan,0.000000,65.936055,6.852318,0.000000,1.136640,78.286076,5.374697,10.497743,3.133905,0.000000,78.286076,2.167748,12.706110,4.132486,7,10
"444",70.249470,165.400010,69.589653,28.330039,0.957213,0.463278,0.659817,70.779205,81.073302,-nan,0.000000,62.718242,13.732399,88.275981,4.071203,-nan,0.000000,69.589653,18.502966,6.050673,2.884950,0.891450,69.589653,18.446810,3.341208,6.542021,8,12
"481",57.330947,239.000000,56.845174,42.019369,0.639968,0.009716,0.485773,55.687588,56.412828,-nan,0.000000,-nan,0.000000,60.501065,42.032699,0.000000,1.058983,56.845174,28.247711,8.199857,5.241476,0.330325,56.845174,25.255349,7.461477,9.302542,14,22
"503",70.971230,271.800020,69.903353,22.083707,5.988665,0.956398,1.067877,75.678303,74.781411,-nan,0.000000,-nan,0.000000,57.384971,23.194314,-nan,0.000000,69.903353,10.721479,1.627451,9.418685,0.000000,69.903353,2.451840,7.564862,12.067005,3,6
"517",72.841267,191.941280,72.308981,27.104293,0.000000,0.054440,0.532287,83.559270,42.824899,-nan,0.000000,25.454516,8.316981,71.279815,48.271393,-nan,0.000000,72.308981,19.168355,6.550748,1.385190,0.000000,72.308981,18.224756,1.173460,7.706078,6,11
"591",51.179982,155.457650,49.790886,48.215079,0.500380,0.104559,1.389096,94.808614,42.725913,-nan,0.000000,0.000000,46.430176,99.281124,9.350257,-nan,0.000000,49.790886,43.539962,3.233747,1.441370,0.000000,49.790886,42.681109,0.926051,4.607919,5,4
"709",62.426506,317.000000,62.287333,35.837490,1.369758,0.366246,0.139173,19.427112,7.031909,89.846058,26.622716,49.792749,13.254426,-nan,0.000000,57.814445,52.585530,62.287333,6.263174,2.102244,20.568337,6.207869,62.287333,5.688155,6.713277,23.436058,16,23
"723",81.979560,186.000000,73.635962,17.096640,0.000000,0.923799,8.343598,83.554230,53.212382,-nan,0.000000,-nan,0.000000,77.757449,37.520220,-nan,0.000000,73.635962,3.626562,10.311669,3.158410,0.000000,73.635962,0.000000,4.931132,12.165508,6,8
"736",43.323529,570.000000,42.368253,51.488640,4.442345,0.745487,0.955276,27.417323,45.064449,55.545547,43.028195,31.630032,1.674286,-nan,0.000000,65.433227,8.532307,42.368253,24.242438,9.517545,9.740186,4.745825,42.368253,23.507146,9.509405,18.472089,16,35
"765",81.000228,137.800000,80.578966,17.355994,1.610076,0.033702,0.421262,78.822218,89.476887,-nan,0.000000,-nan,0.000000,99.832638,10.068149,-nan,0.000000,80.578966,8.787524,0.572913,0.429694,0.000000,80.578966,16.201729,0.716141,0.438124,4,8
"769",72.209802,275.000000,71.762290,24.545639,3.244559,0.000000,0.447513,85.807079,64.237025,-nan,0.000000,-nan,0.000000,47.124896,35.315462,-nan,0.000000,71.762290,20.074714,2.056043,2.414881,0.000000,71.762290,19.036129,2.284018,3.225491,7,9
"770",74.904982,213.000000,72.853950,21.726484,3.183209,0.185324,2.051032,78.971502,48.652892,-nan,0.000000,-nan,0.000000,70.110983,49.110751,-nan,0.000000,72.853950,11.942476,6.949650,2.834358,0.000000,72.853950,6.322802,8.666624,6.737059,10,9
"783",80.730999,189.600000,79.885969,17.378207,1.866299,0.024495,0.845030,80.145263,96.864810,-nan,0.000000,-nan,0.000000,99.459202,2.265665,-nan,0.000000,79.885969,5.474326,10.207700,1.696180,0.000000,79.885969,2.816767,11.891628,2.669812,4,6
"812",79.428454,218.186310,79.343315,20.097965,0.000000,0.473582,0.085138,64.366235,48.576609,-nan,0.000000,-nan,0.000000,94.518218,50.864672,-nan,0.000000,79.343315,10.120799,5.283909,4.624080,0.069177,79.343315,7.167564,1.968823,10.961578,5,8
"849",88.207850,174.200000,87.661341,8.610829,3.174655,0.006666,0.546509,88.675882,96.187773,-nan,0.000000,-nan,0.000000,72.597323,3.259053,-nan,0.000000,87.661341,5.824983,1.572850,1.212997,0.000000,87.661341,5.824983,2.552590,0.233256,5,6
"886",84.601658,219.377600,84.273540,14.749463,0.580079,0.068800,0.328119,86.195954,97.210987,-nan,0.000000,-nan,0.000000,20.133061,2.392095,-nan,0.000000,84.273540,6.001398,6.350689,2.386790,0.010588,84.273540,3.376447,7.610250,3.762767,7,11
"905",98.078355,174.000000,97.157564,1.861591,0.000000,0.060054,0.920791,98.245145,95.436075,-nan,0.000000,-nan,0.000000,94.785882,3.583080,-nan,0.000000,97.157564,0.193496,1.594696,0.073399,0.000000,97.157564,0.000000,1.668095,0.193496,4,4
"958",47.468785,290.000000,46.756173,52.332984,0.002064,0.196167,0.712612,65.364264,2.253931,-nan,0.000000,-nan,0.000000,46.761849,96.837290,-nan,0.000000,46.756173,47.576883,3.491014,1.241065,0.024021,46.756173,46.976366,2.177884,3.178734,5,10
"969",53.424942,174.915900,51.851863,46.203356,0.000000,0.371702,1.573079,71.088261,67.151225,-nan,0.000000,-nan,0.000000,45.264970,7.639717,2.824543,23.264277,51.851863,11.383248,15.199807,19.474278,0.146023,51.851863,9.106602,10.553581,26.543174,10,15
"978",43.121674,627.606710,42.608303,56.195723,0.399574,0.283029,0.513371,21.548859,38.553386,-nan,0.000000,93.997075,1.263466,34.733047,2.599083,56.720286,56.787664,42.608303,38.396122,5.083497,7.680727,0.591963,42.608303,35.465924,2.880272,17.849527,11,17
"987",85.086803,148.461240,81.017304,14.772430,0.101665,0.039102,4.069499,84.488603,95.891399,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.017304,0.000000,14.256294,0.516136,0.000000,81.017304,0.000000,14.772430,0.000000,6,6
"995",65.002665,228.600000,64.728414,34.768791,0.000000,0.228544,0.274251,81.195251,76.835923,-nan,0.000000,-nan,0.000000,98.294541,2.381916,0.000000,20.279366,64.728414,2.493653,12.879477,19.395662,0.000000,64.728414,0.822754,13.062308,20.883729,7,7
"1012",74.168557,264.966690,73.406145,25.774480,0.000000,0.056963,0.762411,80.338693,75.281561,-nan,0.000000,-nan,0.000000,54.085477,23.899064,-nan,0.000000,73.406145,14.785199,6.905561,3.711277,0.039435,73.406145,6.086152,8.675744,11.012585,8,15
"1114",73.507425,179.150560,72.133544,25.773234,0.000000,0.719342,1.373881,77.145974,88.386824,-nan,0.000000,-nan,0.000000,0.000000,3.181966,62.270047,6.337987,72.133544,13.933238,7.400799,2.786655,0.071283,72.133544,12.300127,8.483072,4.990035,9,14
"1212",51.079099,191.200000,47.897285,48.285790,0.610822,0.024290,3.181814,37.471568,76.713217,-nan,0.000000,-nan,0.000000,95.373465,20.080680,-nan,0.000000,47.897285,20.378146,27.780130,0.127514,0.000000,47.897285,0.856175,27.676910,19.752705,4,5
"1218",82.129376,186.000000,76.469804,14.562400,0.000000,3.308224,5.659571,84.224966,81.906505,-nan,0.000000,-nan,0.000000,82.011015,9.125699,-nan,0.000000,76.469804,7.565203,1.217173,4.918638,0.000000,76.469804,6.341797,2.865056,5.355547,10,15
"1225",50.967109,129.400010,49.190617,48.799618,0.233273,0.000000,1.776491,76.104858,49.450831,-nan,0.000000,23.693866,48.772678,-nan,0.000000,-nan,0.000000,49.190617,34.865841,2.853154,10.649969,0.430655,49.190617,34.865841,5.141056,8.792722,6,6
"1235",80.551155,219.200000,78.992322,19.136350,0.000000,0.312495,1.558833,84.926053,75.930949,89.323792,11.906583,-nan,0.000000,37.622196,10.291141,-nan,0.000000,78.992322,12.277334,3.792312,3.066703,0.000000,78.992322,11.488153,2.838936,4.809260,7,11
"1239",85.242413,158.400010,84.274915,13.698919,1.007359,0.051309,0.967498,91.910659,80.136977,-nan,0.000000,-nan,0.000000,73.515973,14.446508,0.000000,4.397708,84.274915,6.867772,6.266777,0.564370,0.000000,84.274915,0.527726,6.567287,6.603906,9,8
"1282",64.957035,239.800000,62.513767,34.921925,0.000000,0.121040,2.443268,81.069709,56.573236,-nan,0.000000,-nan,0.000000,40.746472,40.862456,-nan,0.000000,62.513767,21.118736,5.688825,7.819043,0.295320,62.513767,13.914550,6.734587,14.272788,7,12
