MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",77.429351,218.800000,77.246536,20.118912,2.422303,0.029433,0.182815,77.536369,78.095969,-nan,0.000000,-nan,0.000000,76.958899,21.691782,-nan,0.000000,77.246536,12.267569,3.738803,4.066837,0.045704,77.246536,7.658702,4.383720,8.076490,5,13
"25",57.402794,251.400010,52.589747,37.420711,5.131269,0.045227,4.813047,66.776571,40.296848,-nan,0.000000,0.000000,6.797868,89.202620,28.789394,0.000000,19.257617,52.589747,27.495572,1.098556,8.593771,0.232812,52.589747,27.305214,7.901265,2.214232,10,15
"37",54.182230,164.600000,49.139702,44.610668,1.093560,0.113542,5.042527,51.811120,94.843931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.139702,30.292060,8.275122,5.678967,0.364520,49.139702,29.599557,12.289891,2.721221,3,11
"43",66.480356,204.800000,65.958813,31.355640,2.164004,0.000000,0.521543,76.008633,84.410430,-nan,0.000000,-nan,0.000000,10.836164,14.880952,100.000000,0.187075,65.958813,23.695293,3.446631,3.819209,0.394507,65.958813,22.150669,6.305664,2.899307,15,26
"74",42.210481,180.800000,38.132860,51.634840,6.154679,0.000000,4.077622,55.124513,64.259403,-nan,0.000000,22.154903,12.232854,-nan,0.000000,0.000000,19.430122,38.132860,10.471980,22.079342,18.806969,0.000000,38.132860,10.552572,19.447622,21.634646,5,17
"78",30.045706,259.664030,25.892004,53.006714,16.947580,0.000000,4.153702,42.285522,56.577983,-nan,0.000000,-nan,0.000000,0.000000,8.448671,6.384590,30.819644,25.892004,10.454602,18.748688,23.500818,0.302606,25.892004,10.552655,17.556209,24.897850,6,21
"92",40.884074,243.000000,38.173770,52.690428,6.425498,0.000000,2.710305,51.499745,50.357683,-nan,0.000000,-nan,0.000000,26.079622,46.932012,-nan,0.000000,38.173770,35.151276,7.442580,9.609597,0.486975,38.173770,26.134700,9.713091,16.842638,4,22
"99",30.030488,276.600000,25.280174,63.042314,1.468051,5.459147,4.750315,55.771402,37.923420,-nan,0.000000,-nan,0.000000,7.962175,51.867119,-nan,0.000000,25.280174,52.820644,4.525904,5.659613,0.036153,25.280174,43.349740,5.989664,13.702910,8,19
"114",41.138213,245.400010,39.222973,48.454468,7.416467,2.990852,1.915240,52.010323,74.901802,-nan,0.000000,-nan,0.000000,1.318852,20.192106,-nan,0.000000,39.222973,5.371169,19.239836,23.337037,0.506426,39.222973,4.972636,26.017542,17.464290,6,24
"147",80.087633,116.600000,77.109605,19.374099,0.538268,0.000000,2.978027,79.476436,97.021973,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.109605,9.885840,8.441947,1.046312,0.000000,77.109605,9.371261,8.482161,1.520678,4,15
"159",6.428571,154.000000,6.233766,82.640721,10.454545,0.476162,0.194805,-nan,0.000000,-nan,0.000000,6.275875,99.329032,-nan,0.000000,-nan,0.000000,6.233766,68.784740,8.181818,2.157422,3.516740,6.233766,76.864636,0.000000,5.776084,3,11
"170",65.449177,283.000000,65.387640,33.375611,1.175212,0.000000,0.061537,88.460077,16.600965,-nan,0.000000,-nan,0.000000,60.839855,83.337498,-nan,0.000000,65.387640,27.873678,4.931866,0.543883,0.026184,65.387640,28.426127,1.224152,3.725332,5,16
"209",72.504141,256.000000,71.879141,25.016230,2.265625,0.214004,0.625000,72.487312,99.160996,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.879141,1.548707,13.159094,10.308430,0.000000,71.879141,0.888203,22.594355,1.533672,5,19
"236",50.641598,455.302340,48.418042,47.132457,2.225945,0.000000,2.223555,74.828588,59.111585,-nan,0.000000,-nan,0.000000,10.825535,38.664859,-nan,0.000000,48.418042,36.323299,6.904851,3.904307,0.000000,48.418042,31.012002,4.867456,11.252999,8,23
"322",70.601617,133.000000,66.781113,28.632421,0.765962,0.000000,3.820504,69.433835,96.179496,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.781113,17.885008,7.111346,3.636068,0.000000,66.781113,17.885008,9.534677,1.212737,4,10
"329",53.056570,207.583960,50.590099,44.954846,1.988583,0.000000,2.466472,5.020620,4.797543,-nan,0.000000,-nan,0.000000,28.415456,42.545214,76.228786,50.190771,50.590099,36.724904,4.017950,4.211992,0.000000,50.590099,40.443308,3.370313,1.141225,5,9
"332",64.934973,221.743990,64.832873,31.760496,0.000000,0.655711,2.750920,75.864327,80.025163,-nan,0.000000,-nan,0.000000,89.163090,4.623350,0.000000,11.944856,64.832873,16.581284,10.614488,4.564723,0.000000,64.832873,8.897648,10.390807,12.472040,5,13
"377",66.921494,156.000000,51.329571,30.209417,2.164487,0.704603,15.591923,59.552631,79.893013,-nan,0.000000,-nan,0.000000,98.444229,3.810462,-nan,0.000000,51.329571,26.658750,2.149968,1.400699,0.000000,51.329571,27.160756,1.989750,1.058910,6,15
"382",77.809533,265.400000,73.601243,16.413828,5.776639,0.000000,4.208289,87.279659,75.931375,-nan,0.000000,-nan,0.000000,36.900678,19.860335,-nan,0.000000,73.601243,9.995298,3.210324,3.208206,0.000000,73.601243,10.165629,4.884050,1.364148,11,19
"414",73.690902,194.688810,72.796397,23.843625,2.465473,0.000000,0.894504,86.605219,80.553520,0.000000,4.561952,0.000000,7.800073,48.996278,6.189950,-nan,0.000000,72.796397,11.641979,7.777473,3.588470,0.424791,72.796397,10.352891,6.375030,7.115704,14,15
"430",52.586066,286.000000,51.981210,42.494315,4.919619,0.000000,0.604857,55.209432,91.406185,-nan,0.000000,-nan,0.000000,22.129360,6.852318,0.000000,1.136640,51.981210,8.639668,21.990129,11.864517,0.000000,51.981210,7.099182,30.230413,5.164720,7,14
"444",60.726163,165.400010,59.637892,34.946382,4.292630,0.034825,1.088271,65.585992,81.073302,-nan,0.000000,26.386990,13.732399,69.797454,4.071203,-nan,0.000000,59.637892,24.343288,4.587170,1.602382,0.000000,59.637892,24.422369,3.764480,6.759534,8,25
"481",51.853109,239.000000,51.357619,46.843218,1.303674,0.000000,0.495490,52.331631,56.412828,-nan,0.000000,-nan,0.000000,51.949712,42.032699,0.000000,1.058983,51.357619,27.291766,10.793485,6.898996,0.938469,51.357619,25.750803,10.592339,10.500075,14,36
"503",49.399150,271.800020,47.374875,31.322691,19.278159,0.000000,2.024275,60.337371,74.781411,-nan,0.000000,-nan,0.000000,9.716769,23.194314,-nan,0.000000,47.374875,17.540694,6.976670,6.210349,0.594978,47.374875,14.319392,10.039808,6.963491,3,22
"517",59.057296,191.941280,58.470570,38.973211,1.969493,0.000000,0.586726,74.732191,42.824899,-nan,0.000000,22.678486,8.316981,50.921295,48.271393,-nan,0.000000,58.470570,28.493568,7.758440,1.463422,0.000000,58.470570,28.924356,1.305665,8.743190,6,22
"591",47.949490,155.457650,46.455835,49.794037,2.256473,0.000000,1.493654,87.112948,42.725913,-nan,0.000000,0.004710,46.430176,98.754995,9.350257,-nan,0.000000,46.455835,43.444649,5.464749,0.884640,0.000000,46.455835,42.582234,3.050484,4.161320,5,9
"709",45.337363,317.000000,45.084997,52.453748,1.955836,0.253054,0.252366,75.111064,7.031909,52.726965,26.622716,6.485114,13.254426,-nan,0.000000,47.363487,52.585530,45.084997,21.989353,16.299249,7.851760,5.146192,45.084997,34.075524,5.290259,13.087965,16,36
"723",72.163769,186.000000,62.896371,25.221909,2.614323,0.000000,9.267398,67.346471,53.212382,-nan,0.000000,-nan,0.000000,72.120338,37.520220,-nan,0.000000,62.896371,7.990108,12.931817,3.816113,0.000000,62.896371,4.757823,6.816441,13.647645,6,21
