MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",80.713629,218.800000,80.501380,17.716170,1.570201,0.000000,0.212249,95.321038,61.996942,0.000000,10.378940,0.000000,0.880832,96.738666,22.126883,0.000000,4.404154,80.501380,15.555928,1.455489,0.656312,0.048441,80.501380,14.627381,1.103135,1.985654,9,5
"25",65.067802,251.400010,58.363244,32.885758,2.046440,0.000000,6.704558,70.269668,41.332258,0.000000,0.600358,0.000000,4.461110,62.512005,46.901717,-nan,0.000000,58.363244,4.273751,26.278778,2.333230,0.000000,58.363244,3.616615,26.935452,2.333691,10,7
"37",48.848129,164.600000,44.461738,50.362047,0.619684,0.170140,4.386391,53.102787,83.727691,-nan,0.000000,0.000000,11.715778,-nan,0.000000,-nan,0.000000,44.461738,37.808991,10.231932,2.321124,0.000000,44.461738,34.570535,10.231932,5.559581,3,3
"43",64.381572,204.800000,63.863994,34.203330,1.411133,0.003965,0.517578,89.622958,71.258521,0.000000,1.507930,0.000000,9.399087,-nan,0.000000,0.000000,17.312920,63.863994,21.765815,2.638252,9.330674,0.468589,63.863994,19.869590,3.882583,10.451157,15,14
"74",46.692815,180.800000,42.876444,51.834652,1.211283,0.261250,3.816372,62.239660,68.889264,-nan,0.000000,0.000000,17.529347,-nan,0.000000,0.000000,9.503767,42.876444,10.922533,1.800503,38.635741,0.475874,42.876444,10.928379,25.752865,15.153407,6,8
"78",44.023682,257.284000,39.831556,48.593340,7.382978,0.000000,4.192126,75.049474,48.444528,0.000000,9.322842,0.000000,0.929576,46.802437,7.423101,0.000000,29.687827,39.831556,23.870198,9.355588,13.762166,1.605389,39.831556,8.151898,5.141793,35.299649,7,9
"92",67.608144,243.000000,66.920144,28.051049,4.340807,0.000000,0.688000,90.406855,25.728292,0.000000,0.496893,-nan,0.000000,64.881998,67.291399,0.000000,5.795416,66.920144,14.308654,10.768267,2.974128,0.000000,66.920144,10.151918,10.318296,7.580835,7,12
"99",31.450430,276.600000,26.841114,62.434555,0.940213,5.174801,4.609317,78.713886,34.099591,0.000000,4.642314,0.000000,9.276229,-nan,0.000000,0.000000,42.197748,26.841114,54.589089,4.175470,3.530362,0.139635,26.841114,51.549729,2.122343,8.762484,10,9
"114",62.507874,245.400010,61.049032,31.294261,2.750615,3.447249,1.458843,69.792499,87.472197,-nan,0.000000,0.000000,7.621711,-nan,0.000000,-nan,0.000000,61.049032,3.159735,13.540105,14.594421,0.000000,61.049032,3.159735,23.684221,4.450305,6,5
"147",61.045360,116.600000,60.676947,36.004014,2.950626,0.000000,0.368413,90.992364,66.683559,-nan,0.000000,0.000000,27.242599,0.000000,4.888945,0.000000,0.816484,60.676947,28.886398,5.501621,1.615995,0.000000,60.676947,25.290866,2.956938,7.756209,12,6
"159",2.582903,154.000000,0.000000,76.058013,4.657357,16.701727,2.582903,-nan,0.000000,-nan,0.000000,0.000000,80.715370,-nan,0.000000,-nan,0.000000,0.000000,55.751799,5.295273,14.091981,0.918961,0.000000,60.747143,0.000000,15.310870,4,9
"170",84.867439,273.874590,84.809018,14.541115,0.387038,0.204407,0.058421,93.813538,20.363160,0.000000,2.217080,-nan,0.000000,88.554440,74.197993,0.000000,2.958938,84.809018,11.585160,2.769198,0.186757,0.000000,84.809018,11.475511,0.602962,2.462642,8,8
"209",85.963996,219.741960,85.372393,7.722057,1.410746,4.903201,0.591603,93.304277,91.498906,-nan,0.000000,0.000000,3.006290,-nan,0.000000,-nan,0.000000,85.372393,2.511605,2.135673,3.074779,0.000000,85.372393,2.469856,4.674019,0.578183,6,5
"236",52.588189,499.292550,50.560540,45.762249,1.649562,0.000000,2.027649,94.370381,36.248875,-nan,0.000000,-nan,0.000000,41.208359,39.682092,0.000000,22.041384,50.560540,27.269474,5.997846,12.466599,0.028330,50.560540,22.089270,2.232018,21.440961,12,10
"322",66.324105,133.000000,65.722602,30.484684,3.172932,0.018278,0.601504,89.385725,73.526955,-nan,0.000000,0.000000,25.853263,-nan,0.000000,-nan,0.000000,65.722602,23.194850,4.646707,1.392895,1.250233,65.722602,23.148617,5.270519,2.065549,6,6
"329",2.576587,251.400010,0.000000,96.646774,0.772661,0.003978,2.576587,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,97.419435,0.000000,91.381389,4.218218,0.856237,0.190931,0.000000,94.606217,0.000000,2.040557,2,7
"332",44.941285,266.797000,44.941285,52.059431,0.002624,0.822723,2.173937,97.536896,44.723516,0.000000,21.698520,0.000000,8.789829,6.579070,20.053824,0.000000,1.737651,44.941285,41.659389,1.567109,8.832933,0.000000,44.941285,30.585801,1.917188,19.556442,9,4
"377",45.593348,148.917930,35.574407,46.637823,5.298220,2.470609,10.018941,83.661380,37.762726,-nan,0.000000,0.000000,45.756048,99.747322,3.991675,-nan,0.000000,35.574407,43.947401,1.329088,1.354833,0.006500,35.574407,43.947401,1.587922,1.102500,8,6
"382",52.100472,261.232010,47.825039,43.124765,4.774763,0.000000,4.275433,94.453699,42.176550,0.000000,29.419821,0.000000,4.648768,52.567789,15.195098,0.000000,4.284329,47.825039,29.312537,6.436922,6.232280,1.143026,47.825039,28.499934,2.279001,12.345830,17,13
"414",88.913553,185.621420,88.417921,10.024339,0.619541,0.442567,0.495632,92.029921,92.581982,0.000000,1.619953,-nan,0.000000,99.802981,3.221142,0.000000,1.638723,88.417921,3.653280,5.799805,0.571254,0.000000,88.417921,3.647990,6.343066,0.033283,11,9
"430",68.088196,286.000000,66.220916,30.580825,0.758594,0.572385,1.867280,71.037754,92.417035,-nan,0.000000,0.000000,2.865962,25.026139,2.277339,-nan,0.000000,66.220916,5.965703,19.310829,5.304294,0.000000,66.220916,5.566091,21.997021,3.017713,8,9
"444",77.909058,158.584950,76.737698,19.781511,2.309431,0.000000,1.171360,90.241524,85.035907,-nan,0.000000,0.000000,13.792734,-nan,0.000000,-nan,0.000000,76.737698,16.217605,0.811281,2.743646,0.008979,76.737698,14.771004,1.290545,3.719962,8,8
"481",20.500581,223.988290,19.971883,78.376245,1.123175,0.000000,0.528697,83.873001,23.812053,0.000000,38.496338,-nan,0.000000,0.000000,1.181794,0.000000,35.981118,19.971883,68.205208,6.960730,2.786485,0.423821,19.971883,64.465861,1.866888,12.043496,16,14
"503",62.424491,271.800020,54.624691,22.626536,12.741044,2.207928,7.799801,77.962151,70.065653,-nan,0.000000,-nan,0.000000,0.000000,2.900357,0.000000,17.026261,54.624691,15.115558,3.253197,4.257781,0.000000,54.624691,12.225124,5.279731,5.121681,5,6
"517",62.519225,189.131680,60.919191,37.199347,0.012600,0.268829,1.600033,97.704000,30.435028,0.000000,2.995606,0.000000,25.806549,96.373480,32.356361,0.000000,6.537593,60.919191,29.407368,6.883463,0.831304,0.077211,60.919191,34.310830,0.789466,2.099051,8,8
"591",77.199994,181.371090,75.942902,21.451798,0.652927,0.695282,1.257091,76.496087,85.360390,-nan,0.000000,0.000000,2.016391,99.762889,10.670846,-nan,0.000000,75.942902,3.014979,17.344109,1.092710,0.000000,75.942902,2.322537,18.041607,1.087654,5,7
"709",6.751177,307.758480,5.108906,92.411169,0.499018,0.338636,1.642272,8.635425,29.779592,0.000000,24.434007,0.000000,11.524790,84.709286,2.995316,0.000000,29.285386,5.108906,54.126973,1.578101,35.299840,1.406255,5.108906,46.735411,6.458870,39.216889,13,14
"723",77.422947,185.628480,74.600104,15.412570,7.154075,0.010408,2.822843,73.145914,56.719443,-nan,0.000000,-nan,0.000000,81.864907,40.447306,-nan,0.000000,74.600104,8.730331,6.664355,0.017885,0.000000,74.600104,1.125749,6.629015,7.657807,7,8
"736",13.725051,512.185790,13.385037,80.999813,5.275137,0.000000,0.340013,27.518126,24.297314,0.000000,44.058840,-nan,0.000000,75.332105,8.892453,0.000000,22.411379,13.385037,41.283691,9.557518,29.642177,0.516426,13.385037,39.739127,14.099044,27.161642,13,20
"765",50.459145,130.857250,46.024802,46.166445,1.961939,1.412470,4.434344,94.452825,43.120011,-nan,0.000000,0.000000,8.916625,12.576371,42.116551,-nan,0.000000,46.024802,45.584796,0.138303,0.353523,0.089823,46.024802,8.770359,0.176811,37.219275,6,4
"769",63.509418,275.000000,60.779924,36.041895,0.448687,0.000000,2.729495,90.711722,53.460775,0.000000,9.393524,-nan,0.000000,92.404751,13.294484,0.000000,21.121724,60.779924,33.369993,2.390371,0.281531,0.000000,60.779924,28.834938,2.498731,4.708225,10,7
"770",68.158164,213.000000,67.536784,20.430352,11.411484,0.000000,0.621380,67.474590,56.567272,-nan,0.000000,0.000000,2.011310,71.980936,40.800038,-nan,0.000000,67.536784,13.950362,4.509075,1.970915,0.000000,67.536784,5.638728,5.417826,9.373798,9,8
"783",81.731050,185.768700,78.463546,16.794293,0.000000,1.474656,3.267504,82.240502,92.945448,-nan,0.000000,-nan,0.000000,87.560584,2.312392,-nan,0.000000,78.463546,3.467958,8.330036,4.996299,0.000000,78.463546,2.010010,12.147106,2.637177,4,9
"812",59.976793,216.815610,59.838427,39.390485,0.000000,0.632722,0.138366,65.271062,28.101819,-nan,0.000000,-nan,0.000000,74.235170,55.898129,0.000000,15.228963,59.838427,15.049654,10.850616,13.070503,0.419711,59.838427,11.386906,11.482001,16.521578,4,10
"849",33.042233,174.200000,28.613766,60.541447,1.754082,4.662239,4.428467,98.160444,26.792268,-nan,0.000000,0.000000,61.084575,76.319680,3.032451,-nan,0.000000,28.613766,53.147842,0.220758,7.172847,0.000000,28.613766,53.147842,0.358094,7.035511,7,5
"886",84.358817,228.665570,83.978021,13.935963,1.705220,0.000000,0.380796,93.911547,89.165107,0.000000,4.071969,0.000000,4.087196,10.531431,2.294932,-nan,0.000000,83.978021,9.305179,2.903235,1.120986,0.606563,83.978021,7.818400,3.432309,2.685253,8,8
"905",89.835917,170.528620,88.839017,7.468541,2.691630,0.003911,0.996900,92.964621,92.143295,-nan,0.000000,-nan,0.000000,46.359417,6.855893,-nan,0.000000,88.839017,3.683405,3.777501,0.007635,0.000000,88.839017,0.000000,3.785136,3.683405,6,4
"958",7.059169,290.000000,6.152272,92.269983,0.668966,0.001883,0.906897,91.645357,2.446090,-nan,0.000000,-nan,0.000000,86.826213,4.503876,0.000000,92.141255,6.152272,86.996641,3.293534,1.979807,0.000000,6.152272,86.407017,0.579779,5.283186,8,9
"969",68.432982,150.918120,68.095050,31.161202,0.397567,0.008250,0.337932,89.857434,72.213250,-nan,0.000000,0.000000,9.693044,18.064921,17.747524,-nan,0.000000,68.095050,14.041064,3.969815,13.136560,0.013762,68.095050,14.036393,7.299972,9.824837,13,9
"978",4.033330,654.483830,3.980112,92.080906,3.885764,0.000000,0.053218,20.038903,11.709606,0.000000,12.033382,0.000000,21.212507,19.262132,8.481073,0.000000,46.510214,3.980112,71.180703,7.178497,13.252022,0.469685,3.980112,64.693391,8.049190,19.338325,13,11
"987",65.379578,161.000000,65.083919,30.605522,4.014901,0.000000,0.295658,65.276916,99.704342,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.083919,0.000000,28.447901,2.157621,0.000000,65.083919,0.000000,30.605522,-0.000000,6,6
"995",57.857419,228.600000,57.551207,40.393583,1.745407,0.003591,0.306212,59.161069,93.316395,0.000000,3.991885,-nan,0.000000,98.417832,2.381916,-nan,0.000000,57.551207,3.179974,35.599059,1.614549,0.000000,57.551207,3.142288,35.510516,1.740779,7,6
"1012",49.921962,234.641360,48.996690,49.720501,0.357537,0.000000,0.925272,81.167157,60.365168,0.000000,1.593244,0.000000,5.680286,-nan,0.000000,0.000000,31.436031,48.996690,36.283194,12.097326,1.331543,0.008438,48.996690,26.699287,10.254394,12.766820,10,8
"1114",55.658138,170.547550,53.881507,43.620644,0.299037,0.422181,1.776631,91.082011,56.359051,0.000000,23.016068,-nan,0.000000,25.368609,10.046078,0.000000,8.379991,53.881507,38.209555,0.536003,4.698584,0.176502,53.881507,25.820547,4.745316,13.054781,11,9
"1212",97.631846,191.200000,94.425743,1.688274,0.679880,0.000000,3.206104,99.813620,55.766757,-nan,0.000000,-nan,0.000000,94.481176,41.027139,-nan,0.000000,94.425743,0.746072,0.054137,0.888065,0.000000,94.425743,0.000000,0.054137,1.634137,2,3
"1218",73.086495,186.000000,72.737032,20.353414,6.553763,0.006328,0.349462,85.761122,74.214613,-nan,0.000000,0.000000,14.056806,79.925393,11.372790,-nan,0.000000,72.737032,17.153263,1.837989,1.362161,0.000000,72.737032,13.793855,2.474140,4.085419,15,13
"1225",28.933213,129.400010,25.008947,68.163781,0.627519,2.275487,3.924266,80.827104,30.941288,-nan,0.000000,0.000000,62.858960,-nan,0.000000,-nan,0.000000,25.008947,54.690112,5.304822,6.404204,1.764644,25.008947,54.690112,5.304822,8.168848,6,3
