MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",88.846769,218.800000,88.634520,9.583030,1.570201,0.000000,0.212249,-nan,0.000000,-nan,0.000000,0.000000,4.855174,93.865668,73.240795,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.677844,21.691782,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.837267,4.769113,1.460910,3.150261,0.000000,88.634520,0.202747,2.016476,7.363807,6,5
"25",62.395467,251.400010,57.537193,33.711809,3.892725,0.000000,4.858273,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.200170,40.296848,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.797868,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.797549,28.789394,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.257617,57.537193,24.278460,2.900219,6.506106,0.027025,57.537193,23.905604,7.746026,2.060179,10,7
"37",58.451215,164.600000,54.064824,40.159423,0.619684,0.769678,4.386391,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.003989,94.843931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.064824,28.414338,11.745085,0.000000,0.000000,54.064824,27.298882,11.745085,1.115456,3,3
"43",84.627246,204.800000,84.109668,13.957656,1.411133,0.003965,0.517578,-nan,0.000000,-nan,0.000000,0.000000,1.678003,85.178493,82.732427,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.656995,14.880952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.187075,84.857949,2.464443,1.339648,9.405283,0.000000,84.109668,0.761182,9.583838,3.612637,17,14
"74",47.213905,180.800000,43.397533,51.313562,1.211283,0.261250,3.816372,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.534915,64.259403,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,12.232854,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.430122,43.397533,11.143982,20.077688,20.091892,0.000000,43.397533,11.143982,20.092467,20.077113,5,8
"78",40.462104,259.664030,36.308402,52.222589,7.315307,0.000000,4.153702,-nan,0.000000,0.000000,0.693030,0.000000,5.995805,72.778157,49.889147,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.448671,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,30.819644,36.984499,13.101722,21.845771,16.598999,0.000000,36.308402,6.189679,5.494288,40.538622,8,10
"92",65.748720,243.000000,63.038416,31.932778,2.318502,0.000000,2.710305,-nan,0.000000,-nan,0.000000,0.000000,2.011436,51.780444,48.346247,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.977807,46.932012,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.379979,19.550181,2.049671,9.991362,0.000000,63.038416,4.155276,2.388440,25.389062,5,12
"99",59.421739,276.600000,54.667809,34.327129,0.795600,5.455531,4.753930,-nan,0.000000,-nan,0.000000,0.000000,1.548836,61.648847,36.374584,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.165198,51.867119,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.190709,25.587813,2.934309,4.282108,0.000000,54.667809,16.099704,4.212375,14.015051,9,9
"114",48.040267,245.400010,46.581424,45.761869,2.750615,3.447249,1.458843,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.189991,74.901802,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,20.192106,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.581424,4.054238,20.835341,20.872289,0.000000,46.581424,3.634515,25.785737,16.341617,6,5
"147",95.452599,116.600000,92.474571,4.206389,0.341012,0.000000,2.978027,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.313019,97.021973,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.474571,0.000000,3.721561,0.484828,0.000000,92.474571,0.000000,3.014280,1.192110,4,6
