MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",76.354680,218.800000,76.171865,21.193583,2.422303,0.029433,0.182815,-nan,0.000000,-nan,0.000000,0.000000,4.855174,81.208987,73.240795,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.958899,21.691782,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.246536,12.267569,3.738803,4.066837,0.045704,76.171865,8.733373,3.968780,8.491431,6,15
"25",56.050268,251.400010,51.237222,38.773236,5.131269,0.045227,4.813047,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.776571,40.296848,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.797868,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.504620,28.789394,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.257617,52.589747,27.495572,1.098556,8.593771,0.232812,51.237222,28.657740,7.782331,2.333166,10,20
"37",54.182230,164.600000,49.139702,44.610668,1.093560,0.113542,5.042527,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.811120,94.843931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.139702,30.292060,8.275122,5.678967,0.364520,49.139702,29.599557,12.289891,2.721221,3,11
"43",66.480356,204.800000,65.958813,31.355640,2.164004,0.000000,0.521543,-nan,0.000000,-nan,0.000000,36.318983,1.678003,76.813630,82.732427,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.836164,14.880952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,0.187075,65.958813,23.695293,3.446631,3.819209,0.394507,65.958813,22.150669,5.278818,3.926152,17,29
"74",42.210481,180.800000,38.132860,51.634840,6.154679,0.000000,4.077622,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.124513,64.259403,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,22.154903,12.232854,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.430122,38.132860,10.471980,22.079342,18.806969,0.000000,38.132860,10.552572,19.447622,21.634646,5,17
"78",29.968683,259.664030,25.814981,53.083737,16.947580,0.000000,4.153702,-nan,0.000000,0.000000,0.693030,0.000000,5.995805,47.800522,49.889147,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.448671,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.384590,30.819644,25.892004,10.454602,18.748688,23.500818,0.302606,25.814981,10.629678,15.523987,26.930072,8,21
"92",40.637160,243.000000,37.926856,52.937342,6.425498,0.000000,2.710305,-nan,0.000000,-nan,0.000000,0.000000,2.011436,53.131662,48.346247,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,26.079622,46.932012,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,38.173770,35.151276,7.442580,9.609597,0.486975,37.926856,26.381613,9.184716,17.371012,5,26
"99",30.030488,276.600000,25.280174,63.042314,1.468051,5.459147,4.750315,-nan,0.000000,-nan,0.000000,81.519019,1.548836,54.675064,36.374584,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,7.962175,51.867119,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,25.280174,52.820644,4.525904,5.659613,0.036153,25.280174,43.349740,5.809114,13.883460,9,22
"114",41.138213,245.400010,39.222973,48.454468,7.416467,2.990852,1.915240,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.010323,74.901802,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,1.318852,20.192106,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.222973,5.371169,19.239836,23.337037,0.506426,39.222973,4.972636,26.017542,17.464290,6,24
"147",79.688336,116.600000,76.710309,19.773396,0.538268,0.000000,2.978027,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.064883,97.021973,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.109605,9.885840,8.441947,1.046312,0.000000,76.710309,9.770557,8.281115,1.721724,4,17
"159",6.428571,154.000000,6.233766,82.640721,10.454545,0.476162,0.194805,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.275875,99.329032,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.233766,68.784740,8.181818,2.157422,3.516740,6.233766,76.864636,0.000000,5.776084,3,11
"170",65.449177,283.000000,65.387640,33.375611,1.175212,0.000000,0.061537,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.460077,16.600965,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.839855,83.337498,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.387640,27.873678,4.931866,0.543883,0.026184,65.387640,28.426127,1.224152,3.725332,5,16
"209",70.058137,256.000000,69.433137,27.462234,2.265625,0.214004,0.625000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.020612,99.160996,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.879141,1.548707,13.159094,10.308430,0.000000,69.433137,3.334207,19.454422,4.673605,5,22
"236",50.382364,455.302340,48.158808,47.391691,2.225945,0.000000,2.223555,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.464349,59.111585,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.711926,38.664859,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.418042,36.323299,6.904851,3.904307,0.000000,48.158808,31.271236,4.768853,11.351602,8,32
"322",70.601617,133.000000,66.781113,28.632421,0.765962,0.000000,3.820504,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.433835,96.179496,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.781113,17.885008,7.111346,3.636068,0.000000,66.781113,17.885008,9.534677,1.212737,4,10
"329",53.056570,207.583960,50.590099,44.954846,1.988583,0.000000,2.466472,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.020620,4.797543,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.415456,42.545214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.228786,50.190771,50.590099,36.724904,4.017950,4.211992,0.000000,50.590099,40.443308,3.370313,1.141225,5,9
