MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",86.347098,218.800000,86.262199,13.525553,0.000000,0.127349,0.084899,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.786494,75.899205,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.528629,96.429408,20.359918,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.878159,4.006204,2.546977,3.470271,0.886140,86.262199,4.823341,4.515588,4.186624,7,8
"25",67.332302,251.400010,62.501738,30.442729,2.197259,0.027710,4.830563,-nan,0.000000,0.000000,4.655063,-nan,0.000000,85.993078,35.970607,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.886324,-nan,0.000000,12.125998,14.510178,-nan,0.000000,80.308085,37.119553,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.501738,1.062169,18.975917,10.404643,0.000000,62.501738,0.000000,2.877091,27.565638,8,8
"37",41.618712,88.275980,33.122573,58.381288,0.000000,0.000000,8.496139,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.198006,91.503861,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.122573,2.104309,7.180929,49.096050,0.000000,33.122573,0.000000,13.888420,44.492867,3,4
"43",40.408160,204.800000,39.965983,58.072565,1.439909,0.079366,0.442177,-nan,0.000000,0.000000,22.528350,0.000000,1.502266,68.456882,50.770981,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.892816,5.283437,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.742627,-nan,0.000000,-nan,0.000000,0.000000,2.256235,4.884071,11.490937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.040484,4.903623,42.885477,22.964830,21.700701,8.599780,1.887759,39.965983,20.804973,12.018139,25.249452,17,18
"74",67.290333,180.800000,64.066766,28.074584,1.148235,3.486848,3.223567,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.197143,60.034098,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.544060,13.188440,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,10.030310,-nan,0.000000,0.000000,10.036737,64.066766,1.875066,1.598930,24.600587,0.000000,64.066766,1.875066,1.348500,24.851017,5,7
"78",35.631361,268.000000,28.700031,62.390638,1.315193,0.662808,6.931330,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.213741,54.787817,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,10.678590,2.379931,26.939455,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.883405,34.240766,10.314691,15.162285,0.229598,28.700031,14.083601,3.028119,45.278918,5,17
"92",26.086598,243.000000,25.398598,71.704768,2.208634,0.000000,0.688000,-nan,0.000000,0.000000,5.351103,0.000000,4.013325,59.298522,20.706852,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.006667,-nan,0.000000,0.000000,41.389807,-nan,0.000000,55.049072,23.832811,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.011436,70.538957,11.332868,2.508332,12.723209,0.000000,25.398598,53.515789,1.161002,17.027976,9,11
"99",22.661728,276.600000,22.082488,72.972987,4.348495,0.016791,0.579240,-nan,0.000000,0.000000,10.837657,-nan,0.000000,28.492402,74.836656,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.533477,13.729657,25.117202,37.432313,20.434289,10.014951,2.056719,22.082488,36.534071,10.998546,25.440370,6,18
"114",17.254115,245.400010,15.834803,81.577352,1.121224,0.047309,1.419313,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.941849,28.305826,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,66.788082,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.439470,16.563386,48.947367,5.937466,25.575990,0.000000,15.834803,51.516328,10.531296,19.529727,9,13
"147",78.461930,116.600000,78.163217,19.884335,1.584034,0.069700,0.298713,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.491891,94.752607,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.878979,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.163217,4.849111,14.965525,0.069699,0.000000,78.163217,4.849111,13.491877,1.543347,7,5
