Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"12",218.800000,92,93,0.965237,0.965480,0.965237,0.965723
"25",251.400010,204,88,0.603947,0.738301,0.603947,0.949533
"37",164.600000,81,81,0.893306,0.894740,0.893306,0.896180
"43",204.800000,134,111,0.848681,0.888890,0.848681,0.933098
"74",180.800000,111,23,0.363438,0.520107,0.363438,0.914198
"78",268.000000,100,136,0.786832,0.828734,0.875349,0.786832
"92",243.000000,31,75,0.684658,0.807649,0.984504,0.684658
"99",276.600000,96,117,0.871720,0.909215,0.950080,0.871720
"114",245.400010,137,123,0.714705,0.720149,0.714705,0.725677
"147",116.600000,43,47,0.941809,0.956722,0.972115,0.941809
"159",154.000000,37,56,0.792883,0.862655,0.945891,0.792883
"170",283.000000,67,79,0.876402,0.904662,0.934805,0.876402
"209",256.000000,118,124,0.948519,0.953181,0.957888,0.948519
"236",533.600040,136,167,0.740084,0.806553,0.886138,0.740084
"322",133.000000,71,65,0.935442,0.940141,0.935442,0.944886
"329",251.400010,27,33,0.944179,0.965990,0.988833,0.944179
"332",266.797000,107,111,0.956555,0.963267,0.970075,0.956555
"377",156.000000,31,36,0.891551,0.933485,0.979559,0.891551
"382",265.400000,53,62,0.913073,0.921348,0.929774,0.913073
"414",229.600000,98,93,0.952157,0.963110,0.952157,0.974317
"430",286.000000,365,281,0.759369,0.835383,0.759369,0.928309
"444",165.400010,43,52,0.910536,0.935459,0.961784,0.910536
"481",239.000000,114,121,0.866622,0.867900,0.866622,0.869181
"503",271.800020,191,179,0.849543,0.870379,0.849543,0.892263
"517",220.200000,142,145,0.879221,0.884049,0.888931,0.879221
"591",222.200000,59,57,0.959447,0.963504,0.959447,0.967595
"709",317.000000,144,176,0.862724,0.905771,0.953339,0.862724
"723",186.000000,79,77,0.908061,0.913979,0.908061,0.919974
"736",570.000000,306,308,0.864098,0.878786,0.893981,0.864098
"765",137.800000,60,67,0.940698,0.960884,0.981955,0.940698
"769",275.000000,107,106,0.947548,0.951342,0.947548,0.955166
"770",213.000000,137,113,0.762448,0.795602,0.762448,0.831770
"783",189.600000,97,106,0.870676,0.885739,0.901331,0.870676
"812",222.400010,234,196,0.775805,0.843854,0.775805,0.924988
"849",174.200000,118,123,0.921436,0.934181,0.947285,0.921436
"886",238.000000,163,157,0.937627,0.951318,0.937627,0.965414
"905",174.000000,66,61,0.928901,0.940936,0.928901,0.953288
"958",290.000000,69,88,0.916263,0.947608,0.981174,0.916263
"969",179.200000,128,82,0.810671,0.887597,0.810671,0.980653
"978",674.000000,278,293,0.875134,0.877927,0.880737,0.875134
"987",161.000000,121,65,0.644031,0.771972,0.644031,0.963346
"995",228.600000,73,76,0.892390,0.902301,0.912435,0.892390
"1012",291.600000,241,156,0.687728,0.801187,0.687728,0.959479
"1114",187.800000,68,66,0.880421,0.916546,0.880421,0.955764
"1212",191.200000,190,25,0.149590,0.259927,0.149590,0.990582
"1218",186.000000,80,81,0.889796,0.902435,0.915439,0.889796
"1225",129.400010,63,55,0.818538,0.841375,0.818538,0.865521
"1235",219.200000,81,66,0.747255,0.844423,0.747255,0.970637
"1239",158.400010,53,56,0.934198,0.943497,0.952983,0.934198
"1282",239.800000,223,174,0.829615,0.881818,0.829615,0.941031
