Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"12",218.800000,92,88,0.964395,0.974788,0.964395,0.985408
"25",251.400010,204,84,0.600255,0.742601,0.600255,0.973446
"37",164.600000,81,68,0.809768,0.854673,0.809768,0.904849
"43",204.800000,134,102,0.822902,0.885130,0.822902,0.957539
"74",180.800000,111,29,0.418678,0.577164,0.418678,0.928722
"78",268.000000,100,135,0.784349,0.829876,0.881015,0.784349
"92",243.000000,31,55,0.737448,0.842118,0.981414,0.737448
"99",276.600000,96,106,0.866761,0.900104,0.936116,0.866761
"114",245.400010,137,128,0.742064,0.743598,0.745139,0.742064
"147",116.600000,43,46,0.956977,0.972121,0.987753,0.956977
"159",154.000000,37,26,0.699271,0.816100,0.699271,0.979796
"170",283.000000,67,75,0.861090,0.896106,0.934090,0.861090
"209",256.000000,118,117,0.948572,0.951195,0.948572,0.953832
"236",533.600040,136,151,0.751233,0.814473,0.889340,0.751233
"322",133.000000,71,65,0.952076,0.961882,0.952076,0.971891
"329",251.400010,27,32,0.847612,0.901491,0.962686,0.847612
"332",266.797000,107,113,0.934275,0.946697,0.959455,0.934275
"377",156.000000,31,34,0.907790,0.937972,0.970231,0.907790
"382",265.400000,53,55,0.901457,0.928501,0.957217,0.901457
"414",229.600000,98,93,0.946956,0.957877,0.946956,0.969053
"430",286.000000,365,299,0.831858,0.890985,0.831858,0.959161
"444",165.400010,43,51,0.900300,0.933734,0.969747,0.900300
"481",239.000000,114,118,0.841978,0.853501,0.841978,0.865344
"503",271.800020,191,179,0.840245,0.854687,0.840245,0.869633
"517",220.200000,142,132,0.903965,0.930039,0.903965,0.957662
"591",222.200000,59,64,0.924028,0.937475,0.951318,0.924028
"709",317.000000,144,155,0.903271,0.926415,0.950777,0.903271
"723",186.000000,79,78,0.935146,0.940823,0.946569,0.935146
"736",570.000000,306,254,0.836509,0.855506,0.836509,0.875386
"765",137.800000,60,62,0.973039,0.977401,0.981801,0.973039
"769",275.000000,107,105,0.954044,0.961760,0.954044,0.969602
"770",213.000000,137,108,0.763167,0.817906,0.763167,0.881104
"783",189.600000,97,119,0.856896,0.890038,0.925846,0.856896
"812",222.400010,234,222,0.903528,0.928453,0.903528,0.954791
"849",174.200000,118,123,0.891631,0.926748,0.964744,0.891631
"886",238.000000,163,162,0.934633,0.938180,0.934633,0.941755
"905",174.000000,66,58,0.945153,0.962639,0.945153,0.980784
"958",290.000000,69,80,0.938147,0.952147,0.966571,0.938147
"969",179.200000,128,89,0.797992,0.862020,0.797992,0.937221
"978",674.000000,278,278,0.904364,0.907565,0.904364,0.910789
"987",161.000000,121,89,0.784530,0.863781,0.784530,0.960843
"995",228.600000,73,78,0.927323,0.941723,0.956577,0.927323
"1012",291.600000,241,201,0.827868,0.885581,0.827868,0.951943
"1114",187.800000,68,64,0.908381,0.937493,0.908381,0.968533
"1212",191.200000,190,26,0.160730,0.276685,0.160730,0.993199
"1218",186.000000,80,82,0.878158,0.899623,0.922163,0.878158
"1225",129.400010,63,57,0.813110,0.840088,0.813110,0.868917
"1235",219.200000,81,75,0.916474,0.941612,0.916474,0.968168
"1239",158.400010,53,59,0.924945,0.944777,0.965478,0.924945
"1282",239.800000,223,184,0.842989,0.877208,0.842989,0.914322
