Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"12",218.800000,93,146,0.872697,0.905402,0.940653,0.872697
"25",251.400010,287,167,0.554666,0.683907,0.554666,0.891674
"37",164.600000,80,130,0.815497,0.847245,0.881566,0.815497
"43",204.800000,121,199,0.826092,0.874717,0.929426,0.826092
"74",180.800000,114,142,0.654686,0.705370,0.654686,0.764559
"78",268.000000,134,420,0.594788,0.698235,0.845240,0.594788
"92",243.000000,171,295,0.636498,0.721390,0.832412,0.636498
"99",276.600000,109,240,0.708114,0.795542,0.907601,0.708114
"114",245.400010,147,290,0.575215,0.670551,0.803768,0.575215
"147",116.600000,63,102,0.763213,0.827632,0.903928,0.763213
"159",154.000000,52,110,0.648218,0.749074,0.887097,0.648218
"170",283.000000,67,181,0.682852,0.799743,0.964918,0.682852
"209",256.000000,270,256,0.748128,0.771508,0.748128,0.796398
"236",533.600040,145,415,0.648547,0.730145,0.835232,0.648547
"322",133.000000,72,120,0.712026,0.796886,0.904709,0.712026
"329",251.400010,23,196,0.388863,0.558029,0.987710,0.388863
"332",266.797000,175,170,0.762512,0.796531,0.762512,0.833726
"377",156.000000,82,88,0.851845,0.862636,0.851845,0.873705
"382",265.400000,86,109,0.855222,0.857263,0.855222,0.859314
"414",229.600000,103,132,0.871817,0.893244,0.915751,0.871817
"430",286.000000,374,369,0.669550,0.725474,0.669550,0.791591
"444",165.400010,44,145,0.642465,0.769451,0.959002,0.642465
"481",239.000000,141,277,0.754056,0.797751,0.846821,0.754056
"503",271.800020,191,339,0.753850,0.813760,0.884014,0.753850
"517",220.200000,160,290,0.751671,0.816361,0.893234,0.751671
"591",222.200000,152,98,0.691715,0.793440,0.691715,0.930242
"709",317.000000,145,455,0.633353,0.752600,0.927165,0.633353
"723",186.000000,80,152,0.803639,0.858492,0.921381,0.803639
"736",570.000000,280,650,0.730348,0.812677,0.915924,0.730348
"765",137.800000,111,147,0.736513,0.787322,0.736513,0.845661
"769",275.000000,108,246,0.787626,0.857733,0.941540,0.787626
"770",213.000000,133,220,0.730161,0.780614,0.838557,0.730161
"783",189.600000,90,195,0.744662,0.826390,0.928269,0.744662
"812",222.400010,156,406,0.625120,0.750328,0.938257,0.625120
"849",174.200000,133,221,0.711141,0.796436,0.904979,0.711141
"886",238.000000,163,242,0.804536,0.835583,0.869122,0.804536
"905",174.000000,82,73,0.856278,0.886421,0.856278,0.918764
"958",290.000000,79,298,0.616119,0.744586,0.940739,0.616119
"969",179.200000,174,212,0.770158,0.800181,0.770158,0.832640
"978",674.000000,300,734,0.700976,0.788447,0.900860,0.700976
"987",161.000000,200,99,0.553405,0.690844,0.553405,0.919103
"995",228.600000,311,100,0.421486,0.577960,0.421486,0.919215
"1012",291.600000,265,370,0.821754,0.824381,0.827025,0.821754
"1114",187.800000,67,137,0.787494,0.844714,0.910902,0.787494
"1212",191.200000,193,68,0.244506,0.389151,0.244506,0.952831
"1218",186.000000,93,141,0.797309,0.833262,0.872609,0.797309
"1225",129.400010,74,137,0.725206,0.789990,0.867483,0.725206
"1235",219.200000,81,179,0.757119,0.829258,0.916592,0.757119
"1239",158.400010,57,100,0.862774,0.906906,0.955796,0.862774
"1282",239.800000,241,292,0.779038,0.794267,0.810103,0.779038
