Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"12",218.800000,91,95,0.916965,0.924096,0.931338,0.916965
"25",251.400010,198,111,0.639417,0.737728,0.639417,0.871764
"37",164.600000,93,64,0.715958,0.795896,0.715958,0.895929
"43",204.800000,121,141,0.764739,0.795220,0.828231,0.764739
"74",180.800000,129,91,0.693954,0.721997,0.693954,0.752401
"78",268.000000,108,105,0.696494,0.747975,0.696494,0.807673
"92",243.000000,107,59,0.633736,0.740914,0.633736,0.891723
"99",276.600000,94,121,0.802247,0.839344,0.880039,0.802247
"114",245.400010,135,212,0.582344,0.680080,0.817240,0.582344
"147",116.600000,46,56,0.845955,0.875647,0.907499,0.845955
"159",154.000000,32,61,0.529159,0.668224,0.906442,0.529159
"170",283.000000,61,102,0.681255,0.781594,0.916596,0.681255
"209",256.000000,121,142,0.873424,0.883133,0.893061,0.873424
"236",533.600040,131,168,0.820466,0.866117,0.917146,0.820466
"322",133.000000,70,86,0.798964,0.832219,0.868362,0.798964
"329",251.400010,45,54,0.820688,0.843491,0.867598,0.820688
"332",266.797000,123,142,0.829589,0.830522,0.829589,0.831457
"377",156.000000,41,45,0.719818,0.757003,0.798239,0.719818
"382",265.400000,70,66,0.848379,0.872134,0.848379,0.897258
"414",229.600000,90,110,0.797781,0.836536,0.879248,0.797781
"430",286.000000,333,270,0.744662,0.797727,0.744662,0.858935
"444",165.400010,47,77,0.715832,0.785165,0.869370,0.715832
"481",239.000000,124,137,0.830818,0.841812,0.853102,0.830818
"503",271.800020,196,171,0.800221,0.854012,0.800221,0.915556
"517",220.200000,133,155,0.815704,0.871169,0.934727,0.815704
"591",222.200000,57,85,0.766196,0.809473,0.857932,0.766196
"709",317.000000,156,173,0.765347,0.770619,0.765347,0.775964
"723",186.000000,68,101,0.755460,0.824656,0.907807,0.755460
"736",570.000000,113,310,0.411869,0.570050,0.925493,0.411869
"765",137.800000,59,78,0.859880,0.889692,0.921645,0.859880
"769",275.000000,102,128,0.685580,0.750610,0.829270,0.685580
"770",213.000000,108,120,0.730393,0.768845,0.811570,0.730393
"783",189.600000,116,145,0.728733,0.780207,0.839505,0.728733
"812",222.400010,217,214,0.660993,0.712366,0.660993,0.772398
"849",174.200000,123,131,0.808433,0.837362,0.868438,0.808433
"886",238.000000,142,166,0.827235,0.880340,0.940730,0.827235
"905",174.000000,58,75,0.832115,0.866685,0.904251,0.832115
"958",290.000000,89,92,0.767560,0.798867,0.767560,0.832836
"969",179.200000,79,155,0.675802,0.774526,0.907029,0.675802
"978",674.000000,235,308,0.712550,0.775401,0.850414,0.712550
"987",161.000000,170,70,0.480724,0.618616,0.480724,0.867431
"995",228.600000,289,137,0.530522,0.663067,0.530522,0.883900
"1012",291.600000,195,226,0.708105,0.749391,0.795790,0.708105
"1114",187.800000,57,76,0.791803,0.849352,0.915923,0.791803
"1212",191.200000,23,38,0.698177,0.794415,0.921426,0.698177
"1218",186.000000,64,101,0.727621,0.804459,0.899443,0.727621
"1225",129.400010,38,62,0.745766,0.820723,0.912432,0.745766
"1235",219.200000,88,93,0.742642,0.758343,0.742642,0.774722
"1239",158.400010,74,65,0.806060,0.872462,0.806060,0.950787
"1282",239.800000,146,202,0.782148,0.843141,0.914450,0.782148
