MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",96.159219,175.804082,93.157733,3.014611,0.000000,0.826170,3.001486,98.636896,92.771320,48.543693,3.401023,93.157733,1.690581,1.264532,0.059498,93.157733,0.026416,1.251362,1.736833,4,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",97.081100,110.184490,93.366859,2.606246,0.000000,0.312655,3.714241,96.765459,75.368789,99.182639,20.604316,93.366859,1.986559,0.420375,0.199312,93.366859,0.000000,0.535590,2.070655,4,4
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",92.253071,177.580408,90.156381,7.238135,0.489038,0.019756,2.096690,96.793662,69.493225,80.630780,28.390328,90.156381,5.059081,2.133596,0.045458,90.156381,3.309911,0.548404,3.379821,7,8
"Beatles/01_-_Please_Please_Me/04_-_Chains",95.015203,146.494694,91.512271,3.585717,0.000000,1.399080,3.502932,96.758265,94.578247,0.000000,0.519740,91.512271,0.519740,3.009773,0.056203,91.512271,0.519740,3.065976,0.000000,4,3
"Beatles/01_-_Please_Please_Me/05_-_Boys",91.246008,147.513469,88.205732,7.479838,0.861500,0.412654,3.040276,91.360340,96.547070,-nan,0.000000,88.205732,0.000000,5.413299,2.066539,88.205732,0.000000,7.479838,0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",89.352778,140.576508,86.391223,10.057230,0.261454,0.328538,2.961555,87.357680,60.457631,92.619948,36.252276,86.391223,5.316472,2.833254,1.907504,86.391223,4.107308,1.786095,4.163827,9,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",94.557677,123.376327,91.051072,5.288126,0.076335,0.077862,3.506605,94.821058,88.106312,90.354249,8.309221,91.051072,0.293334,4.385286,0.609506,91.051072,0.000000,4.994792,0.293334,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",92.273740,142.759184,89.076889,7.341663,0.383509,0.001088,3.196851,92.019620,96.802061,-nan,0.000000,89.076889,0.000000,7.110936,0.230727,89.076889,0.000000,7.341663,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",93.859820,125.753469,93.545920,2.908350,0.000000,3.231830,0.313899,96.794802,85.200057,98.422637,11.254214,93.545920,0.000000,1.157513,1.750838,93.545920,0.000000,2.174786,0.733564,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",98.017005,158.066939,94.500598,1.505625,0.000000,0.477370,3.516407,98.077836,62.214002,99.083309,33.792221,94.500598,0.735091,0.599611,0.170924,94.500598,0.000000,0.721797,0.783828,5,5
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",86.835998,119.353469,83.059778,12.454629,0.642446,0.066926,3.776221,95.357679,45.786020,78.218464,50.370833,83.059778,2.399241,4.238792,5.816597,83.059778,1.584686,7.676193,3.193751,13,14
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",86.011877,125.152653,83.119881,12.657800,0.000000,1.330323,2.891997,87.342342,39.992892,86.384037,55.784789,83.119881,6.155741,4.721866,1.780193,83.119881,4.706057,3.458273,4.493470,6,7
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",95.298246,112.875102,90.481974,4.431907,0.000000,0.269847,4.816272,95.044645,74.661011,96.384765,20.252870,90.481974,0.618311,3.014334,0.799262,90.481974,0.000000,3.434849,0.997058,8,8
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",95.586013,153.155918,94.606089,3.880844,0.003645,0.529497,0.979924,96.055979,98.490579,-nan,0.000000,94.606089,0.000000,1.305363,2.575481,94.606089,0.000000,3.880844,0.000000,3,3
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",90.397471,125.498415,87.045269,8.686553,0.477752,0.438225,3.352202,95.561920,73.363138,74.138681,22.846436,87.045269,5.856016,2.605452,0.225084,87.045269,2.756826,2.601684,3.328043,11,11
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",96.962497,121.392510,93.385562,2.705438,0.000000,0.332065,3.576936,96.128828,47.438695,98.213848,48.652304,93.385562,2.236730,0.468708,0.000000,93.385562,0.000000,0.449525,2.255913,5,6
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",97.271704,123.367620,94.173352,1.857467,0.590712,0.280116,3.098352,98.013911,66.142463,96.277670,30.479068,94.173352,0.760963,0.938265,0.158240,94.173352,0.000000,0.749708,1.107759,6,6
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",82.653219,149.394286,79.546615,16.605241,0.000000,0.741540,3.106604,89.336758,50.735422,75.349891,45.416434,79.546615,11.655732,2.538898,2.410612,79.546615,11.473232,2.389876,2.742133,8,9
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",94.265151,108.016327,90.524542,4.717912,0.964484,0.052454,3.740609,94.093570,96.206937,-nan,0.000000,90.524542,0.000000,4.307280,0.410631,90.524542,0.000000,4.717912,0.000000,5,5
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",89.367522,124.908843,86.813787,8.978417,0.000000,1.654062,2.553735,93.287586,62.851572,85.551101,32.940631,86.813787,4.648984,1.938116,2.391317,86.813787,4.414691,3.241305,1.322420,12,11
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",98.119393,156.734694,94.504578,1.798681,0.000000,0.081926,3.614815,99.355710,68.950351,95.048275,27.352909,94.504578,0.479253,0.614815,0.704614,94.504578,0.220125,0.309924,1.268632,5,6
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",90.510447,167.627755,87.918841,8.410305,0.900854,0.178394,2.591605,90.423574,97.230000,-nan,0.000000,87.918841,2.612584,5.617446,0.180275,87.918841,2.612584,5.279732,0.517989,3,4
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",96.193234,152.581224,93.665128,3.723208,0.000000,0.083558,2.528106,96.040252,85.746493,97.183756,11.641843,93.665128,1.627354,1.610532,0.485322,93.665128,1.604526,1.850035,0.268646,7,7
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",94.647698,182.143129,92.694038,4.114443,0.000000,1.237858,1.953660,94.595504,68.099336,98.488225,28.709145,92.694038,1.459691,2.323661,0.331092,92.694038,0.000000,2.323661,1.790783,5,5
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",91.869231,118.987755,87.529678,7.355557,0.000000,0.775211,4.339554,92.247943,94.885235,-nan,0.000000,87.529678,1.041635,0.821406,5.492516,87.529678,1.041635,6.313922,-0.000000,5,5
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",88.769973,147.670204,86.951863,9.713163,0.000000,1.516864,1.818110,95.257436,71.864560,74.577332,24.800466,86.951863,4.386123,3.490697,1.836343,86.951863,4.386123,3.288285,2.038754,6,6
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",87.580312,126.481996,84.519432,7.707773,0.631435,4.080480,3.060880,95.361072,42.552384,87.347035,50.306255,84.519432,6.071044,1.274431,0.362297,84.519432,3.335979,0.404339,3.967455,5,6
"Beatles/02_-_With_the_Beatles/14_-_Money",80.233432,167.444898,80.011557,18.883111,0.000000,0.883457,0.221876,82.923372,93.939100,42.660845,4.955567,80.011557,3.836269,13.077378,1.969463,80.011557,3.161760,8.709239,7.012111,5,4
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",95.020480,148.511640,91.786721,3.965146,0.972084,0.042290,3.233759,95.174447,85.044525,92.864701,11.679426,91.786721,0.817726,2.356153,0.791266,91.786721,0.000000,3.147419,0.817726,6,6
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",94.554361,164.101224,91.975564,5.398093,0.000000,0.047547,2.578796,93.598731,82.863937,99.353887,14.509720,91.975564,0.184880,4.608690,0.604523,91.975564,0.000000,4.891350,0.506743,5,5
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",96.049193,137.607256,93.910403,1.925815,0.000000,2.024992,2.138790,97.561052,50.208713,98.463098,45.627505,93.910403,0.227745,1.047551,0.650519,93.910403,0.219363,0.904012,0.802440,9,9
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",92.938017,114.451157,89.509330,6.731226,0.000000,0.330757,3.428687,94.514680,55.698614,90.932899,40.541942,89.509330,3.159003,2.312715,1.259508,89.509330,0.527490,2.131152,4.072584,7,8
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",98.027270,151.092245,95.399331,1.187746,0.000000,0.784984,2.627939,98.961423,39.663762,98.637101,56.923315,95.399331,0.140280,0.781992,0.265474,95.399331,0.000000,0.770091,0.417655,12,12
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",79.870165,129.509298,76.598089,18.437980,0.000000,1.691856,3.272075,98.840248,52.260649,58.312774,42.775420,76.598089,16.142036,1.523434,0.772510,76.598089,3.210197,0.956041,14.271741,6,7
"Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love",96.153829,134.948571,92.840871,2.633962,0.640240,0.571968,3.312958,96.476280,75.914616,97.033809,20.200457,92.840871,0.774292,1.728419,0.131252,92.840871,0.000000,1.746989,0.886974,6,6
"Beatles/03_-_A_Hard_Day's_Night/08_-_Any_Time_At_All",95.997542,133.407347,92.248874,3.219343,0.000000,0.783115,3.748667,97.753680,69.395072,93.631351,26.073145,92.248874,0.515686,0.551873,2.151784,92.248874,0.000000,1.295527,1.923816,7,6
"Beatles/03_-_A_Hard_Day's_Night/09_-_I'll_Cry_Instead",96.539911,107.755102,93.251749,2.379534,0.022277,1.058279,3.288161,98.817488,88.628643,80.729084,7.024917,93.251749,1.191098,0.764028,0.424408,93.251749,1.125401,0.921835,0.332299,6,7
